iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.6014983576233575,0.028689008371944547,-1.4784245481883667,-1.4784245481883667,False,0.0,qnei,0.0,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,-1.4784245481883667,3.6317298309089825,3.6317298309089825,3.6317298309089825,3.6317298309089825,-1.4784245481883667,3.6317298309089825,weber_fechner
2,0.14792608457745593,0.9282110229603695,0.07042057615419683,0.12977394939929798,-1.4798016825771119,-1.4798016825771119,False,0.0,qnei,0.0,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,-1.4784245481883667,3.6331069652977277,7.26483679620671,3.6317298309089825,3.632418398103355,-1.4784245481883667,3.6317298309089825,weber_fechner
3,0.9483284532917751,0.6218835927963828,0.368993123729791,0.5113900218032627,0.9326175632329612,0.9326175632329612,False,0.0,qnei,0.0,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,0.9326175632329612,1.2206877194876546,8.485524515694365,1.2206877194876546,2.8285081718981218,0.9326175632329612,1.2206877194876546,weber_fechner
4,0.6628429525167993,0.2753088157611293,0.13796807286695534,0.7880395945039919,-0.006314421514643501,-0.006314421514643501,False,0.0,qnei,0.0,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,0.9326175632329612,2.159619704235259,10.645144219929625,1.2206877194876546,2.6612860549824062,0.9326175632329612,1.2206877194876546,weber_fechner
5,0.6703605841024838,0.5123823134831604,0.8167364359696581,0.5490752688700263,1.1114563109305982,1.1114563109305982,False,0.0,qnei,0.0,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.1114563109305982,1.0418489717900177,11.686993191719642,1.0418489717900177,2.3373986383439282,1.1114563109305982,1.0418489717900177,weber_fechner
6,1.0,0.0,1.0,0.5206950295860038,-0.8145273194085191,-0.8145273194085191,False,0.0,qnei,0.3386896000010893,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.1114563109305982,2.967832602129135,14.654825793848778,1.0418489717900177,2.442470965641463,1.1114563109305982,1.0418489717900177,weber_fechner
7,0.7026467233886438,0.6948669375009853,0.9882792708314401,0.6368416821475539,1.4954198920445536,1.4954198920445536,False,0.0,qnei,0.3517789999896195,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.4954198920445536,0.6578853906760622,15.31271118452484,0.6578853906760622,2.187530169217834,1.4954198920445536,0.6578853906760622,weber_fechner
8,0.7827187744102815,0.8777341256123525,1.0,0.24571781252638583,1.168530348843145,1.168530348843145,False,0.0,qnei,0.24143829999957234,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.4954198920445536,0.9847749338774707,16.29748611840231,0.6578853906760622,2.037185764800289,1.4954198920445536,0.6578853906760622,weber_fechner
9,0.8032920985411424,0.7504066519076183,1.0,1.0,1.8708550198034979,1.8708550198034979,False,0.0,qnei,0.207291000027908,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.8708550198034979,0.28245026291711794,16.579936381319428,0.28245026291711794,1.8422151534799365,1.8708550198034979,0.28245026291711794,weber_fechner
10,0.7781872195688457,0.9280826807330815,0.5608309197843053,1.0,1.6496307557561602,1.6496307557561602,False,0.0,qnei,0.30842140002641827,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.8708550198034979,0.5036745269644556,17.083610908283884,0.28245026291711794,1.7083610908283884,1.8708550198034979,0.28245026291711794,weber_fechner
11,0.9300582439091628,0.9350441842076129,1.0,1.0,2.0752876832133684,2.0752876832133684,False,0.0,qnei,0.311863800015999,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.0752876832133684,0.0780175995072474,17.161628507791132,0.0780175995072474,1.56014804616283,2.0752876832133684,0.0780175995072474,weber_fechner
12,0.856350968806371,1.0,1.0,1.0,2.0667217428386655,2.0667217428386655,False,0.0,qnei,0.2611519999918528,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.0752876832133684,0.08658353988195033,17.248212047673082,0.0780175995072474,1.4373510039727568,2.0752876832133684,0.0780175995072474,weber_fechner
13,1.0,1.0,1.0,1.0,2.153305282720616,2.153305282720616,False,0.0,qnei,0.25780049999593757,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,0.0,17.248212047673082,0.0,1.3267855421286987,2.153305282720616,0.0,weber_fechner
14,1.0,1.0,0.7189747545080767,1.0,1.9692822135968677,1.9692822135968677,False,0.0,qnei,0.23709099998814054,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,0.1840230691237481,17.43223511679683,0.0,1.2451596511997736,2.153305282720616,0.0,weber_fechner
15,0.5128029957998546,0.6553828454355749,0.024568241159844018,0.9297613755710262,-0.3991800793193185,-0.3991800793193185,False,0.0,qnei,0.1871050999907311,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,2.5524853620399344,19.984720478836763,0.0,1.3323146985891177,2.153305282720616,0.0,weber_fechner
16,0.9256551057722219,1.0,1.0,1.0,2.1101540843909716,2.1101540843909716,False,0.0,qnei,0.28273899998748675,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,0.0431511983296442,20.02787167716641,0.0,1.2517419798229006,2.153305282720616,0.0,weber_fechner
17,0.9535451086326915,1.0,0.9650091833874899,0.8471153836831563,2.0141997529266282,2.0141997529266282,False,0.0,qnei,0.3038846999988891,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,0.1391055297939876,20.166977206960397,0.0,1.1862927768800233,2.153305282720616,0.0,weber_fechner
18,0.9368141249210404,1.0,0.9193329181048053,1.0,2.0698676248287837,2.0698676248287837,False,0.0,qnei,0.312476000020979,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,0.0834376578918321,20.250414864852228,0.0,1.125023048047346,2.153305282720616,0.0,weber_fechner
19,0.9024453366619847,0.18404149252613877,0.5629972062907082,0.13163917237284206,-0.26359788767271813,-0.26359788767271813,False,0.0,qnei,0.3062041999946814,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,2.416903170393334,22.66731803524556,0.0,1.1930167386971349,2.153305282720616,0.0,weber_fechner
20,1.0,0.9273706028363695,1.0,1.0,2.111187898450163,2.111187898450163,False,0.0,qnei,0.24145609998959117,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,0.04211738427045297,22.709435419516012,0.0,1.1354717709758007,2.153305282720616,0.0,weber_fechner
21,0.9112554514624283,0.6820388490514216,0.3701666426209318,0.8425772433895455,1.2409574352420274,1.7980111934950322,True,0.5570537582530048,qnei,0.2711999000166543,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,0.9123478474785884,23.6217832669946,0.0,1.124846822237838,2.153305282720616,0.0,weber_fechner
22,0.9412093750899385,0.8453251045561191,1.0,1.0,2.0256467610080624,3.646124557705172,True,1.6204777966971098,qnei,0.31222239998169243,False,11,0d8bfa7b-5642-45bf-a0d0-027bd8ebb937,bias,1.0,20,exact,value,learned,1.0,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,0.12765852171255343,23.749441788707156,0.0,1.0795200813048706,2.0256467610080624,0.12765852171255343,weber_fechner
