iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-371.4297972308004,-0.7221375598850273,101.49835762335749,-471.31099162805543,-0.8918499759923152,-0.8918499759923152,False,0.0,logei,0.0,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,-0.8918499759923152,5.220240347771167,5.220240347771167,5.220240347771167,5.220240347771167,-0.8918499759923152,5.220240347771167,schwefel
2,-352.0739154225441,428.2110229603695,-429.57942384580315,-370.226050600702,-0.27994160524838874,-0.27994160524838874,False,0.0,logei,0.0,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,-0.27994160524838874,4.608331977027241,9.828572324798408,4.608331977027241,4.914286162399204,-0.27994160524838874,4.608331977027241,schwefel
3,448.3284532917751,121.8835927963828,-131.00687627020903,11.390021803262641,0.8278653217722474,0.8278653217722474,False,0.0,logei,0.0,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.8278653217722474,3.5005250500066047,13.329097374805013,3.5005250500066047,4.443032458268338,0.8278653217722474,3.5005250500066047,schwefel
4,162.8429525167993,-224.69118423887068,-362.03192713304463,288.0395945039919,-1.1748409618089777,-1.1748409618089777,False,0.0,logei,0.0,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.8278653217722474,5.50323133358783,18.832328708392843,3.5005250500066047,4.708082177098211,0.8278653217722474,3.5005250500066047,schwefel
5,170.3605841024838,12.382313483160488,316.73643596965803,49.07526887002632,-0.433117793205971,-0.433117793205971,False,0.0,logei,0.0,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.8278653217722474,4.761508164984823,23.59383687337767,3.5005250500066047,4.718767374675534,0.8278653217722474,3.5005250500066047,schwefel
6,500.0,212.44995280506936,-178.29118374288998,-29.61705002944282,-0.23847542672597874,-0.23847542672597874,False,0.0,logei,0.3040960000071209,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.8278653217722474,4.56686579850483,28.160702671882497,3.5005250500066047,4.69345044531375,0.8278653217722474,3.5005250500066047,schwefel
7,500.0,93.61770161432052,-259.5622894989348,99.80323392933373,-0.4016235671609469,-0.4016235671609469,False,0.0,logei,0.34480409999378026,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.8278653217722474,4.730013938939798,32.890716610822295,3.5005250500066047,4.698673801546042,0.8278653217722474,3.5005250500066047,schwefel
8,427.87374353182327,94.69789618812177,-99.48302301309558,16.717687438707053,1.091862347278153,1.091862347278153,False,0.0,logei,0.2779389999923296,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.091862347278153,3.236528024500699,36.127244635322995,3.236528024500699,4.515905579415374,1.091862347278153,3.236528024500699,schwefel
9,395.05026158894526,39.286423626271635,-91.02949573772068,-120.95659858733194,1.210836612273952,1.210836612273952,False,0.0,logei,0.369798500003526,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.210836612273952,3.1175537595049,39.244798394827896,3.1175537595049,4.360533154980877,1.210836612273952,3.1175537595049,schwefel
10,484.86533721714414,-8.581649978650391,-79.51714473694956,229.2786342237042,0.17737766814314485,0.17737766814314485,False,0.0,logei,0.2935132999846246,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.210836612273952,4.151012703635707,43.395811098463604,3.1175537595049,4.33958110984636,1.210836612273952,3.1175537595049,schwefel
11,408.2360436217263,336.75077979177394,146.67027250695435,-290.2048291681704,1.1746566065763457,1.1746566065763457,False,0.0,logei,0.44997059999150224,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.210836612273952,3.153733765202506,46.54954486366611,3.1175537595049,4.2317768057878276,1.210836612273952,3.1175537595049,schwefel
12,410.58659583409656,-500.0,82.16122507135559,-498.73722211413076,2.019661562793928,2.019661562793928,False,0.0,logei,0.3458465999865439,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.019661562793928,2.308728808984924,48.85827367265103,2.308728808984924,4.0715228060542525,2.019661562793928,2.308728808984924,schwefel
13,419.0512371993458,-500.0,419.3668625345346,-500.0,3.0949693487042116,3.0949693487042116,False,0.0,logei,0.3340127000119537,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,3.0949693487042116,1.2334210230746403,50.09169469572567,1.2334210230746403,3.85320728428659,3.0949693487042116,1.2334210230746403,schwefel
14,420.8493957159146,-500.0,500.0,-500.0,1.5484963892940085,1.5484963892940085,False,0.0,logei,0.3375145999889355,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,3.0949693487042116,2.779893982484843,52.871588678210514,1.2334210230746403,3.7765420484436083,3.0949693487042116,1.2334210230746403,schwefel
15,383.81513406757506,-500.0,500.0,-500.0,1.1360081601296759,1.1360081601296759,False,0.0,logei,0.3031219999829773,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,3.0949693487042116,3.192382211649176,56.06397088985969,1.2334210230746403,3.7375980593239793,3.0949693487042116,1.2334210230746403,schwefel
16,435.7160240658321,-500.0,319.91397548776547,-500.0,1.2659336275601754,1.2659336275601754,False,0.0,logei,0.33489040000131354,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,3.0949693487042116,3.0624567442186765,59.12642763407837,1.2334210230746403,3.695401727129898,3.0949693487042116,1.2334210230746403,schwefel
17,414.346793070651,-500.0,-290.42529833081335,-500.0,2.729809142864119,2.729809142864119,False,0.0,logei,0.353883500007214,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,3.0949693487042116,1.5985812289147328,60.7250088629931,1.2334210230746403,3.572059344881947,3.0949693487042116,1.2334210230746403,schwefel
18,413.2064639336827,-500.0,-500.0,-500.0,2.4617904318329344,2.4617904318329344,False,0.0,logei,0.3297372000233736,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,3.0949693487042116,1.8665999399459174,62.59160880293902,1.2334210230746403,3.477311600163279,3.0949693487042116,1.2334210230746403,schwefel
19,412.7866372237535,-500.0,-500.0,-500.0,2.459632993566603,2.459632993566603,False,0.0,logei,0.3823837999952957,False,11,2886a14b-b929-49b7-89f9-45ec38ab4246,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,3.0949693487042116,1.868757378212249,64.46036618115127,1.2334210230746403,3.392650851639541,3.0949693487042116,1.2334210230746403,schwefel
