iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,456.0017096289754,-292.3181899208531,328.44488527453075,-350.71787691797977,0.9898512903345634,0.944752504491904,True,-0.04509878584265947,qnei,0.0,False,10,7afb89b7-f084-4ac3-a28c-1b390a01d9be,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",4.328390371778852,0.9898512903345634,3.3385390814442886,3.3385390814442886,3.3385390814442886,3.3385390814442886,0.9898512903345634,3.3385390814442886,schwefel
2,12.804616436564856,-364.08039597949335,189.0364797811311,341.74772431227893,-0.09118460824943012,0.21339877818646588,True,0.304583386435896,qnei,0.0,False,10,7afb89b7-f084-4ac3-a28c-1b390a01d9be,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",4.328390371778852,0.9898512903345634,4.419574980028282,7.758114061472571,3.3385390814442886,3.8790570307362855,0.9898512903345634,3.3385390814442886,schwefel
3,-74.49100259502342,456.9260034533662,325.3329063847983,-161.784687528424,-0.12979499987826357,-0.0012721639777547589,True,0.1285228359005088,qnei,0.0,False,10,7afb89b7-f084-4ac3-a28c-1b390a01d9be,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",4.328390371778852,0.9898512903345634,4.458185371657115,12.216299433129686,3.3385390814442886,4.072099811043229,0.9898512903345634,3.3385390814442886,schwefel
4,75.76054794451363,253.30186470847696,327.1039370247954,433.4384708515814,0.4417580573376968,0.12436629717554792,True,-0.3173917601621489,qnei,0.0,False,10,7afb89b7-f084-4ac3-a28c-1b390a01d9be,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",4.328390371778852,0.9898512903345634,3.886632314441155,16.102931747570842,3.3385390814442886,4.025732936892711,0.9898512903345634,3.3385390814442886,schwefel
5,-355.0053050637727,245.58021104393742,-360.64860613217763,406.52875611292677,0.9149076582458777,0.741216471196755,True,-0.17369118704912268,qnei,0.0,False,10,7afb89b7-f084-4ac3-a28c-1b390a01d9be,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",4.328390371778852,0.9898512903345634,3.413482713532974,19.516414461103818,3.3385390814442886,3.9032828922207634,0.9898512903345634,3.3385390814442886,schwefel
6,500.0,-500.0,-17.573819506039012,-500.0,0.505785400205461,0.20386477971417766,True,-0.3019206204912834,qnei,0.9411150999949314,False,10,7afb89b7-f084-4ac3-a28c-1b390a01d9be,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",4.328390371778852,0.9898512903345634,3.8226049715733907,23.33901943267721,3.3385390814442886,3.889836572112868,0.9898512903345634,3.3385390814442886,schwefel
7,500.0,-500.0,431.27565571701217,-500.0,1.513927158442964,1.038783424257993,True,-0.47514373418497113,qnei,1.4931794999865815,False,10,7afb89b7-f084-4ac3-a28c-1b390a01d9be,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",4.328390371778852,1.513927158442964,2.8144632133358876,26.153482646013096,2.8144632133358876,3.736211806573299,1.513927158442964,2.8144632133358876,schwefel
8,500.0,311.82100947624025,490.3818783397436,-500.0,-0.9415191925488596,-0.8576695624708414,True,0.08384963007801827,qnei,1.3520504999905825,False,10,7afb89b7-f084-4ac3-a28c-1b390a01d9be,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",4.328390371778852,1.513927158442964,5.269909564327712,31.423392210340808,2.8144632133358876,3.927924026292601,1.513927158442964,2.8144632133358876,schwefel
9,500.0,-403.3467703354987,492.94704005374444,-61.08889269738016,-1.874196883016963,-2.3958085810599234,True,-0.5216116980429604,qnei,1.9125751999672502,False,10,7afb89b7-f084-4ac3-a28c-1b390a01d9be,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",4.328390371778852,1.513927158442964,6.202587254795815,37.62597946513662,2.8144632133358876,4.180664385015181,1.513927158442964,2.8144632133358876,schwefel
10,500.0,-491.6394798132491,407.5205591582589,-500.0,1.2535672376587557,1.3806399878538538,True,0.12707275019509812,qnei,1.9792420000303537,False,10,7afb89b7-f084-4ac3-a28c-1b390a01d9be,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",4.328390371778852,1.513927158442964,3.0748231341200962,40.70080259925672,2.8144632133358876,4.070080259925672,1.2535672376587557,3.0748231341200962,schwefel
