run_id,dataset,objective,acquisition,seed,oracle_model,baseline,error_model,jitter_std,jitter_iteration,n_iterations,acq_opt_failures,response_start_iteration,response_end_iteration,response_l2_jitter,final_best_true_jitter,final_simple_regret_true_jitter,final_cum_regret_true_jitter,final_avg_regret_true_jitter,auc_simple_regret_true_jitter,auc_simple_regret_true_postonset_per_iter_jitter,final_inference_simple_regret_true_jitter,auc_inference_simple_regret_true_jitter,param_columns,response_x0,response_x1,response_x2,response_x3,response_l2_baseline,final_best_true_baseline,final_simple_regret_true_baseline,final_cum_regret_true_baseline,final_avg_regret_true_baseline,auc_simple_regret_true_baseline,auc_simple_regret_true_postonset_per_iter_baseline,final_inference_simple_regret_true_baseline,auc_inference_simple_regret_true_baseline,response_l2_excess,final_best_true_excess,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true,auc_simple_regret_excess_true_postonset_per_iter,final_inference_simple_regret_excess_true,auc_inference_simple_regret_excess_true
576b86c9-7621-4f49-8931-fe80a4bfae2f,weber_fechner,value,logei,10,exact,False,gaussian,0.05,0,50,0,1,2,0.836968810674568,2.153305282720616,0.0,70.76144436550794,1.4152288873101588,8.038651520498938,0.16405411266324363,0.0,10.220039557305261,"x0,x1,x2,x3",-0.4431970931924104,-0.0717622060586402,-0.1394084054933996,0.6924656012302588,0.836968810674568,2.153305282720616,0.0,61.002773209736326,1.2200554641947263,5.829743419713852,0.11897435550436432,0.0,5.829743419713852,0.0,0.0,0.0,9.758671155771616,0.1951734231154325,2.208908100785086,0.04507975715887931,0.0,4.39029613759141
6ee4d13a-6d24-4461-aeeb-226da6ac13b7,weber_fechner,value,logei,10,exact,False,gaussian,0.25,0,50,0,1,2,0.836968810674568,2.153305282720616,0.0,65.03753462818426,1.3007506925636851,6.129915020142828,0.1251003065335271,0.0732200033456731,6.596122737694303,"x0,x1,x2,x3",-0.4431970931924104,-0.0717622060586402,-0.1394084054933996,0.6924656012302588,0.836968810674568,2.153305282720616,0.0,61.002773209736326,1.2200554641947263,5.829743419713852,0.11897435550436432,0.0,5.829743419713852,0.0,0.0,0.0,4.0347614184479355,0.08069522836895882,0.3001716004289765,0.006125951029162788,0.0732200033456731,0.7663793179804514
2cf5f89d-e1b6-4bac-92b2-46bde3edb523,weber_fechner,value,logei,10,exact,False,gaussian,1.0,0,50,0,1,2,0.836968810674568,1.80373054451078,0.349574738209836,47.235245749622514,0.9447049149924502,21.29100827276771,0.4345103729136267,0.656909535950299,37.39591241619532,"x0,x1,x2,x3",-0.4431970931924104,-0.0717622060586402,-0.1394084054933996,0.6924656012302588,0.836968810674568,2.153305282720616,0.0,61.002773209736326,1.2200554641947263,5.829743419713852,0.11897435550436432,0.0,5.829743419713852,0.0,-0.34957473820983576,0.349574738209836,-13.767527460113811,-0.2753505492022761,15.461264853053857,0.3155360174092624,0.656909535950299,31.566168996481473
c5d89812-b91b-4a2c-bbb4-09c22bf13610,weber_fechner,value,logei,10,exact,False,gaussian,5.0,0,50,0,1,2,0.836968810674568,1.543343358529766,0.6099619241908498,112.00694813882484,2.2401389627764967,32.3574636769608,0.6603564015706285,1.5258264271631403,98.0176160580008,"x0,x1,x2,x3",-0.4431970931924104,-0.0717622060586402,-0.1394084054933996,0.6924656012302588,0.836968810674568,2.153305282720616,0.0,61.002773209736326,1.2200554641947263,5.829743419713852,0.11897435550436432,0.0,5.829743419713852,0.0,-0.6099619241908498,0.6099619241908498,51.004174929088514,1.0200834985817704,26.527720257246948,0.5413820460662642,1.5258264271631403,92.18787263828695
b055e1d5-3dda-4d85-8c4b-201e2381f2f3,weber_fechner,value,logei,10,exact,False,gaussian,0.05,20,50,0,21,22,0.4437884037868291,2.153305282720616,0.0,66.0600287249171,1.3212005744983422,5.829743419713852,0.0,0.0,5.829743419713852,"x0,x1,x2,x3",-0.19718539998798135,0.3145797471949628,0.0,-0.24311653177436288,0.42075823784705324,2.153305282720616,0.0,61.002773209736326,1.2200554641947263,5.829743419713852,0.0,0.0,5.829743419713852,0.02303016593977586,0.0,0.0,5.057255515180778,0.10114511030361584,0.0,0.0,0.0,0.0
df809e7b-4f28-48c2-a6f9-2cf88c111b2b,weber_fechner,value,logei,10,exact,False,gaussian,0.25,20,50,0,21,22,0.43581513713501857,2.153305282720616,0.0,59.41344263560358,1.1882688527120715,5.829743419713852,0.0,0.0116113363745951,7.809724086637133,"x0,x1,x2,x3",-0.1859864301440608,0.32718747006859356,0.0,-0.21975495668675282,0.42075823784705324,2.153305282720616,0.0,61.002773209736326,1.2200554641947263,5.829743419713852,0.0,0.0,5.829743419713852,0.01505689928796533,0.0,0.0,-1.5893305741327453,-0.031786611482654825,0.0,0.0,0.0116113363745951,1.9799806669232813
33576ea8-5878-4df4-807f-4159d6a4fd33,weber_fechner,value,logei,10,exact,False,gaussian,1.0,20,50,0,21,22,0.8996240223407924,2.153305282720616,0.0,55.598982742470106,1.111979654849402,5.829743419713852,0.0,0.8001159698918823,33.17041968242551,"x0,x1,x2,x3",-0.7174452368208886,0.542766721286084,0.0,0.0,0.42075823784705324,2.153305282720616,0.0,61.002773209736326,1.2200554641947263,5.829743419713852,0.0,0.0,5.829743419713852,0.4788657844937392,0.0,0.0,-5.403790467266219,-0.10807580934532424,0.0,0.0,0.8001159698918823,27.34067626271166
5b9e09f5-6546-49c0-8950-29f2b8a2231d,weber_fechner,value,logei,10,exact,False,gaussian,5.0,20,50,0,21,22,0.05366348665912989,2.153305282720616,0.0,46.88984001363375,0.937796800272675,5.829743419713852,0.0,0.6738671265539229,19.419840909234452,"x0,x1,x2,x3",0.01777293725383655,-0.050634894112516926,0.0,0.0,0.42075823784705324,2.153305282720616,0.0,61.002773209736326,1.2200554641947263,5.829743419713852,0.0,0.0,5.829743419713852,-0.36709475118792334,0.0,0.0,-14.112933196102574,-0.28225866392205134,0.0,0.0,0.6738671265539229,13.5900974895206
e8049874-08f1-4182-81a0-6ba7010815b2,weber_fechner,value,logei,11,exact,False,gaussian,0.05,0,50,0,1,2,0.69037676787909,2.153305282720616,0.0,18.00236729908077,0.3600473459816154,12.22918062612889,0.24957511481895694,0.0321699527186458,13.214005845345968,"x0,x1,x2,x3",0.019355881808256314,0.4289331605202547,-0.5310777814691606,0.1010849410273534,0.69037676787909,2.153305282720616,0.0,67.94434956282878,1.3588869912565755,12.026871820619998,0.2454463636861224,0.0,12.026871820619998,0.0,0.0,0.0,-49.941982263748,-0.9988396452749602,0.20230880550889196,0.004128751132834535,0.0321699527186458,1.1871340247259692
da6023bc-fd27-47a4-b242-87ceeef0c984,weber_fechner,value,logei,11,exact,False,gaussian,0.25,0,50,0,1,2,0.69037676787909,2.153305282720616,0.0,29.39108963458345,0.587821792691669,13.235421182303785,0.27011063637354665,0.1461663080327526,18.31372557133764,"x0,x1,x2,x3",0.019355881808256314,0.4289331605202547,-0.5310777814691606,0.1010849410273534,0.69037676787909,2.153305282720616,0.0,67.94434956282878,1.3588869912565755,12.026871820619998,0.2454463636861224,0.0,12.026871820619998,0.0,0.0,0.0,-38.553259928245325,-0.7710651985649065,1.2085493616837866,0.024664272687424244,0.1461663080327526,6.28685375071764
248411c8-1aee-4aa4-99f3-c15da98ff5a3,weber_fechner,value,logei,11,exact,False,gaussian,1.0,0,50,0,1,2,0.69037676787909,1.592113980132957,0.5611913025876591,65.01148304947557,1.3002296609895114,37.05465612541563,0.7562174719472579,0.6305081129740873,43.83827331067516,"x0,x1,x2,x3",0.019355881808256314,0.4289331605202547,-0.5310777814691606,0.1010849410273534,0.69037676787909,2.153305282720616,0.0,67.94434956282878,1.3588869912565755,12.026871820619998,0.2454463636861224,0.0,12.026871820619998,0.0,-0.5611913025876589,0.5611913025876591,-2.932866513353204,-0.0586573302670641,25.027784304795635,0.5107711082611355,0.6305081129740873,31.811401490055164
5f55acc8-70f0-4c79-b4ff-3105d38df7e0,weber_fechner,value,logei,11,exact,False,gaussian,5.0,0,50,0,1,2,0.69037676787909,1.4191587982587477,0.7341464844618684,136.41107944671734,2.728221588934346,49.20192183875628,1.0041208538521689,0.8752787555652406,124.4682679881971,"x0,x1,x2,x3",0.019355881808256314,0.4289331605202547,-0.5310777814691606,0.1010849410273534,0.69037676787909,2.153305282720616,0.0,67.94434956282878,1.3588869912565755,12.026871820619998,0.2454463636861224,0.0,12.026871820619998,0.0,-0.7341464844618681,0.7341464844618684,68.46672988388856,1.3693345976777707,37.175050018136275,0.7586744901660465,0.8752787555652406,112.4413961675771
1505793a-58a6-4b90-902e-b1f41f9e9e3e,weber_fechner,value,logei,11,exact,False,gaussian,0.05,20,50,0,21,22,0.0,2.153305282720616,0.0,21.263232214397146,0.4252646442879429,12.026871820619998,0.0,0.0,12.048335171840966,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,2.153305282720616,0.0,67.94434956282878,1.3588869912565755,12.026871820619998,0.0,0.0,12.026871820619998,0.0,0.0,0.0,-46.68111734843163,-0.9336223469686327,0.0,0.0,0.0,0.021463351220967652
a2fd0241-de26-4751-b9f2-3c6c21a09e24,weber_fechner,value,logei,11,exact,False,gaussian,0.25,20,50,0,21,22,0.0,2.153305282720616,0.0,22.111545750172724,0.4422309150034544,12.026871820619998,0.0,0.0384364836961372,13.104077346787104,"x0,x1,x2,x3",0.0,0.0,0.0,0.0,0.0,2.153305282720616,0.0,67.94434956282878,1.3588869912565755,12.026871820619998,0.0,0.0,12.026871820619998,0.0,0.0,0.0,-45.83280381265605,-0.9166560762531211,0.0,0.0,0.0384364836961372,1.0772055261671056
2f109a82-7969-4ac2-84b7-2277b3a395ea,weber_fechner,value,logei,11,exact,False,gaussian,1.0,20,50,0,21,22,0.06564945022125657,2.153305282720616,0.0,24.10292793252896,0.4820585586505792,12.026871820619998,0.0,0.1754662163968556,14.662104070137017,"x0,x1,x2,x3",-0.06564945022125657,0.0,0.0,0.0,0.0,2.153305282720616,0.0,67.94434956282878,1.3588869912565755,12.026871820619998,0.0,0.0,12.026871820619998,0.06564945022125657,0.0,0.0,-43.84142163029982,-0.8768284326059963,0.0,0.0,0.1754662163968556,2.635232249517019
58155c07-3849-46c9-a969-2e6d1acdf2ff,weber_fechner,value,logei,11,exact,False,gaussian,5.0,20,50,0,21,22,1.005861398963701,2.153305282720616,0.0,85.96711745699096,1.7193423491398192,12.026871820619998,0.0,0.5774602424499957,81.95356319780024,"x0,x1,x2,x3",-0.10843041051851543,0.0,-1.0,0.0,0.0,2.153305282720616,0.0,67.94434956282878,1.3588869912565755,12.026871820619998,0.0,0.0,12.026871820619998,1.005861398963701,0.0,0.0,18.022767894162186,0.3604553578832437,0.0,0.0,0.5774602424499957,69.92669137718023
7ae134d7-0dd3-4f56-9689-58cf083ea807,weber_fechner,value,logei,7,exact,False,gaussian,0.05,0,50,0,1,2,1.027096714485386,2.153305282720616,0.0,50.32701934928728,1.0065403869857454,5.54683306462606,0.11320067478828695,0.0,6.132592092744222,"x0,x1,x2,x3",-0.3249291816934416,-0.023660355573313585,-0.7704203856796188,0.5960212283921744,1.027096714485386,2.153305282720616,0.0,59.76096704985026,1.195219340997005,5.650210926082619,0.11531042706291059,0.0,5.650210926082619,0.0,0.0,0.0,-9.433947700562975,-0.18867895401125967,-0.10337786145655858,-0.002109752274623636,0.0,0.4823811666616029
d443b888-8275-47f0-9110-658685b8c5bd,weber_fechner,value,logei,7,exact,False,gaussian,0.25,0,50,0,1,2,1.027096714485386,2.1098557030749774,0.0434495796456384,49.69778462026382,0.9939556924052764,7.045248549377,0.14378058264034693,0.0584996291288262,9.861663758878432,"x0,x1,x2,x3",-0.3249291816934416,-0.023660355573313585,-0.7704203856796188,0.5960212283921744,1.027096714485386,2.153305282720616,0.0,59.76096704985026,1.195219340997005,5.650210926082619,0.11531042706291059,0.0,5.650210926082619,0.0,-0.04344957964563845,0.0434495796456384,-10.06318242958644,-0.20126364859172874,1.3950376232943809,0.028470155577436346,0.0584996291288262,4.211452832795813
08fea3ab-b59a-4923-8d80-4d5dfc3dd992,weber_fechner,value,logei,7,exact,False,gaussian,1.0,0,50,0,1,2,1.027096714485386,2.153305282720616,0.0,61.93436769969921,1.2386873539939842,5.904173002827516,0.12049332658831666,0.4028270214954614,29.616586063730697,"x0,x1,x2,x3",-0.3249291816934416,-0.023660355573313585,-0.7704203856796188,0.5960212283921744,1.027096714485386,2.153305282720616,0.0,59.76096704985026,1.195219340997005,5.650210926082619,0.11531042706291059,0.0,5.650210926082619,0.0,0.0,0.0,2.1734006498489506,0.04346801299697911,0.2539620767448971,0.005182899525406071,0.4028270214954614,23.96637513764808
48972fb9-4bd3-454b-8181-01f748139bbf,weber_fechner,value,logei,7,exact,False,gaussian,5.0,0,50,0,1,2,1.027096714485386,2.046504381524752,0.1068009011958639,82.1520696098621,1.643041392197242,16.07256958334731,0.3280116241499451,0.6212539228772922,100.68933168374178,"x0,x1,x2,x3",-0.3249291816934416,-0.023660355573313585,-0.7704203856796188,0.5960212283921744,1.027096714485386,2.153305282720616,0.0,59.76096704985026,1.195219340997005,5.650210926082619,0.11531042706291059,0.0,5.650210926082619,0.0,-0.10680090119586394,0.1068009011958639,22.391102560011838,0.4478220512002369,10.422358657264692,0.21270119708703453,0.6212539228772922,95.03912075765916
e1f727e6-9b50-466a-876f-315d730d6e21,weber_fechner,value,logei,7,exact,False,gaussian,0.05,20,50,0,21,22,0.9134677388400289,2.153305282720616,0.0,62.38109371931588,1.2476218743863177,5.650210926082619,0.0,0.0313020178924765,5.918031399570694,"x0,x1,x2,x3",0.0,0.7576276830355478,0.5103171600090504,0.0,0.914719950244512,2.153305282720616,0.0,59.76096704985026,1.195219340997005,5.650210926082619,0.0,0.0,5.650210926082619,-0.0012522114044831723,0.0,0.0,2.62012666946562,0.052402533389312556,0.0,0.0,0.0313020178924765,0.2678204734880749
70fafe76-cd4a-45b1-8d19-9999922a59ca,weber_fechner,value,logei,7,exact,False,gaussian,0.25,20,50,0,21,22,0.9889751090826214,2.153305282720616,0.0,66.67761257471146,1.3335522514942293,5.650210926082619,0.0,0.0186028141700522,5.733923589847853,"x0,x1,x2,x3",0.0,0.8471411703991727,0.5103171600090504,0.0,0.914719950244512,2.153305282720616,0.0,59.76096704985026,1.195219340997005,5.650210926082619,0.0,0.0,5.650210926082619,0.0742551588381094,0.0,0.0,6.916645524861202,0.13833291049722418,0.0,0.0,0.0186028141700522,0.08371266376523412
