iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,3.269722766055607,9.872768433379255,3.1871083848551676,7.88548935820029,-0.7451783695735681,-0.6350712207316315,True,0.11010714884193662,logei,0.0,False,8,cf1f1376-aded-4c0c-9c65-e4709b6c0724,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",5.402837764670362,-0.7451783695735681,6.14801613424393,6.14801613424393,6.14801613424393,6.14801613424393,-0.7451783695735681,6.14801613424393,hicks_law
2,8.69896511696216,3.9108480653919395,4.378818731227988,3.7274890308935307,-0.45245897907849875,-0.6374687652683885,True,-0.18500978618988972,logei,0.0,False,8,cf1f1376-aded-4c0c-9c65-e4709b6c0724,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",5.402837764670362,-0.45245897907849875,5.855296743748861,12.00331287799279,5.855296743748861,6.001656438996395,-0.7451783695735681,6.14801613424393,hicks_law
3,1.0695359647277436,4.789654541627169,2.413521450846823,2.5714524855112977,1.2921019029701162,1.3817924024262802,True,0.08969049945616403,logei,0.0,False,8,cf1f1376-aded-4c0c-9c65-e4709b6c0724,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,4.110735861700245,16.114048739693036,4.110735861700245,5.371349579897679,1.2921019029701162,4.110735861700245,hicks_law
4,1.847315568344149,1.938645489043107,8.13827670155021,4.229841881442264,0.4615077489425049,0.478345255663866,True,0.016837506721361084,logei,0.0,False,8,cf1f1376-aded-4c0c-9c65-e4709b6c0724,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,4.941330015727857,21.055378755420893,4.110735861700245,5.263844688855223,1.2921019029701162,4.110735861700245,hicks_law
5,2.5592050515822606,5.909028517654116,6.042722960584558,6.468580270601879,-0.5066769243475129,-0.3833751491467843,True,0.1233017752007286,logei,0.0,False,8,cf1f1376-aded-4c0c-9c65-e4709b6c0724,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,5.9095146890178745,26.96489344443877,4.110735861700245,5.392978688887753,1.2921019029701162,4.110735861700245,hicks_law
6,0.05670176254250329,4.062421749760353,1.1655606194479706,0.8910356661846034,2.8569438204751885,3.2096539252895937,True,0.35271010481440523,logei,0.3474715000047581,False,8,cf1f1376-aded-4c0c-9c65-e4709b6c0724,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",5.402837764670362,2.8569438204751885,2.545893944195173,29.510787388633943,2.545893944195173,4.918464564772324,2.8569438204751885,2.545893944195173,hicks_law
7,0.0,1.9625577249633281,0.0673364901290461,0.0,4.453349349757242,4.501299352928428,True,0.04795000317118614,logei,0.3828695999982301,False,8,cf1f1376-aded-4c0c-9c65-e4709b6c0724,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",5.402837764670362,4.453349349757242,0.9494884149131195,30.460275803547063,0.9494884149131195,4.351467971935294,4.453349349757242,0.9494884149131195,hicks_law
8,0.0,0.0,0.0,0.0,5.402837764670362,5.805716386374467,True,0.4028786217041054,logei,0.43480640000780113,False,8,cf1f1376-aded-4c0c-9c65-e4709b6c0724,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,0.0,30.460275803547063,0.0,3.807534475443383,5.402837764670362,0.0,hicks_law
9,0.0,0.0,0.0,0.0,5.402837764670362,5.779055702192492,True,0.3762179375221306,logei,0.272046500002034,False,8,cf1f1376-aded-4c0c-9c65-e4709b6c0724,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,0.0,30.460275803547063,0.0,3.384475089283007,5.402837764670362,0.0,hicks_law
10,0.0,0.0,0.0,10.0,3.4251313180712093,3.411995666451698,True,-0.013135651619511357,logei,0.3454452999867499,False,8,cf1f1376-aded-4c0c-9c65-e4709b6c0724,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,1.9777064465991523,32.43798225014621,0.0,3.243798225014621,5.402837764670362,0.0,hicks_law
11,0.0,0.0,0.0,0.0,5.402837764670362,5.193902428779561,True,-0.20893533589080082,logei,0.26278170000296086,False,8,cf1f1376-aded-4c0c-9c65-e4709b6c0724,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,0.0,32.43798225014621,0.0,2.9489074772860193,5.402837764670362,0.0,hicks_law
12,0.0,0.0,0.0,0.0,5.402837764670362,5.622693677065627,True,0.21985591239526503,logei,0.32823550001194235,False,8,cf1f1376-aded-4c0c-9c65-e4709b6c0724,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,0.0,32.43798225014621,0.0,2.7031651875121843,5.402837764670362,0.0,hicks_law
13,2.0961867578038547,0.0,0.0,0.0,4.4707090582794295,4.481756459052883,True,0.01104740077345312,logei,0.32735029999457765,False,8,cf1f1376-aded-4c0c-9c65-e4709b6c0724,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,0.932128706390932,33.37011095653715,0.0,2.566931612041319,5.402837764670362,0.0,hicks_law
14,10.0,10.0,10.0,0.0,-0.5302815751270965,-0.6067954305582881,True,-0.0765138554311916,logei,0.2781484000006458,False,8,cf1f1376-aded-4c0c-9c65-e4709b6c0724,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,5.933119339797458,39.303230296334604,0.0,2.807373592595329,5.402837764670362,0.0,hicks_law
