iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,370.24920397008464,-213.1827909124446,103.14815005156186,277.5340829201788,-0.8884304404527471,-0.8884304404527471,-0.8884304404527471,0.0,False,False,0.0,logei,0.0,False,9,b2e857ad-b090-45d5-b4cf-b57309e13a8d,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,-0.8884304404527471,5.216820812231599,5.216820812231599,5.216820812231599,5.216820812231599,-0.8884304404527471,5.216820812231599,schwefel
2,216.0746296035653,415.3801204905076,360.3936491828846,418.2376290487624,2.7485478000206873,2.7485478000206873,2.7485478000206873,0.0,False,False,0.0,logei,0.0,False,9,b2e857ad-b090-45d5-b4cf-b57309e13a8d,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.7485478000206873,1.5798425717581646,6.796663383989763,1.5798425717581646,3.3983316919948816,2.7485478000206873,1.5798425717581646,schwefel
3,-473.4122655324028,-62.75199987049132,-15.055673022711915,-434.8458026298925,-1.4375677418251045,-1.4375677418251045,-1.4375677418251045,0.0,False,False,0.0,logei,0.0,False,9,b2e857ad-b090-45d5-b4cf-b57309e13a8d,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.7485478000206873,5.765958113603956,12.56262149759372,1.5798425717581646,4.187540499197906,2.7485478000206873,1.5798425717581646,schwefel
4,-494.3739493206071,330.621436971257,483.30224428617555,284.6098526726796,-0.886120106957704,-0.886120106957704,-0.886120106957704,0.0,False,False,0.0,logei,0.0,False,9,b2e857ad-b090-45d5-b4cf-b57309e13a8d,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.7485478000206873,5.214510478736556,17.777131976330274,1.5798425717581646,4.4442829940825685,2.7485478000206873,1.5798425717581646,schwefel
5,-184.39651002172684,205.33370458945376,-200.81892680175326,240.74848287574866,-0.2832592544134897,-0.2832592544134897,-0.2832592544134897,0.0,False,False,0.0,logei,0.0,False,9,b2e857ad-b090-45d5-b4cf-b57309e13a8d,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.7485478000206873,4.611649626192341,22.388781602522617,1.5798425717581646,4.477756320504524,2.7485478000206873,1.5798425717581646,schwefel
6,299.32689758206305,500.0,417.95275195038965,490.6817261032529,-0.3622732032024069,-0.3622732032024069,-0.3622732032024069,0.0,False,False,0.0,logei,1.2227507999923546,False,9,b2e857ad-b090-45d5-b4cf-b57309e13a8d,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.7485478000206873,4.690663574981259,27.079445177503874,1.5798425717581646,4.513240862917312,2.7485478000206873,1.5798425717581646,schwefel
7,191.79473977150258,403.9638942575266,349.71695304840983,401.63801498670244,2.294356701722839,2.294356701722839,2.294356701722839,0.0,False,False,0.0,logei,1.472138300014194,False,9,b2e857ad-b090-45d5-b4cf-b57309e13a8d,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.7485478000206873,2.034033670056013,29.113478847559886,1.5798425717581646,4.15906840679427,2.7485478000206873,1.5798425717581646,schwefel
8,368.3837874813385,355.867628834506,361.9175745161127,473.37527924691403,0.7801389364061729,0.7801389364061729,0.7801389364061729,0.0,False,False,0.0,logei,1.6680332999967504,False,9,b2e857ad-b090-45d5-b4cf-b57309e13a8d,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.7485478000206873,3.548251435372679,32.66173028293257,1.5798425717581646,4.082716285366571,2.7485478000206873,1.5798425717581646,schwefel
9,192.61457603183274,322.8872133397004,371.82574278867384,423.95830477020985,1.3202500531991657,1.3202500531991657,1.3202500531991657,0.0,False,False,0.0,logei,1.622935299994424,False,9,b2e857ad-b090-45d5-b4cf-b57309e13a8d,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.7485478000206873,3.0081403185796862,35.66987060151225,1.5798425717581646,3.9633189557235835,2.7485478000206873,1.5798425717581646,schwefel
10,359.2460963084096,450.07386537227717,302.4361700566819,417.7108807245692,1.213317705446562,1.213317705446562,1.213317705446562,0.0,False,False,0.0,logei,1.678780000016559,False,9,b2e857ad-b090-45d5-b4cf-b57309e13a8d,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.7485478000206873,3.11507266633229,38.78494326784454,1.5798425717581646,3.878494326784454,2.7485478000206873,1.5798425717581646,schwefel
