iteration,x0,x1,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,3.269722766055607,9.872768433379255,-1.587991309213067,-1.587991309213067,-1.587991309213067,0.0,False,False,0.0,qnei,0.0,False,8,493966d4-bb3d-44d7-a8d7-4f353029ffec,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,-1.587991309213067,2.8380467751131357,2.8380467751131357,2.8380467751131357,2.8380467751131357,-1.587991309213067,2.8380467751131357,branin
2,3.1871083848551676,7.88548935820029,-0.2758751336528205,-0.2758751336528205,-0.2758751336528205,0.0,False,False,0.0,qnei,0.0,False,8,493966d4-bb3d-44d7-a8d7-4f353029ffec,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,-0.2758751336528205,1.5259305995528891,4.363977374666025,1.5259305995528891,2.1819886873330123,-0.2758751336528205,1.5259305995528891,branin
3,8.69896511696216,3.9108480653919395,0.9466005748160842,0.9466005748160842,0.9466005748160842,0.0,False,False,0.0,qnei,0.0,False,8,493966d4-bb3d-44d7-a8d7-4f353029ffec,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.9466005748160842,0.3034548910839845,4.667432265750009,0.3034548910839845,1.5558107552500031,0.9466005748160842,0.3034548910839845,branin
4,4.378818731227988,3.7274890308935307,0.7051912849198183,0.7051912849198183,0.7051912849198183,0.0,False,False,0.0,qnei,0.0,False,8,493966d4-bb3d-44d7-a8d7-4f353029ffec,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.9466005748160842,0.5448641809802504,5.21229644673026,0.3034548910839845,1.303074111682565,0.9466005748160842,0.3034548910839845,branin
5,1.0695359647277436,4.789654541627169,0.5640184516399775,0.5640184516399775,0.5640184516399775,0.0,False,False,0.0,qnei,0.0,False,8,493966d4-bb3d-44d7-a8d7-4f353029ffec,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.9466005748160842,0.6860370142600911,5.898333460990351,0.3034548910839845,1.17966669219807,0.9466005748160842,0.3034548910839845,branin
6,10.0,5.10987291957047,0.9636521857922282,0.9636521857922282,0.9636521857922282,0.0,False,False,0.0,qnei,0.763031399983447,False,8,493966d4-bb3d-44d7-a8d7-4f353029ffec,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.9636521857922282,0.28640328010784044,6.184736741098192,0.28640328010784044,1.0307894568496987,0.9636521857922282,0.28640328010784044,branin
7,10.0,0.0,0.7445238005749768,0.7445238005749768,0.7445238005749768,0.0,False,False,0.0,qnei,0.5900572999962606,False,8,493966d4-bb3d-44d7-a8d7-4f353029ffec,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.9636521857922282,0.5055316653250919,6.690268406423284,0.28640328010784044,0.9557526294890406,0.9636521857922282,0.28640328010784044,branin
8,10.0,3.8967998701112676,1.1378646227428488,1.1378646227428488,1.1378646227428488,0.0,False,False,0.0,qnei,0.7479824999463744,False,8,493966d4-bb3d-44d7-a8d7-4f353029ffec,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1378646227428488,0.11219084315721983,6.802459249580504,0.11219084315721983,0.850307406197563,1.1378646227428488,0.11219084315721983,branin
9,10.0,2.544288724306906,1.1660332818744283,1.1660332818744283,1.1660332818744283,0.0,False,False,0.0,qnei,0.5744625999941491,False,8,493966d4-bb3d-44d7-a8d7-4f353029ffec,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1660332818744283,0.08402218402564032,6.886481433606144,0.08402218402564032,0.765164603734016,1.1660332818744283,0.08402218402564032,branin
10,0.0,0.0,-1.3919476339504895,-1.3919476339504895,-1.3919476339504895,0.0,False,False,0.0,qnei,0.5913162999786437,False,8,493966d4-bb3d-44d7-a8d7-4f353029ffec,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1660332818744283,2.642003099850558,9.528484533456702,0.08402218402564032,0.9528484533456701,1.1660332818744283,0.08402218402564032,branin
