iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.6031481500515619,0.7775340829201788,0.9624856367606308,0.9624856367606308,False,0.0,ts,0.0,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,0.9624856367606308,1.190819645959985,1.190819645959985,1.190819645959985,1.190819645959985,0.9624856367606308,1.190819645959985,weber_fechner
2,0.7160746296035653,0.9153801204905075,0.8603936491828846,0.9182376290487624,1.7860500129827057,1.7860500129827057,False,0.0,ts,0.0,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7860500129827057,0.3672552697379101,1.558074915697895,0.3672552697379101,0.7790374578489475,1.7860500129827057,0.3672552697379101,weber_fechner
3,0.026587734467597213,0.4372480001295087,0.48494432697728806,0.06515419737010752,-2.047890862924496,-2.047890862924496,False,0.0,ts,0.0,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7860500129827057,4.2011961456451115,5.759271061343006,0.3672552697379101,1.9197570204476688,1.7860500129827057,0.3672552697379101,weber_fechner
4,0.005626050679392924,0.830621436971257,0.9833022442861755,0.7846098526726796,-0.4478073204329629,-0.4478073204329629,False,0.0,ts,0.0,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7860500129827057,2.6011126031535787,8.360383664496585,0.3672552697379101,2.090095916124146,1.7860500129827057,0.3672552697379101,weber_fechner
5,0.31560348997827314,0.7053337045894538,0.2991810731982467,0.7407484828757487,0.48423189886875717,0.48423189886875717,False,0.0,ts,0.0,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7860500129827057,1.6690733838518588,10.029457048348444,0.3672552697379101,2.005891409669689,1.7860500129827057,0.3672552697379101,weber_fechner
6,0.7482959729157477,1.0,0.1588257659228649,1.0,0.9819663324835468,0.9819663324835468,False,0.0,ts,0.2692033000057563,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7860500129827057,1.171338950237069,11.200795998585512,0.3672552697379101,1.8667993330975854,1.7860500129827057,0.3672552697379101,weber_fechner
7,0.6236098747830142,1.0,1.0,0.7187970074923667,1.7059932458880602,1.7059932458880602,False,0.0,ts,0.3066375999478623,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7860500129827057,0.4473120368325556,11.648108035418067,0.3672552697379101,1.6640154336311526,1.7860500129827057,0.3672552697379101,weber_fechner
8,0.5711752679149203,0.9848627961111278,1.0,1.0,1.8328803624215058,1.8328803624215058,False,0.0,ts,0.35253169998759404,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.8328803624215058,0.32042492029911007,11.968532955717178,0.32042492029911007,1.4960666194646473,1.8328803624215058,0.32042492029911007,weber_fechner
9,1.0,1.0,1.0,0.9469140854974937,2.122833667964932,2.122833667964932,False,0.0,ts,0.3367953000124544,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.122833667964932,0.03047161475568405,11.999004570472863,0.03047161475568405,1.3332227300525403,2.122833667964932,0.03047161475568405,weber_fechner
10,0.8068479269990398,1.0,1.0,1.0,2.033515649687028,2.033515649687028,False,0.0,ts,0.3240273999981582,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.122833667964932,0.1197896330335877,12.11879420350645,0.03047161475568405,1.211879420350645,2.122833667964932,0.03047161475568405,weber_fechner
11,0.9855321322952605,0.5918500380678289,1.0,1.0,1.8529881171012745,1.8529881171012745,False,0.0,ts,0.29592359997332096,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.122833667964932,0.3003171656193413,12.419111369125792,0.03047161475568405,1.1290101244659811,2.122833667964932,0.03047161475568405,weber_fechner
12,0.8513572875092903,1.0,1.0,1.0,2.0634592640687917,2.0634592640687917,False,0.0,ts,0.34073989995522425,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.122833667964932,0.08984601865182418,12.508957387777617,0.03047161475568405,1.0424131156481347,2.122833667964932,0.03047161475568405,weber_fechner
13,1.0,1.0,1.0,0.361421376145364,1.5887245619822854,1.5887245619822854,False,0.0,ts,0.36261469998862594,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.122833667964932,0.5645807207383304,13.073538108515947,0.03047161475568405,1.0056567775781498,2.122833667964932,0.03047161475568405,weber_fechner
14,1.0,1.0,1.0,0.9383674026977599,2.1177703240948653,2.1177703240948653,False,0.0,ts,0.31940759997814894,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.122833667964932,0.03553495862575051,13.109073067141697,0.03047161475568405,0.9363623619386926,2.122833667964932,0.03047161475568405,weber_fechner
15,1.0,1.0,1.0,0.879619506622717,2.081679737608943,2.081679737608943,False,0.0,ts,0.3928229999728501,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.122833667964932,0.07162554511167274,13.18069861225337,0.03047161475568405,0.8787132408168913,2.122833667964932,0.03047161475568405,weber_fechner
16,1.0,1.0,1.0,1.0,2.153305282720616,2.153305282720616,False,0.0,ts,0.3411470999708399,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,0.0,13.18069861225337,0.0,0.8237936632658356,2.153305282720616,0.0,weber_fechner
17,1.0,1.0,1.0,0.9461019175086273,2.122354460733761,2.122354460733761,False,0.0,ts,0.46628579997923225,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,0.030950821986854837,13.211649434240224,0.0,0.7771558490729543,2.153305282720616,0.0,weber_fechner
18,1.0,1.0,1.0,1.0,2.153305282720616,2.153305282720616,False,0.0,ts,0.5233175000175834,False,9,22e77fee-d1f5-425b-b2ce-c52fe5187ab8,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,0.0,13.211649434240224,0.0,0.7339805241244569,2.153305282720616,0.0,weber_fechner
