iteration,Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8647975870165865,0.855302514932059,0.8110233987843422,0.2614463614164766,0.0771994577184214,0.9464657804460633,0.6137916910471019,0.00263075362629972,0.9104071780658378,0.9848034752375554,0.2862966041661704,0.8136611230389795,0.08240794388130823,0.4382800473034214,0.8177037747448075,0.40873333268977363,0.2017905092592585,0.2017905092592585,False,0.0,logei,0.0,False,13,59a888ef-c106-4241-af98-35743ed34db1,gaussian,0.781517,20,extra_trees,composite,learned,1e-06,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.2017905092592585,0.7953113425925935,0.7953113425925935,0.7953113425925935,0.7953113425925935,0.2017905092592585,0.7953113425925935,opticarvis
2,0.5177497071869771,0.11703988347506633,0.8140065192501118,0.4978674083325122,0.24827919488667194,0.7766861560008684,0.9792282891895626,0.53834323407629,0.7371502226207836,0.9927606888483627,0.03012749637532397,0.5989776523667713,0.9672952777915866,0.11733657384331686,0.2231014949939203,0.5502283889833729,0.33917083333333314,0.33917083333333314,False,0.0,logei,0.0,False,13,59a888ef-c106-4241-af98-35743ed34db1,gaussian,0.781517,20,extra_trees,composite,learned,1e-06,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.33917083333333314,0.6579310185185188,1.4532423611111123,0.6579310185185188,0.7266211805555561,0.33917083333333314,0.6579310185185188,opticarvis
3,0.722327310719796,0.5527524153948293,0.5477017956423661,0.0515388294743615,0.7392297121947433,0.32070150992281876,0.07396187379140517,0.9584683194126471,0.6596713208492915,0.45578296007926533,0.7326514668471766,0.4778900309019434,0.12472133330591129,0.6045798880373442,0.7469364245619166,0.7441468288332692,0.41150980750487365,0.41150980750487365,False,0.0,logei,0.0,False,13,59a888ef-c106-4241-af98-35743ed34db1,gaussian,0.781517,20,extra_trees,composite,learned,1e-06,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.41150980750487365,0.5855920443469783,2.0388344054580907,0.5855920443469783,0.6796114684860303,0.41150980750487365,0.5855920443469783,opticarvis
4,0.5515674012638448,0.9284915198370209,0.9457125619000804,0.8748696622696762,0.3716436351591228,0.2677700742588114,0.5298119827496722,0.6543102125920736,0.1605932683017619,0.5594645356105491,0.4389482531021668,0.0016647948525158052,0.41882978512031743,0.3998988932189942,0.9633892562820303,0.054514811423870047,0.6898067129629627,0.6898067129629627,False,0.0,logei,0.0,False,13,59a888ef-c106-4241-af98-35743ed34db1,gaussian,0.781517,20,extra_trees,composite,learned,1e-06,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.6898067129629627,0.30729513888888926,2.34612954434698,0.30729513888888926,0.586532386086745,0.6898067129629627,0.30729513888888926,opticarvis
5,0.9285460335053835,0.9083194924222268,0.5998002500769789,0.1872290474547189,0.7913043338720918,0.16152169054797472,0.3206403846444068,0.6664230870814164,0.4252353008413222,0.4609252157924165,0.30315722537378154,0.03723728048946706,0.3607681347214251,0.8266223901229942,0.8301617250714785,0.08106201414430547,0.6094502314814826,0.6094502314814826,False,0.0,logei,0.0,False,13,59a888ef-c106-4241-af98-35743ed34db1,gaussian,0.781517,20,extra_trees,composite,learned,1e-06,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.6898067129629627,0.3876516203703694,2.733781164717349,0.30729513888888926,0.5467562329434699,0.6898067129629627,0.30729513888888926,opticarvis
6,0.5512650904905566,1.0,1.0,1.0,0.6539812626825977,0.0,0.5096179552371605,0.8803732069897755,0.0,0.2133777048004275,0.33478447781668325,0.0,0.6346910708972949,0.6265936054249709,1.0,0.0,0.6046717592592595,0.6046717592592595,False,0.0,logei,1.0298013999708928,False,13,59a888ef-c106-4241-af98-35743ed34db1,gaussian,0.781517,20,extra_trees,composite,learned,1e-06,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.6898067129629627,0.3924300925925924,3.1262112573099414,0.30729513888888926,0.5210352095516569,0.6898067129629627,0.30729513888888926,opticarvis
7,0.5512650904905566,1.0,1.0,1.0,0.6539812626825977,0.0,0.5096179552371605,0.8803732069897755,0.0,0.2133777048004275,0.33478447781668325,0.0,0.6346910708972949,0.6265936054249709,1.0,0.0,0.6046717592592595,0.6046717592592595,False,0.0,logei,0.0,False,13,59a888ef-c106-4241-af98-35743ed34db1,gaussian,0.781517,20,extra_trees,composite,learned,1e-06,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.6898067129629627,0.3924300925925924,3.5186413499025337,0.30729513888888926,0.5026630499860762,0.6898067129629627,0.30729513888888926,opticarvis
8,0.6596692291033006,1.0,0.6628959479632632,0.6921364390922455,0.280253955311979,0.038836462978532195,0.3434522389634106,0.5839072122413124,0.0,0.9662372472667116,0.6624665023439459,0.0,0.10178188322813021,0.2257267760499098,1.0,0.0,0.5619293981481474,0.5619293981481474,False,0.0,logei,1.6165467000100762,False,13,59a888ef-c106-4241-af98-35743ed34db1,gaussian,0.781517,20,extra_trees,composite,learned,1e-06,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.6898067129629627,0.4351724537037046,3.9538138036062382,0.30729513888888926,0.4942267254507798,0.6898067129629627,0.30729513888888926,opticarvis
9,0.6596692291033006,1.0,0.6628959479632632,0.6921364390922455,0.280253955311979,0.038836462978532195,0.3434522389634106,0.5839072122413124,0.0,0.9662372472667116,0.6624665023439459,0.0,0.10178188322813021,0.2257267760499098,1.0,0.0,0.5619293981481474,0.5619293981481474,False,0.0,logei,0.0,False,13,59a888ef-c106-4241-af98-35743ed34db1,gaussian,0.781517,20,extra_trees,composite,learned,1e-06,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.6898067129629627,0.4351724537037046,4.388986257309943,0.30729513888888926,0.4876651397011048,0.6898067129629627,0.30729513888888926,opticarvis
10,0.5365663458836686,0.9804605375782289,1.0,0.6133173781305148,0.3635647264355353,0.7592860219561859,0.5155093674252851,0.6184362543812165,0.23796737259814088,0.3791743479057775,0.44553044008253,0.0,0.36062342282811544,0.5024306225312645,1.0,0.0,0.5577361111111114,0.5577361111111114,False,0.0,logei,1.9640262000029907,False,13,59a888ef-c106-4241-af98-35743ed34db1,gaussian,0.781517,20,extra_trees,composite,learned,1e-06,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.6898067129629627,0.43936574074074053,4.8283519980506835,0.30729513888888926,0.48283519980506834,0.6898067129629627,0.30729513888888926,opticarvis
