iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.625095466604667,0.8972138009695755,0.7756856902451935,0.22520718999059186,0.8667354478597996,0.8667354478597996,False,0.0,logei,0.0,False,7,001bebb9-c780-4164-9779-dddd47d9fb24,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,0.8667354478597996,1.286569834860816,1.286569834860816,1.286569834860816,1.286569834860816,0.8667354478597996,1.286569834860816,weber_fechner
2,0.30016628491122543,0.8735534453962619,0.005265304565574724,0.8212284183827663,-1.0643392029821754,-1.0643392029821754,False,0.0,logei,0.0,False,7,001bebb9-c780-4164-9779-dddd47d9fb24,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,0.8667354478597996,3.2176444857027913,4.504214320563607,1.286569834860816,2.2521071602818035,0.8667354478597996,1.286569834860816,weber_fechner
3,0.7970694287520462,0.4679349528437208,0.3030324268193135,0.2784256121007733,0.2360213266448916,0.2360213266448916,False,0.0,logei,0.0,False,7,001bebb9-c780-4164-9779-dddd47d9fb24,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,0.8667354478597996,1.9172839560757242,6.421498276639332,1.286569834860816,2.140499425546444,0.8667354478597996,1.286569834860816,weber_fechner
4,0.2548695876541246,0.4450763058826466,0.5045482589579533,0.5534973520744925,0.23801149854205525,0.23801149854205525,False,0.0,logei,0.0,False,7,001bebb9-c780-4164-9779-dddd47d9fb24,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,0.8667354478597996,1.9152937841785607,8.336792060817892,1.286569834860816,2.084198015204473,0.8667354478597996,1.286569834860816,weber_fechner
5,0.9955002834343927,0.7926619192137531,0.6221792294411627,0.9889601476818849,1.7504782612251544,1.7504782612251544,False,0.0,logei,0.0,False,7,001bebb9-c780-4164-9779-dddd47d9fb24,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7504782612251544,0.40282702149546146,8.739619082313354,0.40282702149546146,1.7479238164626707,1.7504782612251544,0.40282702149546146,weber_fechner
6,1.0,0.4514489867006152,0.7870865766956192,1.0,1.5776019018081262,1.5776019018081262,False,0.0,logei,0.9489578000066103,False,7,001bebb9-c780-4164-9779-dddd47d9fb24,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7504782612251544,0.5757033809124896,9.315322463225844,0.40282702149546146,1.552553743870974,1.7504782612251544,0.40282702149546146,weber_fechner
7,1.0,0.4514489867006152,0.7870865766956192,1.0,1.5776019018081262,1.5776019018081262,False,0.0,logei,0.0,False,7,001bebb9-c780-4164-9779-dddd47d9fb24,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7504782612251544,0.5757033809124896,9.891025844138333,0.40282702149546146,1.413003692019762,1.7504782612251544,0.40282702149546146,weber_fechner
8,1.0,1.0,0.7243900330144935,1.0,1.9734592306749938,1.9734592306749938,False,0.0,logei,1.194230700013577,False,7,001bebb9-c780-4164-9779-dddd47d9fb24,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.9734592306749938,0.17984605204562198,10.070871896183956,0.17984605204562198,1.2588589870229945,1.9734592306749938,0.17984605204562198,weber_fechner
9,1.0,1.0,0.7243900330144935,1.0,1.9734592306749938,1.9734592306749938,False,0.0,logei,0.0,False,7,001bebb9-c780-4164-9779-dddd47d9fb24,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.9734592306749938,0.17984605204562198,10.250717948229578,0.17984605204562198,1.1389686609143976,1.9734592306749938,0.17984605204562198,weber_fechner
10,0.6677924296673408,1.0,0.9363786981422004,1.0,1.891477318210659,1.891477318210659,False,0.0,logei,1.4696239000040805,False,7,001bebb9-c780-4164-9779-dddd47d9fb24,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.9734592306749938,0.2618279645099568,10.512545912739535,0.17984605204562198,1.0512545912739535,1.9734592306749938,0.17984605204562198,weber_fechner
11,0.6677924296673408,1.0,0.9363786981422004,1.0,1.891477318210659,1.891477318210659,False,0.0,logei,0.0,False,7,001bebb9-c780-4164-9779-dddd47d9fb24,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.9734592306749938,0.2618279645099568,10.774373877249491,0.17984605204562198,0.9794885342954083,1.9734592306749938,0.17984605204562198,weber_fechner
12,1.0,1.0,0.8997549512822578,1.0,2.0943112069955157,2.0943112069955157,False,0.0,logei,1.275428799999645,False,7,001bebb9-c780-4164-9779-dddd47d9fb24,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.0943112069955157,0.05899407572510018,10.83336795297459,0.05899407572510018,0.9027806627478826,2.0943112069955157,0.05899407572510018,weber_fechner
13,1.0,1.0,0.8997549512822578,1.0,2.0943112069955157,2.0943112069955157,False,0.0,logei,0.0,False,7,001bebb9-c780-4164-9779-dddd47d9fb24,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.0943112069955157,0.05899407572510018,10.89236202869969,0.05899407572510018,0.8378740022076685,2.0943112069955157,0.05899407572510018,weber_fechner
14,1.0,1.0,1.0,1.0,2.153305282720616,2.153305282720616,False,0.0,logei,1.3531464999978198,False,7,001bebb9-c780-4164-9779-dddd47d9fb24,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,0.0,10.89236202869969,0.0,0.778025859192835,2.153305282720616,0.0,weber_fechner
15,1.0,1.0,1.0,1.0,2.153305282720616,2.153305282720616,False,0.0,logei,0.0,False,7,001bebb9-c780-4164-9779-dddd47d9fb24,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,2.153305282720616,0.0,10.89236202869969,0.0,0.7261574685799793,2.153305282720616,0.0,weber_fechner
