iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-1.7718038875590585,4.989714875780357,-1.8564010139083087,2.9547411027970965,1.0327178832228523,1.0327178832228523,1.0327178832228523,0.0,False,False,0.0,sobol,0.0,False,8,42e3b179-0342-48f4-b197-4fc1278a9a38,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.0327178832228523,2.6062211902151997,2.6062211902151997,2.6062211902151997,2.6062211902151997,1.0327178832228523,2.6062211902151997,rastrigin
2,3.7877402797692534,-1.1152915810386537,-0.63608961922254,-1.303051232365025,0.8059804770565494,0.8059804770565494,0.8059804770565494,0.0,False,False,0.0,sobol,0.0,False,8,42e3b179-0342-48f4-b197-4fc1278a9a38,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.0327178832228523,2.8329585963815025,5.439179786596702,2.6062211902151997,2.719589893298351,1.0327178832228523,2.6062211902151997,rastrigin
3,-4.0247951721187905,-0.21539374937377787,-2.6485540343328533,-2.4868326548364315,0.03811175389629434,0.03811175389629434,0.03811175389629434,0.0,False,False,0.0,sobol,0.0,False,8,42e3b179-0342-48f4-b197-4fc1278a9a38,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.0327178832228523,3.6008273195417573,9.040007106138459,2.6062211902151997,3.013335702046153,1.0327178832228523,2.6062211902151997,rastrigin
4,-3.2283488580155915,-3.134827019219858,3.213595342387415,-0.7886419134031222,0.7637179221077934,0.7637179221077934,0.7637179221077934,0.0,False,False,0.0,sobol,0.0,False,8,42e3b179-0342-48f4-b197-4fc1278a9a38,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.0327178832228523,2.8752211513302584,11.915228257468717,2.6062211902151997,2.9788070643671793,1.0327178832228523,2.6062211902151997,rastrigin
5,-2.499374027179765,0.9308452020778146,1.0677483116385869,1.5038261970963243,1.0689624694041593,1.0689624694041593,1.0689624694041593,0.0,False,False,0.0,sobol,0.0,False,8,42e3b179-0342-48f4-b197-4fc1278a9a38,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.0689624694041593,2.5699766040338927,14.48520486150261,2.5699766040338927,2.897040972300522,1.0689624694041593,2.5699766040338927,rastrigin
6,0.4767837238311765,-0.8106958961486814,-3.8070781326293943,-2.289567060470581,0.41045711951068103,0.41045711951068103,0.41045711951068103,0.0,False,False,0.0,sobol,0.0,False,8,42e3b179-0342-48f4-b197-4fc1278a9a38,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.0689624694041593,3.228481953927371,17.71368681542998,2.5699766040338927,2.9522811359049967,1.0689624694041593,2.5699766040338927,rastrigin
7,-1.3011207962036133,1.4082672309875486,0.13288523674011188,3.691173419952393,0.40960210695731664,0.40960210695731664,0.40960210695731664,0.0,False,False,0.0,sobol,0.0,False,8,42e3b179-0342-48f4-b197-4fc1278a9a38,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.0689624694041593,3.229336966480735,20.943023781910714,2.5699766040338927,2.9918605402729592,1.0689624694041593,2.5699766040338927,rastrigin
8,-3.287331171035767,-3.091056060791016,-0.501391115188599,-2.5826040840148927,-0.28385809536851075,-0.28385809536851075,-0.28385809536851075,0.0,False,False,0.0,sobol,0.0,False,8,42e3b179-0342-48f4-b197-4fc1278a9a38,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.0689624694041593,3.9227971688065626,24.86582095071728,2.5699766040338927,3.10822761883966,1.0689624694041593,2.5699766040338927,rastrigin
9,4.850418300628662,4.888495521545411,3.2387285232543954,1.5165738773345945,-1.0708653630944602,-1.0708653630944602,-1.0708653630944602,0.0,False,False,0.0,sobol,0.0,False,8,42e3b179-0342-48f4-b197-4fc1278a9a38,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.0689624694041593,4.709804436532512,29.57562538724979,2.5699766040338927,3.28618059858331,1.0689624694041593,2.5699766040338927,rastrigin
10,3.6753039646148684,-4.195612115859985,2.2574456310272213,0.5430979251861574,-0.6715768598572645,-0.6715768598572645,-0.6715768598572645,0.0,False,False,0.0,sobol,0.0,False,8,42e3b179-0342-48f4-b197-4fc1278a9a38,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.0689624694041593,4.310515933295316,33.88614132054511,2.5699766040338927,3.388614132054511,1.0689624694041593,2.5699766040338927,rastrigin
11,-4.502141265869141,3.823041868209839,-4.002595863342285,-4.196471881866455,-1.310434283102151,-1.310434283102151,-1.310434283102151,0.0,False,False,0.0,sobol,0.0,False,8,42e3b179-0342-48f4-b197-4fc1278a9a38,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.0689624694041593,4.949373356540203,38.835514677085314,2.5699766040338927,3.530501334280483,1.0689624694041593,2.5699766040338927,rastrigin
12,-0.08569523811340307,-1.9952130031585695,4.3115704727172846,4.6497287178039555,-0.05796330447934226,-0.05796330447934226,-0.05796330447934226,0.0,False,False,0.0,sobol,0.0,False,8,42e3b179-0342-48f4-b197-4fc1278a9a38,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.0689624694041593,3.696902377917394,42.53241705500271,2.5699766040338927,3.5443680879168924,1.0689624694041593,2.5699766040338927,rastrigin
13,1.6512824440002438,0.26277455329895005,-2.228314790725708,-0.6907786083221437,0.8334222930939916,0.8334222930939916,0.8334222930939916,0.0,False,False,0.0,sobol,0.0,False,8,42e3b179-0342-48f4-b197-4fc1278a9a38,slip,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.0689624694041593,2.8055167803440604,45.337933835346774,2.5699766040338927,3.487533371949752,1.0689624694041593,2.5699766040338927,rastrigin
