iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.6014983576233575,0.028689008371944547,-2.1827114587944556,-2.1827114587944556,False,0.0,logei,0.0,False,11,a939376b-d582-47d2-9205-c74ead08a1d8,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,-2.1827114587944556,3.9002861585856374,3.9002861585856374,3.9002861585856374,3.9002861585856374,-2.1827114587944556,3.9002861585856374,power_law_practice
2,0.14792608457745593,0.9282110229603695,0.07042057615419683,0.12977394939929798,-0.8629290572222023,-0.8629290572222023,False,0.0,logei,0.0,False,11,a939376b-d582-47d2-9205-c74ead08a1d8,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,-0.8629290572222023,2.5805037570133837,6.480789915599021,2.5805037570133837,3.2403949577995106,-0.8629290572222023,2.5805037570133837,power_law_practice
3,0.9483284532917751,0.6218835927963828,0.368993123729791,0.5113900218032627,0.4221765722959136,0.4221765722959136,False,0.0,logei,0.0,False,11,a939376b-d582-47d2-9205-c74ead08a1d8,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.4221765722959136,1.295398127495268,7.776188043094289,1.295398127495268,2.59206268103143,0.4221765722959136,1.295398127495268,power_law_practice
4,0.6628429525167993,0.2753088157611293,0.13796807286695534,0.7880395945039919,0.5441567443560262,0.5441567443560262,False,0.0,logei,0.0,False,11,a939376b-d582-47d2-9205-c74ead08a1d8,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.5441567443560262,1.1734179554351554,8.949605998529444,1.1734179554351554,2.237401499632361,0.5441567443560262,1.1734179554351554,power_law_practice
5,0.6703605841024838,0.5123823134831604,0.8167364359696581,0.5490752688700263,0.524462037365657,0.524462037365657,False,0.0,logei,0.0,False,11,a939376b-d582-47d2-9205-c74ead08a1d8,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.5441567443560262,1.1931126624255246,10.14271866095497,1.1734179554351554,2.028543732190994,0.5441567443560262,1.1734179554351554,power_law_practice
6,0.4752940389242577,0.7685613843240944,0.5997994166649049,0.7430309921324006,0.760861691947919,0.760861691947919,False,0.0,logei,0.3049300000129733,False,11,a939376b-d582-47d2-9205-c74ead08a1d8,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.760861691947919,0.9567130078432626,11.099431668798232,0.9567130078432626,1.8499052781330387,0.760861691947919,0.9567130078432626,power_law_practice
7,0.0,0.821018633370264,0.0,0.6255276646949842,0.4022976368164817,0.4022976368164817,False,0.0,logei,0.3005839000106789,False,11,a939376b-d582-47d2-9205-c74ead08a1d8,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.760861691947919,1.3152770629747,12.414708731772931,0.9567130078432626,1.7735298188247044,0.760861691947919,0.9567130078432626,power_law_practice
8,1.0,0.5832074727811862,1.0,0.7520575875608451,1.1768575892676403,1.1768575892676403,False,0.0,logei,0.28109450000920333,False,11,a939376b-d582-47d2-9205-c74ead08a1d8,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.1768575892676403,0.5407171105235413,12.955425842296473,0.5407171105235413,1.619428230287059,1.1768575892676403,0.5407171105235413,power_law_practice
9,1.0,0.5196899367961472,1.0,0.9937727628318049,1.4237079660786138,1.4237079660786138,False,0.0,logei,0.29509849997702986,False,11,a939376b-d582-47d2-9205-c74ead08a1d8,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.4237079660786138,0.2938667337125678,13.24929257600904,0.2938667337125678,1.47214361955656,1.4237079660786138,0.2938667337125678,power_law_practice
10,0.0,0.5132544187611869,1.0,1.0,0.8605001289430257,0.8605001289430257,False,0.0,logei,0.38766059998306446,False,11,a939376b-d582-47d2-9205-c74ead08a1d8,bias,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.4237079660786138,0.8570745708481559,14.106367146857195,0.2938667337125678,1.4106367146857195,1.4237079660786138,0.2938667337125678,power_law_practice
