iteration,verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,dataset
1,0.9351246019850423,0.6434086045437777,0.8015740750257809,0.8887670414600894,0.8580373148017826,0.9576900602452538,0.9301968245914423,0.9591188145243812,0.5132938672337986,5.05304305555555,5.05304305555555,False,0.0,qpi,0.0,9,c5153441-70b3-447d-9f3d-a35f1640bb92,gaussian,1.0,20,extra_trees,composite,5.370034722222271,5.05304305555555,0.31699166666672074,0.31699166666672074,0.31699166666672074,0.31699166666672074,ehmi
2,0.7186240000647544,0.742472163488644,0.5325770986850538,0.5028130253396965,0.9153107184856285,0.9916511221430877,0.8923049263363398,0.6578017449891366,0.8526668522947269,4.427694444444447,4.427694444444447,False,0.0,qpi,0.0,9,c5153441-70b3-447d-9f3d-a35f1640bb92,gaussian,1.0,20,extra_trees,composite,5.370034722222271,5.05304305555555,0.9423402777778236,1.2593319444445443,0.31699166666672074,0.6296659722222722,ehmi
3,0.6495905365991234,0.8703742414378743,0.6398736098741435,0.8912954576640657,0.9938703734472883,0.9931192746401192,0.9414312834983378,0.956405025891959,0.8541034570515862,4.74439027777778,4.74439027777778,False,0.0,qpi,0.0,9,c5153441-70b3-447d-9f3d-a35f1640bb92,gaussian,1.0,20,extra_trees,composite,5.370034722222271,5.05304305555555,0.6256444444444904,1.8849763888890347,0.31699166666672074,0.6283254629630116,ehmi
4,0.7772484386317544,0.9616191040351103,0.5448653899271563,0.6850657725700038,0.8029694717546314,0.7388649484593428,0.8964289402486141,0.5975431967395233,0.5311267487083318,4.645995833333334,4.645995833333334,False,0.0,qpi,0.0,9,c5153441-70b3-447d-9f3d-a35f1640bb92,gaussian,1.0,20,extra_trees,composite,5.370034722222271,5.05304305555555,0.7240388888889369,2.6090152777779716,0.31699166666672074,0.6522538194444929,ehmi
5,0.5632592036199591,0.9813907924585814,0.5663872686147152,0.6130491636815857,0.6885281854781093,0.811710820670398,0.8910480653346513,0.5393244468846405,0.9656187265715176,4.645585470085471,4.645585470085471,False,0.0,qpi,0.0,9,c5153441-70b3-447d-9f3d-a35f1640bb92,gaussian,1.0,20,extra_trees,composite,5.370034722222271,5.05304305555555,0.7244492521368002,3.333464529914772,0.31699166666672074,0.6666929059829544,ehmi
6,0.9610940423707738,0.6335872660648956,0.8299739621933911,0.924973672211368,0.8447607487524235,0.9484196916861282,0.9330925031656954,0.9825315856540947,0.5,5.0237986111111015,5.0237986111111015,False,0.0,qpi,0.5560739999637008,9,c5153441-70b3-447d-9f3d-a35f1640bb92,gaussian,1.0,20,extra_trees,composite,5.370034722222271,5.05304305555555,0.34623611111116936,3.679700641025941,0.31699166666672074,0.6132834401709902,ehmi
7,0.916791790340338,0.6444547225362479,0.7964074954005763,0.8296766553832253,0.799704640955536,0.9414313906140017,0.9208504599226116,0.8885982457055418,0.5,4.970079166666664,4.970079166666664,False,0.0,qpi,0.9184011000907049,9,c5153441-70b3-447d-9f3d-a35f1640bb92,gaussian,1.0,20,extra_trees,composite,5.370034722222271,5.05304305555555,0.39995555555560713,4.079656196581548,0.31699166666672074,0.5828080280830783,ehmi
8,0.9431975473126132,0.6429135663567812,0.7880394117771585,0.9264639874066032,0.9345016073873675,0.9844629179105733,0.9383439061024184,1.0,0.5134249145194146,5.127277777777769,5.127277777777769,False,0.0,qpi,0.5718881000066176,9,c5153441-70b3-447d-9f3d-a35f1640bb92,gaussian,1.0,20,extra_trees,composite,5.370034722222271,5.127277777777769,0.24275694444450213,4.3224131410260505,0.24275694444450213,0.5403016426282563,ehmi
9,0.9574610988130708,0.6388033474598882,0.7807183133849814,0.9679371031058979,1.0,1.0,0.9464914104678455,1.0,0.502546448849587,5.127862499999991,5.127862499999991,False,0.0,qpi,1.1725750000914559,9,c5153441-70b3-447d-9f3d-a35f1640bb92,gaussian,1.0,20,extra_trees,composite,5.370034722222271,5.127862499999991,0.24217222222227974,4.56458536324833,0.24217222222227974,0.5071761514720367,ehmi
10,0.9717005404110733,0.6122826091820186,0.7819302450127346,0.9265298655923109,1.0,1.0,0.941105046708518,1.0,0.5922942938313182,5.127669444444427,5.127669444444427,False,0.0,qpi,1.4818607000634074,9,c5153441-70b3-447d-9f3d-a35f1640bb92,gaussian,1.0,20,extra_trees,composite,5.370034722222271,5.127862499999991,0.24236527777784378,4.806950641026174,0.24217222222227974,0.4806950641026174,ehmi
