iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8647975870165865,0.855302514932059,0.8110233987843422,0.2614463614164766,1.1264658969794343,1.1264658969794343,False,0.0,logei,0.0,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,1.1264658969794343,1.0268393857411815,1.0268393857411815,1.0268393857411815,1.0268393857411815,1.1264658969794343,1.0268393857411815,weber_fechner
2,0.0771994577184214,0.9464657804460633,0.6137916910471019,0.00263075362629972,-2.004670827954907,-2.004670827954907,False,0.0,logei,0.0,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,1.1264658969794343,4.157976110675523,5.184815496416704,1.0268393857411815,2.592407748208352,1.1264658969794343,1.0268393857411815,weber_fechner
3,0.9104071780658378,0.9848034752375554,0.2862966041661704,0.8136611230389795,1.2851075207872864,1.2851075207872864,False,0.0,logei,0.0,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,1.2851075207872864,0.8681977619333294,6.053013258350033,0.8681977619333294,2.017671086116678,1.2851075207872864,0.8681977619333294,weber_fechner
4,0.08240794388130823,0.4382800473034214,0.8177037747448075,0.40873333268977363,-0.26407372075684765,-0.26407372075684765,False,0.0,logei,0.0,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,1.2851075207872864,2.4173790034774636,8.470392261827497,0.8681977619333294,2.1175980654568742,1.2851075207872864,0.8681977619333294,weber_fechner
5,0.5177497071869771,0.11703988347506633,0.8140065192501118,0.4978674083325122,0.1140568237092484,0.1140568237092484,False,0.0,logei,0.0,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,1.2851075207872864,2.0392484590113673,10.509640720838863,0.8681977619333294,2.101928144167773,1.2851075207872864,0.8681977619333294,weber_fechner
6,1.0,0.6908875313967445,0.5253393262972542,1.0,1.5888404964855707,1.5888404964855707,False,0.0,logei,0.26065339997876436,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,1.5888404964855707,0.5644647862350451,11.07410550707391,0.5644647862350451,1.8456842511789848,1.5888404964855707,0.5644647862350451,weber_fechner
7,1.0,0.6374398729150986,0.0,0.27780922933463864,-1.4108263195602857,-1.4108263195602857,False,0.0,logei,0.1568128999788314,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,1.5888404964855707,3.5641316022809013,14.638237109354812,0.5644647862350451,2.09117672990783,1.5888404964855707,0.5644647862350451,weber_fechner
8,0.9669298966629081,1.0,0.67381692137805,0.7385916458266268,1.7453664204788037,1.7453664204788037,False,0.0,logei,0.1625239999848418,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7453664204788037,0.4079388622418121,15.046175971596623,0.4079388622418121,1.880771996449578,1.7453664204788037,0.4079388622418121,weber_fechner
9,0.6953894455543438,1.0,0.5821616063277354,1.0,1.6493872019726092,1.6493872019726092,False,0.0,logei,0.15267959999619052,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,1.7453664204788037,0.5039180807480066,15.55009405234463,0.4079388622418121,1.7277882280382921,1.7453664204788037,0.4079388622418121,weber_fechner
10,1.0,1.0,1.0,0.5641342158788488,1.8345235862043325,1.8345235862043325,False,0.0,logei,0.1534626000211574,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,1.8345235862043325,0.3187816965162833,15.868875748860912,0.3187816965162833,1.5868875748860911,1.8345235862043325,0.3187816965162833,weber_fechner
11,1.0,0.7414400934595803,1.0,0.6354495714692128,1.7337095426293816,1.7337095426293816,False,0.0,logei,0.2153692999854684,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,1.8345235862043325,0.41959574009123424,16.288471488952148,0.3187816965162833,1.4807701353592861,1.8345235862043325,0.3187816965162833,weber_fechner
12,1.0,1.0,0.6391111782432343,1.0,1.9037951635708517,1.9037951635708517,False,0.0,logei,0.16181839996716008,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,1.9037951635708517,0.24951011914976418,16.537981608101912,0.24951011914976418,1.3781651340084926,1.9037951635708517,0.24951011914976418,weber_fechner
13,0.9039247659467397,1.0,1.0,1.0,2.096892070361238,2.096892070361238,False,0.0,logei,0.18781209998996928,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,2.096892070361238,0.056413212359377685,16.59439482046129,0.056413212359377685,1.276491909266253,2.096892070361238,0.056413212359377685,weber_fechner
14,0.85713699980769,0.8084732313953229,1.0,1.0,1.948565759201968,1.948565759201968,False,0.0,logei,0.19667030003620312,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,2.096892070361238,0.20473952351864777,16.799134343979937,0.056413212359377685,1.1999381674271383,2.096892070361238,0.056413212359377685,weber_fechner
15,0.8732540032714787,1.0,1.0,0.7967491005514193,1.9508164004221467,1.9508164004221467,False,0.0,logei,0.16862110001966357,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,2.096892070361238,0.20248888229846917,17.001623226278404,0.056413212359377685,1.1334415484185603,2.096892070361238,0.056413212359377685,weber_fechner
16,0.0,1.0,1.0,1.0,-0.451343214272087,-0.451343214272087,False,0.0,logei,0.20988659997237846,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,2.096892070361238,2.604648496992703,19.606271723271107,0.056413212359377685,1.2253919827044442,2.096892070361238,0.056413212359377685,weber_fechner
17,0.0,0.0,0.0,1.0,-5.660640208257495,-5.660640208257495,False,0.0,logei,0.1162064999807626,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,2.096892070361238,7.81394549097811,27.420217214249217,0.056413212359377685,1.6129539537793658,2.096892070361238,0.056413212359377685,weber_fechner
18,0.9776492270029485,1.0,1.0,1.0,2.1406757433496635,2.1406757433496635,False,0.0,logei,0.23487300000851974,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,2.1406757433496635,0.012629539370952347,27.43284675362017,0.012629539370952347,1.5240470418677872,2.1406757433496635,0.012629539370952347,weber_fechner
19,0.9807370867439315,1.0,0.9222822891558202,1.0,2.0972481824988995,2.0972481824988995,False,0.0,logei,0.2346368000144139,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,2.1406757433496635,0.05605710022171628,27.488903853841883,0.012629539370952347,1.446784413360099,2.1406757433496635,0.012629539370952347,weber_fechner
20,0.0,0.0,1.0,1.0,-3.0559917112647907,-3.0559917112647907,False,0.0,logei,0.17716409999411553,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.153305282720616,2.1406757433496635,5.209296993985406,32.69820084782729,0.012629539370952347,1.6349100423913643,2.1406757433496635,0.012629539370952347,weber_fechner
21,1.0,0.18597173971843478,1.0,0.0,-1.3767651329841823,-7.819268333103291,True,-6.442503200119108,logei,0.23562250001123175,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,31.690622522946654,"x0,x1,x2,x3",2.153305282720616,2.1406757433496635,3.530070415704798,36.228271263532086,0.012629539370952347,1.7251557744539088,2.1406757433496635,0.012629539370952347,weber_fechner
22,1.0,0.3497339532459172,1.0,1.0,1.5706801732476625,0.44543657852041396,True,-1.1252435947272486,logei,0.20074279996333644,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,1.7471202792105387,"x0,x1,x2,x3",2.153305282720616,2.1406757433496635,0.5826251094729533,36.810896373005036,0.012629539370952347,1.6732225624093198,2.1406757433496635,0.012629539370952347,weber_fechner
23,1.0,0.0,1.0,0.0,-3.0559917112647907,-11.19559722266558,True,-8.139605511400788,logei,0.1792526000062935,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,273.3514106376299,"x0,x1,x2,x3",2.153305282720616,2.1406757433496635,5.209296993985406,42.02019336699044,0.012629539370952347,1.8269649289995844,2.1406757433496635,0.012629539370952347,weber_fechner
24,1.0,0.0,1.0,0.0,-3.0559917112647907,-5.73578174371865,True,-2.679790032453859,logei,0.1838516000425443,False,13,4e1bef50-79ad-40d4-8af2-90a3510953f0,gaussian,5.0,20,exact,value,self_report,12.98773925062087,"x0,x1,x2,x3",2.153305282720616,2.1406757433496635,5.209296993985406,47.229490360975845,0.012629539370952347,1.967895431707327,2.1406757433496635,0.012629539370952347,weber_fechner
