iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-173.0277233944393,487.2768433379256,-181.28916151448328,288.548935820029,-1.4321820283812612,-1.4321820283812612,-1.4321820283812612,0.0,False,False,0.0,pi,0.0,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,-1.4321820283812612,5.760572400160113,5.760572400160113,5.760572400160113,5.760572400160113,-1.4321820283812612,5.760572400160113,schwefel
2,369.89651169621607,-108.91519346080605,-62.11812687720118,-127.25109691064694,0.7505799659267156,0.7505799659267156,0.7505799659267156,0.0,False,False,0.0,pi,0.0,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.7505799659267156,3.5778104058521363,9.338382806012248,3.5778104058521363,4.669191403006124,0.7505799659267156,3.5778104058521363,schwefel
3,-393.0464035272256,-21.03454583728302,-258.6478549153177,-242.85475144887027,-0.6200698896335118,-0.6200698896335118,-0.6200698896335118,0.0,False,False,0.0,pi,0.0,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.7505799659267156,4.948460261412364,14.286843067424613,3.5778104058521363,4.762281022474871,0.7505799659267156,3.5778104058521363,schwefel
4,-315.2684431655851,-306.1354510956893,313.827670155021,-77.01581185577368,0.6405254804151607,0.6405254804151607,0.6405254804151607,0.0,False,False,0.0,pi,0.0,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.7505799659267156,3.687864891363691,17.974707958788304,3.5778104058521363,4.493676989697076,0.7505799659267156,3.5778104058521363,schwefel
5,-244.07949484177394,90.90285176541158,104.27229605845582,146.85802706018796,-0.4340319328421145,-0.4340319328421145,-0.4340319328421145,0.0,False,False,0.0,pi,0.0,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.7505799659267156,4.762422304620967,22.73713026340927,3.5778104058521363,4.547426052681854,0.7505799659267156,3.5778104058521363,schwefel
6,390.41695326468505,-192.88916691905968,3.442803601301759,-154.0837873851867,0.3821785751222502,0.3821785751222502,0.3821785751222502,0.0,False,False,0.0,pi,0.2747759000631049,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.7505799659267156,3.946211796656602,26.683342060065872,3.5778104058521363,4.447223676677646,0.7505799659267156,3.5778104058521363,schwefel
7,353.80992961932844,-35.82329347205121,-120.65901685936059,-104.85468992949093,0.49956407628066773,0.49956407628066773,0.49956407628066773,0.0,False,False,0.0,pi,0.24044189997948706,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.7505799659267156,3.828826295498184,30.512168355564057,3.5778104058521363,4.358881193652008,0.7505799659267156,3.5778104058521363,schwefel
8,-314.9255991318334,-386.8813175538226,379.96910175142915,-102.78606903130344,0.7580942116159392,0.7580942116159392,0.7580942116159392,0.0,False,False,0.0,pi,0.236110599944368,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.7580942116159392,3.5702961601629126,34.08246451572697,3.5702961601629126,4.260308064465871,0.7580942116159392,3.5702961601629126,schwefel
9,-317.7702033808225,-464.6250438379032,445.48721509397024,-125.86692409143288,1.4011564936429746,1.4011564936429746,1.4011564936429746,0.0,False,False,0.0,pi,0.23768520005978644,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.4011564936429746,2.927233878135877,37.00969839386285,2.927233878135877,4.112188710429205,1.4011564936429746,2.927233878135877,schwefel
10,-323.43111247441396,-500.0,500.0,-164.2117524720113,0.5317924122783587,0.5317924122783587,0.5317924122783587,0.0,False,False,0.0,pi,0.34008990006987005,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.4011564936429746,3.796597959500493,40.806296353363344,2.927233878135877,4.080629635336335,1.4011564936429746,2.927233878135877,schwefel
11,-298.0566837908028,-500.0,450.874387300503,-54.15316088322328,1.9130217317559712,1.9130217317559712,1.9130217317559712,0.0,False,False,0.0,pi,0.24856600002385676,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.9130217317559712,2.415368640022881,43.22166499338623,2.415368640022881,3.9292422721260207,1.9130217317559712,2.415368640022881,schwefel
12,-300.129721803441,-493.65563317990404,438.4015759205487,-55.17870622152923,1.915635471837136,1.915635471837136,1.915635471837136,0.0,False,False,0.0,pi,0.3364236999768764,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.915635471837136,2.412754899941716,45.634419893327944,2.412754899941716,3.8028683244439954,1.915635471837136,2.412754899941716,schwefel
13,-293.2346931890914,-500.0,444.0377509871995,-30.586941214661604,2.1803610100628985,2.1803610100628985,2.1803610100628985,0.0,False,False,0.0,pi,0.36769089999143034,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.1803610100628985,2.1480293617159534,47.7824492550439,2.1480293617159534,3.6755730196187617,2.1803610100628985,2.1480293617159534,schwefel
14,-289.4877374955237,-500.0,461.1926922575353,-11.119014080835711,1.7810200813844073,1.7810200813844073,1.7810200813844073,0.0,False,False,0.0,pi,0.3298423000378534,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.1803610100628985,2.5473702903944444,50.32981954543835,2.1480293617159534,3.594987110388453,2.1803610100628985,2.1480293617159534,schwefel
15,-294.2675011473364,-500.0,439.71532777270465,-39.58351409106726,2.1883953565810272,2.1883953565810272,2.1883953565810272,0.0,False,False,0.0,pi,0.3393978999229148,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.1883953565810272,2.1399950151978246,52.46981456063617,2.1399950151978246,3.497987637375745,2.1883953565810272,2.1399950151978246,schwefel
16,-287.95795029362006,-500.0,403.17928414639835,-41.04533257746279,2.1430440241871733,2.1430440241871733,2.1430440241871733,0.0,False,False,0.0,pi,0.2904150999384001,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.1883953565810272,2.1853463475916786,54.65516090822785,2.1399950151978246,3.4159475567642406,2.1883953565810272,2.1399950151978246,schwefel
17,-277.6878847786565,-500.0,297.92861873420594,-13.289413857880081,0.2995072195167044,0.2995072195167044,0.2995072195167044,0.0,False,False,0.0,pi,0.24243890005163848,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.1883953565810272,4.028883152262147,58.684044060489995,2.1399950151978246,3.452002591793529,2.1883953565810272,2.1399950151978246,schwefel
18,-284.61657261973477,-500.0,422.6897117718591,-12.7128853372808,2.2357245765962204,2.2357245765962204,2.2357245765962204,0.0,False,False,0.0,pi,0.36255229997914284,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.2357245765962204,2.0926657951826315,60.77670985567263,2.0926657951826315,3.3764838808707016,2.2357245765962204,2.0926657951826315,schwefel
19,-269.17666227771946,-500.0,421.69376690244036,43.52134431068467,2.030169232567132,2.030169232567132,2.030169232567132,0.0,False,False,0.0,pi,0.377834300044924,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.2357245765962204,2.2982211392117198,63.07493099488435,2.0926657951826315,3.319733210257071,2.2357245765962204,2.0926657951826315,schwefel
20,-270.3413059372651,-500.0,419.2870394220688,-23.241726227633034,2.074990823469115,2.074990823469115,2.074990823469115,0.0,False,False,0.0,pi,0.29010320000816137,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.2357245765962204,2.253399548309737,65.32833054319408,2.0926657951826315,3.2664165271597043,2.2357245765962204,2.0926657951826315,schwefel
21,-197.0757132698976,-140.33066991899838,249.13947517177974,-159.67593132630748,-0.8360999975661632,-0.8360999975661632,-0.3452425615811518,391.01611677884154,True,True,0.0,pi,0.18164109997451305,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.2357245765962204,5.164490369345015,70.4928209125391,2.0926657951826315,3.3568009958351954,2.2357245765962204,2.0926657951826315,schwefel
22,-366.13016506404296,-183.08709181950042,234.81528865880253,39.92837372801687,0.23162117350813727,0.23162117350813727,-0.4234028251302153,880.0577113297361,True,True,0.0,pi,0.2873733000596985,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.2357245765962204,4.096769198270715,74.58959011080982,2.0926657951826315,3.3904359141277194,2.2357245765962204,2.0926657951826315,schwefel
23,405.79258240386304,-176.0745947209257,-96.81420102059774,182.7087762287049,0.4333792271759398,0.4333792271759398,1.199106739803731,546.0834591075584,True,True,0.0,pi,0.18525390001013875,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.2357245765962204,3.895011144602912,78.48460125541274,2.0926657951826315,3.412373967626641,2.2357245765962204,2.0926657951826315,schwefel
24,-288.7709695059379,-500.0,420.17996447856063,-1.5690506109978273,-0.28843473960301486,-0.28843473960301486,2.2600628444117103,326.12153948531306,True,True,0.0,pi,0.3497793999267742,False,8,eafa5669-bcbc-4455-9a32-7ea6e87ccad3,none,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.2357245765962204,4.616825111381867,83.10142636679461,2.0926657951826315,3.4625594319497757,2.2357245765962204,2.0926657951826315,schwefel
