iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,1.9637953256775056,2.818680285825393,2.436888465969028,0.7075092536100441,0.9430001955324466,0.90007361838061,0.90007361838061,0.90007361838061,0.0,False,False,0.0,logei,0.0,False,7,61fbf1df-9f46-4f8b-888c-27bccbe21d46,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.90007361838061,7.147647548308369,7.147647548308369,7.147647548308369,7.147647548308369,0.90007361838061,7.147647548308369,michalewicz
2,2.7443490865749487,0.016541442142122352,2.5799651661104637,2.5040674617684413,1.4700610102117195,-0.07730669503760453,-0.07730669503760453,-0.07730669503760453,0.0,False,False,0.0,logei,0.0,False,7,61fbf1df-9f46-4f8b-888c-27bccbe21d46,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.90007361838061,8.125027861726583,15.272675410034951,7.147647548308369,7.636337705017476,0.90007361838061,7.147647548308369,michalewicz
3,0.952004445895042,0.8746998575470308,0.8006964241976576,1.398248452847806,1.5850851037238267,-1.04660950384501,-1.04660950384501,-1.04660950384501,0.0,False,False,0.0,logei,0.0,False,7,61fbf1df-9f46-4f8b-888c-27bccbe21d46,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.90007361838061,9.094330670533989,24.36700608056894,7.147647548308369,8.122335360189647,0.90007361838061,7.147647548308369,michalewicz
4,1.7388632150586287,3.127456377084045,2.4902208621823125,1.954633696428515,3.1069099346504863,0.40980425343275584,0.40980425343275584,0.40980425343275584,0.0,False,False,0.0,logei,0.0,False,7,61fbf1df-9f46-4f8b-888c-27bccbe21d46,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.90007361838061,7.637916913256222,32.00492299382516,7.147647548308369,8.00123074845629,0.90007361838061,7.147647548308369,michalewicz
5,0.6764122246309393,0.5033209485844836,1.9243499208169526,0.1380478893954662,0.11209290167316548,-1.0539382228456007,-1.0539382228456007,-1.0539382228456007,0.0,False,False,0.0,logei,0.0,False,7,61fbf1df-9f46-4f8b-888c-27bccbe21d46,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.90007361838061,9.101659389534579,41.106582383359736,7.147647548308369,8.221316476671948,0.90007361838061,7.147647548308369,michalewicz
6,2.6998745974180345,3.0348785717662254,2.8437785728662486,0.0,0.0,-0.5731596848869187,-0.5731596848869187,-0.5731596848869187,0.0,False,False,0.0,logei,0.4041642000665888,False,7,61fbf1df-9f46-4f8b-888c-27bccbe21d46,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.90007361838061,8.620880851575897,49.727463234935634,7.147647548308369,8.28791053915594,0.90007361838061,7.147647548308369,michalewicz
7,1.773879550333431,3.141592653589793,2.963984898842023,0.0,0.0,-0.9755854699266714,-0.9755854699266714,-0.9755854699266714,0.0,False,False,0.0,logei,0.5644601999083534,False,7,61fbf1df-9f46-4f8b-888c-27bccbe21d46,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.90007361838061,9.023306636615649,58.750769871551284,7.147647548308369,8.392967124507326,0.90007361838061,7.147647548308369,michalewicz
8,3.0632892664360623,2.757431354006623,3.141592653589793,1.1745932715633667,0.92776659778752,1.8639486419799365,1.8639486419799365,1.8639486419799365,0.0,False,False,0.0,logei,0.5225549000315368,False,7,61fbf1df-9f46-4f8b-888c-27bccbe21d46,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.8639486419799365,6.183772524709042,64.93454239626033,6.183772524709042,8.11681779953254,1.8639486419799365,6.183772524709042,michalewicz
9,3.141592653589793,2.500373792418079,2.801356579948445,1.3871311874101944,1.0808425143935068,-0.1418473463875541,-0.1418473463875541,-0.1418473463875541,0.0,False,False,0.0,logei,0.4250153999309987,False,7,61fbf1df-9f46-4f8b-888c-27bccbe21d46,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.8639486419799365,8.189568513076532,73.12411090933686,6.183772524709042,8.12490121214854,1.8639486419799365,6.183772524709042,michalewicz
10,3.141592653589793,3.0156177315722674,3.141592653589793,1.0813311953811946,0.834484973434236,0.7043384865299359,0.7043384865299359,0.7043384865299359,0.0,False,False,0.0,logei,0.5739516000030562,False,7,61fbf1df-9f46-4f8b-888c-27bccbe21d46,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.8639486419799365,7.343382680159042,80.4674935894959,6.183772524709042,8.04674935894959,1.8639486419799365,6.183772524709042,michalewicz
