iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.4039152044902676,1.5685276647418804,1.889662821455866,0.09012917794007706,0.46472350058283796,0.8872794804849488,0.8872794804849488,0.8872794804849488,0.0,False,False,0.0,sobol,0.0,False,11,5e69785c-5289-41bd-881e-33be87bdb397,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.8872794804849488,7.160441686204029,7.160441686204029,7.160441686204029,7.160441686204029,0.8872794804849488,7.160441686204029,michalewicz
2,2.9160609307133636,0.22123276470758535,0.4076968860601681,2.9792617020516117,1.9537049265171427,-0.9325116878672203,-0.9325116878672203,-0.9325116878672203,0.0,False,False,0.0,sobol,0.0,False,11,5e69785c-5289-41bd-881e-33be87bdb397,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.8872794804849488,8.9802328545562,16.14067454076023,7.160441686204029,8.070337270380115,0.8872794804849488,7.160441686204029,michalewicz
3,1.1592260867346609,1.606579135616254,2.0823825501105446,0.8649081530636696,0.43343948414876815,0.8650715343080728,0.8650715343080728,0.8650715343080728,0.0,False,False,0.0,sobol,0.0,False,11,5e69785c-5289-41bd-881e-33be87bdb397,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.8872794804849488,7.1826496323809055,23.323324173141135,7.160441686204029,7.774441391047045,0.8872794804849488,7.160441686204029,michalewicz
4,2.4756994008316204,2.1059998862725258,1.6096965118680393,2.5658531871613883,1.7249708309499152,1.1832821562984503,1.1832821562984503,1.1832821562984503,0.0,False,False,0.0,sobol,0.0,False,11,5e69785c-5289-41bd-881e-33be87bdb397,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,6.864439010390528,30.187763183531665,6.864439010390528,7.546940795882916,1.1832821562984503,6.864439010390528,michalewicz
5,3.081631083022443,0.6424854213040749,1.73959524004701,1.519351794949105,1.1098456893559028,-0.6877722785634273,-0.6877722785634273,-0.6877722785634273,0.0,False,False,0.0,sobol,0.0,False,11,5e69785c-5289-41bd-881e-33be87bdb397,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,8.735493445252406,38.923256628784074,6.864439010390528,7.784651325756815,1.1832821562984503,6.864439010390528,michalewicz
6,2.2845913533028566,0.36114188186611207,2.2795761482851513,1.0190171573777007,0.7738047395019509,1.990167103794101,1.990167103794101,1.990167103794101,0.0,False,False,0.0,sobol,0.0,False,11,5e69785c-5289-41bd-881e-33be87bdb397,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.990167103794101,6.057554062894877,44.980810691678954,6.057554062894877,7.496801781946492,1.990167103794101,6.057554062894877,michalewicz
7,0.2994248293660061,2.292086189835739,1.102915149345825,2.6727073876878356,2.0726026300930607,-0.7446643996875405,-0.7446643996875405,-0.7446643996875405,0.0,False,False,0.0,sobol,0.0,False,11,5e69785c-5289-41bd-881e-33be87bdb397,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.990167103794101,8.792385566376518,53.77319625805547,6.057554062894877,7.68188517972221,1.990167103794101,6.057554062894877,michalewicz
8,1.4351511977736633,1.2422924896000653,2.644171772002046,0.5632719650296927,2.5188374914861824,-1.007458838612881,-1.007458838612881,-1.007458838612881,0.0,False,False,0.0,sobol,0.0,False,11,5e69785c-5289-41bd-881e-33be87bdb397,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.990167103794101,9.05518000530186,62.82837626335733,6.057554062894877,7.853547032919666,1.990167103794101,6.057554062894877,michalewicz
9,2.6352891850466453,2.3876529313512616,0.6800042989428099,2.051198456237591,1.1126609457430778,-0.6854608229379787,-0.6854608229379787,-0.6854608229379787,0.0,False,False,0.0,sobol,0.0,False,11,5e69785c-5289-41bd-881e-33be87bdb397,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.990167103794101,8.733181989626956,71.56155825298428,6.057554062894877,7.951284250331587,1.990167103794101,6.057554062894877,michalewicz
10,3.085623868505241,0.9541782084380771,1.3019542621580835,1.5870253313923655,1.2673650592760886,0.7755021024316909,0.7755021024316909,0.7755021024316909,0.0,False,False,0.0,sobol,0.0,False,11,5e69785c-5289-41bd-881e-33be87bdb397,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.990167103794101,7.272219064257287,78.83377731724157,6.057554062894877,7.883377731724157,1.990167103794101,6.057554062894877,michalewicz
11,1.0950715706978622,2.8767875816127857,1.6939843689741756,0.14195434067093743,2.953493051994944,-0.8453549321241441,-0.8453549321241441,-0.8453549321241441,0.0,False,False,0.0,sobol,0.0,False,11,5e69785c-5289-41bd-881e-33be87bdb397,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.990167103794101,8.893076098813122,87.7268534160547,6.057554062894877,7.975168492368609,1.990167103794101,6.057554062894877,michalewicz
12,0.6584807275653827,0.6576210583852822,0.05680563566845234,3.138414440655896,1.8289270925088297,-1.0194112157617194,-1.0194112157617194,-1.0194112157617194,0.0,False,False,0.0,sobol,0.0,False,11,5e69785c-5289-41bd-881e-33be87bdb397,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.990167103794101,9.067132382450698,96.79398579850539,6.057554062894877,8.066165483208783,1.990167103794101,6.057554062894877,michalewicz
13,1.8639842887360545,1.7946345811166546,2.807138730652865,1.4418689088161496,0.03542044463797921,-0.47247862384062994,-0.47247862384062994,-0.47247862384062994,0.0,False,False,0.0,sobol,0.0,False,11,5e69785c-5289-41bd-881e-33be87bdb397,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.990167103794101,8.520199790529608,105.31418558903499,6.057554062894877,8.101091199156539,1.990167103794101,6.057554062894877,michalewicz
14,1.605218092851047,1.5044140577983693,0.3069536377825252,0.37529794910027636,2.1666037947160217,0.9424193665009658,0.9424193665009658,0.9424193665009658,0.0,False,False,0.0,sobol,0.0,False,11,5e69785c-5289-41bd-881e-33be87bdb397,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.990167103794101,7.105301800188013,112.41948738922301,6.057554062894877,8.0299633849445,1.990167103794101,6.057554062894877,michalewicz
15,0.39895016868730276,2.714960484841789,3.0570924338393217,1.8204136934115853,0.4835317442379984,-0.10463005845517077,-0.10463005845517077,-0.10463005845517077,0.0,False,False,0.0,sobol,0.0,False,11,5e69785c-5289-41bd-881e-33be87bdb397,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.990167103794101,8.15235122514415,120.57183861436715,6.057554062894877,8.038122574291144,1.990167103794101,6.057554062894877,michalewicz
