iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-207.63326807332714,584.7322120055107,-217.54699381737993,346.25872298403476,443.87581403545937,-130.69823215296725,-0.18020793523944853,-0.18020793523944853,-0.18020793523944853,0.0,False,False,0.0,random,0.0,False,8,47c8fc46-c7cf-462c-8117-2ea62e2a6e76,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,-0.18020793523944853,2.934063750898419,2.934063750898419,2.934063750898419,2.934063750898419,-0.18020793523944853,2.934063750898419,griewank
2,-74.54175225264146,-152.70131629277637,-471.65568423267075,-25.24145500473969,-310.37742589838126,-291.4257017386443,1.0891377787356822,1.0891377787356822,1.0891377787356822,0.0,False,False,0.0,random,0.0,False,8,47c8fc46-c7cf-462c-8117-2ea62e2a6e76,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.0891377787356822,1.6647180369232886,4.598781787821707,1.6647180369232886,2.2993908939108536,1.0891377787356822,1.6647180369232886,griewank
3,-378.3221317987021,-367.3625413148271,376.5932041860252,-92.41897422692841,-292.8953938101287,109.0834221184939,0.7369340198337742,0.7369340198337742,0.7369340198337742,0.0,False,False,0.0,random,0.0,False,8,47c8fc46-c7cf-462c-8117-2ea62e2a6e76,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.0891377787356822,2.016921795825197,6.615703583646904,1.6647180369232886,2.2052345278823013,1.0891377787356822,1.6647180369232886,griewank
4,125.12675527014699,176.2296324722255,493.62765653822885,-419.7526656456379,-154.33544586912456,-258.45523498702494,0.6201583017330186,0.6201583017330186,0.6201583017330186,0.0,False,False,0.0,random,0.0,False,8,47c8fc46-c7cf-462c-8117-2ea62e2a6e76,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.0891377787356822,2.133697513925952,8.749401097572857,1.6647180369232886,2.1873502743932143,1.0891377787356822,1.6647180369232886,griewank
5,-579.8615372106591,-382.1352751647246,-126.39770244167659,-128.0271478964109,140.0735332884011,-57.28016540742442,0.693856662348287,0.693856662348287,0.693856662348287,0.0,False,False,0.0,random,0.0,False,8,47c8fc46-c7cf-462c-8117-2ea62e2a6e76,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.0891377787356822,2.0599991533106836,10.809400250883542,1.6647180369232886,2.161880050176708,1.0891377787356822,1.6647180369232886,griewank
6,128.79680108576986,-332.32801750395265,-439.21544184074514,-204.85274794589537,-484.6698797662236,-160.99210239864482,0.3723890881787928,0.3723890881787928,0.3723890881787928,0.0,False,False,0.0,random,0.0,False,8,47c8fc46-c7cf-462c-8117-2ea62e2a6e76,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.0891377787356822,2.381466727480178,13.190866978363719,1.6647180369232886,2.1984778297272864,1.0891377787356822,1.6647180369232886,griewank
7,-47.78483101205063,262.7863726674169,440.42984320249525,-537.797216979991,547.3150927990794,264.12171025844134,-0.7769582475760296,-0.7769582475760296,-0.7769582475760296,0.0,False,False,0.0,random,0.0,False,8,47c8fc46-c7cf-462c-8117-2ea62e2a6e76,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.0891377787356822,3.5308140632350002,16.721681041598718,1.6647180369232886,2.3888115773712455,1.0891377787356822,1.6647180369232886,griewank
8,586.528318407785,-457.46746884205174,-149.97389316204055,2.7048142860975304,296.6681544221741,-226.7628602120862,0.01813563349213758,0.01813563349213758,0.01813563349213758,0.0,False,False,0.0,random,0.0,False,8,47c8fc46-c7cf-462c-8117-2ea62e2a6e76,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.0891377787356822,2.7357201821668333,19.45740122376555,1.6647180369232886,2.432175152970694,1.0891377787356822,1.6647180369232886,griewank
9,-60.114868698481246,-268.6087768792242,-61.00180475871218,11.96880948164528,78.03352771742937,245.0288581104486,2.183095924316158,2.183095924316158,2.183095924316158,0.0,False,False,0.0,random,0.0,False,8,47c8fc46-c7cf-462c-8117-2ea62e2a6e76,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.183095924316158,0.5707598913428127,20.028161115108364,0.5707598913428127,2.2253512350120404,2.183095924316158,0.5707598913428127,griewank
10,-309.8160161054245,156.58857814251758,-491.8245856064213,133.2503573186906,-49.15488674228504,-438.17493411106256,0.5520981054654879,0.5520981054654879,0.5520981054654879,0.0,False,False,0.0,random,0.0,False,8,47c8fc46-c7cf-462c-8117-2ea62e2a6e76,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.183095924316158,2.201757710193483,22.229918825301848,0.5707598913428127,2.222991882530185,2.183095924316158,0.5707598913428127,griewank
