iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,rater_id,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,3.269722766055607,9.872768433379255,3.1871083848551676,7.88548935820029,-0.7451783695735681,0.8145282618464998,True,1.559706631420068,qnei,0.0,False,0,8,42074492-4764-483f-a156-60e438989a22,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",5.402837764670362,-0.7451783695735681,6.14801613424393,6.14801613424393,6.14801613424393,6.14801613424393,-0.7451783695735681,6.14801613424393,hicks_law
2,8.69896511696216,3.9108480653919395,4.378818731227988,3.7274890308935307,-0.45245897907849875,0.7296804257513132,True,1.182139404829812,qnei,0.0,False,0,8,42074492-4764-483f-a156-60e438989a22,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",5.402837764670362,-0.45245897907849875,5.855296743748861,12.00331287799279,5.855296743748861,6.001656438996395,-0.7451783695735681,6.14801613424393,hicks_law
3,1.0695359647277436,4.789654541627169,2.413521450846823,2.5714524855112977,1.2921019029701162,1.013658386893044,True,-0.2784435160770722,qnei,0.0,False,0,8,42074492-4764-483f-a156-60e438989a22,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,4.110735861700245,16.114048739693036,4.110735861700245,5.371349579897679,1.2921019029701162,4.110735861700245,hicks_law
4,1.847315568344149,1.938645489043107,8.13827670155021,4.229841881442264,0.4615077489425049,0.4677702377648748,True,0.006262488822369905,qnei,0.0,False,0,8,42074492-4764-483f-a156-60e438989a22,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,4.941330015727857,21.055378755420893,4.110735861700245,5.263844688855223,1.2921019029701162,4.110735861700245,hicks_law
5,2.5592050515822606,5.909028517654116,6.042722960584558,6.468580270601879,-0.5066769243475129,0.57357983160787,True,1.0802567559553828,qnei,0.0,False,0,8,42074492-4764-483f-a156-60e438989a22,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,5.9095146890178745,26.96489344443877,4.110735861700245,5.392978688887753,1.2921019029701162,4.110735861700245,hicks_law
6,0.0,3.9992580098398185,0.6905716592406065,0.4104358118058423,3.3588532328967764,6.741478496112782,True,3.3826252632160054,qnei,0.8382397000095807,False,0,8,42074492-4764-483f-a156-60e438989a22,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",5.402837764670362,3.3588532328967764,2.043984531773585,29.008877976212354,2.043984531773585,4.834812996035392,3.3588532328967764,2.043984531773585,hicks_law
7,0.0,0.8843890343763126,0.0,0.0,4.8802619729860846,6.080897711027261,True,1.2006357380411767,qnei,0.9064599000266753,False,0,8,42074492-4764-483f-a156-60e438989a22,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",5.402837764670362,4.8802619729860846,0.522575791684277,29.53145376789663,0.522575791684277,4.218779109699518,3.3588532328967764,2.043984531773585,hicks_law
8,0.0,9.137227347890716,0.35267147610463495,0.0,3.243351902130463,4.678165403301206,True,1.4348135011707428,qnei,0.639179099991452,False,0,8,42074492-4764-483f-a156-60e438989a22,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",5.402837764670362,4.8802619729860846,2.1594858625398987,31.690939630436528,0.522575791684277,3.961367453804566,3.3588532328967764,2.043984531773585,hicks_law
9,0.0,3.3081114382001275,5.8305485939756405,0.16129233243739877,2.4902218795407807,4.585807842375305,True,2.095585962834524,qnei,0.9933174000470899,False,0,8,42074492-4764-483f-a156-60e438989a22,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",5.402837764670362,4.8802619729860846,2.912615885129581,34.60355551556611,0.522575791684277,3.8448395017295676,3.3588532328967764,2.043984531773585,hicks_law
10,6.286361583131702,3.4294198663809223,0.0,0.3968837818305061,2.2616962928917115,4.289352231882913,True,2.0276559389912014,qnei,0.8909180999617092,False,0,8,42074492-4764-483f-a156-60e438989a22,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",5.402837764670362,4.8802619729860846,3.14114147177865,37.74469698734476,0.522575791684277,3.774469698734476,3.3588532328967764,2.043984531773585,hicks_law
