iteration,x0,x1,x2,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.3071663307112894,0.3071663307112894,0.3071663307112894,0.0,False,False,0.0,ucb,0.0,False,10,51d089c9-9744-4f92-a69a-1c4ccab32b57,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.3071663307112894,2.747734611444438,2.747734611444438,2.747734611444438,2.747734611444438,0.3071663307112894,2.747734611444438,hartmann_3
2,0.14928212308202027,0.5128046164365648,0.13591960402050662,-0.8703311095386822,-0.8703311095386822,-0.8703311095386822,0.0,False,False,0.0,ucb,0.0,False,10,51d089c9-9744-4f92-a69a-1c4ccab32b57,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.92523205169441,6.672966663138848,2.747734611444438,3.336483331569424,0.3071663307112894,2.747734611444438,hartmann_3
3,0.6890364797811311,0.841747724312279,0.4255089974049766,-0.2909134329371896,-0.2909134329371896,-0.2909134329371896,0.0,False,False,0.0,ucb,0.0,False,10,51d089c9-9744-4f92-a69a-1c4ccab32b57,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.345814375092917,10.018781038231765,2.747734611444438,3.3395936794105885,0.3071663307112894,2.747734611444438,hartmann_3
4,0.9569260034533662,0.8253329063847983,0.338215312471576,-0.8973733195280779,-0.8973733195280779,-0.8973733195280779,0.0,False,False,0.0,ucb,0.0,False,10,51d089c9-9744-4f92-a69a-1c4ccab32b57,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,0.3071663307112894,3.9522742616838054,13.97105529991557,2.747734611444438,3.4927638249788924,0.3071663307112894,2.747734611444438,hartmann_3
5,0.5757605479445136,0.7533018647084769,0.8271039370247955,1.6562044985234257,1.6562044985234257,1.6562044985234257,0.0,False,False,0.0,ucb,0.0,False,10,51d089c9-9744-4f92-a69a-1c4ccab32b57,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.6562044985234257,1.398696443632302,15.369751743547871,1.398696443632302,3.073950348709574,1.6562044985234257,1.398696443632302,hartmann_3
6,0.0,1.0,0.9456454634916407,-0.47168883448026333,-0.47168883448026333,-0.47168883448026333,0.0,False,False,0.0,ucb,0.30969610007014126,False,10,51d089c9-9744-4f92-a69a-1c4ccab32b57,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.6562044985234257,3.526589776635991,18.896341520183864,1.398696443632302,3.1493902533639773,1.6562044985234257,1.398696443632302,hartmann_3
7,0.782726213516791,0.9498054016286678,0.9285460695140523,-0.2283255235808469,-0.2283255235808469,-0.2283255235808469,0.0,False,False,0.0,ucb,0.354806000017561,False,10,51d089c9-9744-4f92-a69a-1c4ccab32b57,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.6562044985234257,3.2832264657365746,22.17956798592044,1.398696443632302,3.1685097122743486,1.6562044985234257,1.398696443632302,hartmann_3
8,0.0,0.6639932303662553,0.7279637867639168,1.8722655865531022,1.8722655865531022,1.8722655865531022,0.0,False,False,0.0,ucb,0.426940800040029,False,10,51d089c9-9744-4f92-a69a-1c4ccab32b57,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.8722655865531022,1.1826353556026254,23.362203341523063,1.1826353556026254,2.920275417690383,1.8722655865531022,1.1826353556026254,hartmann_3
9,0.0,0.5576916180270352,0.930373389713258,2.4421812807157273,2.4421812807157273,2.4421812807157273,0.0,False,False,0.0,ucb,0.4118605999974534,False,10,51d089c9-9744-4f92-a69a-1c4ccab32b57,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,2.4421812807157273,0.6127196614400003,23.974923002963063,0.6127196614400003,2.6638803336625627,2.4421812807157273,0.6127196614400003,hartmann_3
10,1.0,0.5443808334816755,0.8856678719955468,2.5980694642828768,2.5980694642828768,2.5980694642828768,0.0,False,False,0.0,ucb,0.3151330000255257,False,10,51d089c9-9744-4f92-a69a-1c4ccab32b57,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,2.5980694642828768,0.45683147787285083,24.431754480835913,0.45683147787285083,2.443175448083591,2.5980694642828768,0.45683147787285083,hartmann_3
