iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-11.339544880377971,31.93417520499429,-11.880966489013176,18.910343057901414,0.1301061399531898,0.1301061399531898,0.1301061399531898,0.0,False,False,0.0,qnei,0.0,False,8,57013b15-235a-44b3-869e-23884bf128c0,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,0.1301061399531898,19.972341013900245,19.972341013900245,19.972341013900245,19.972341013900245,0.1301061399531898,19.972341013900245,ackley
2,24.241537790523218,-7.137866118647384,-4.070973563024257,-8.33952788713616,0.7880635586466374,0.7880635586466374,0.7880635586466374,0.0,False,False,0.0,qnei,0.0,False,8,57013b15-235a-44b3-869e-23884bf128c0,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,0.7880635586466374,19.314383595206795,39.28672460910704,19.314383595206795,19.64336230455352,0.7880635586466374,19.314383595206795,ackley
3,-25.75868910156026,-1.378519995992182,-16.950745819730262,-15.915728990953163,0.10573524957595244,0.10573524957595244,0.10573524957595244,0.0,False,False,0.0,qnei,0.0,False,8,57013b15-235a-44b3-869e-23884bf128c0,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,0.7880635586466374,19.99671190427748,59.283436513384515,19.314383595206795,19.761145504461506,0.7880635586466374,19.314383595206795,ackley
4,-20.661432691299787,-20.062892923007094,20.567010191279458,-5.047308245779984,-0.1606667771837387,-0.1606667771837387,-0.1606667771837387,0.0,False,False,0.0,qnei,0.0,False,8,57013b15-235a-44b3-869e-23884bf128c0,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,0.7880635586466374,20.26311393103717,79.54655044442168,19.314383595206795,19.88663761110542,0.7880635586466374,19.314383595206795,ackley
5,-15.995993773950499,5.957409293298014,6.833589194486962,9.624487661416474,2.136355962148398,2.136355962148398,2.136355962148398,0.0,False,False,0.0,qnei,0.0,False,8,57013b15-235a-44b3-869e-23884bf128c0,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,2.136355962148398,17.966091191705036,97.51264163612672,17.966091191705036,19.502528327225342,2.136355962148398,17.966091191705036,ackley
6,2.033204780403121,7.661234012481801,8.852522851317907,14.487449661780287,2.158264568538062,2.158264568538062,2.158264568538062,0.0,False,False,0.0,qnei,0.3310217000544071,False,8,57013b15-235a-44b3-869e-23884bf128c0,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,2.158264568538062,17.94418258531537,115.45682422144209,17.94418258531537,19.242804036907014,2.158264568538062,17.94418258531537,ackley
7,-18.05796281584551,10.67242553898845,14.41185310402618,-4.817894138329608,0.6398273768033685,0.6398273768033685,0.6398273768033685,0.0,False,False,0.0,qnei,0.39848350000102073,False,8,57013b15-235a-44b3-869e-23884bf128c0,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,2.158264568538062,19.462619777050065,134.91944399849217,17.94418258531537,19.27420628549888,2.158264568538062,17.94418258531537,ackley
8,4.789905479943966,0.966503073991193,-3.981118511441782,14.286865043585955,3.849581128633125,3.849581128633125,3.849581128633125,0.0,False,False,0.0,qnei,0.3345124999759719,False,8,57013b15-235a-44b3-869e-23884bf128c0,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.849581128633125,16.252866025220307,151.17231002371247,16.252866025220307,18.89653875296406,3.849581128633125,16.252866025220307,ackley
9,11.008743534531124,-1.767419554121642,-9.102693624955151,19.590385201523898,1.175412592061245,1.175412592061245,1.175412592061245,0.0,False,False,0.0,qnei,0.38752430002205074,False,8,57013b15-235a-44b3-869e-23884bf128c0,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.849581128633125,18.927034561792187,170.09934458550467,16.252866025220307,18.899927176167186,3.849581128633125,16.252866025220307,ackley
10,7.5525692554884,-6.331819710844832,-3.9359143219132253,12.61696454727912,2.6317343905174115,2.6317343905174115,2.6317343905174115,0.0,False,False,0.0,qnei,0.4500439000548795,False,8,57013b15-235a-44b3-869e-23884bf128c0,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.849581128633125,17.47071276333602,187.5700573488407,16.252866025220307,18.757005734884068,3.849581128633125,16.252866025220307,ackley
11,2.965381305786025,1.5589256685654356,-6.266755470625475,12.899387014827191,3.8017946443539423,3.8017946443539423,3.8017946443539423,0.0,False,False,0.0,qnei,0.43390720000024885,False,8,57013b15-235a-44b3-869e-23884bf128c0,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.849581128633125,16.30065250949949,203.87070985834018,16.252866025220307,18.533700896212743,3.849581128633125,16.252866025220307,ackley
12,3.7630234132901283,20.56115097320898,-4.611161361561645,25.677805422704722,-0.5174387706021812,-0.5174387706021812,-0.5174387706021812,0.0,False,False,0.0,qnei,0.4448644000804052,False,8,57013b15-235a-44b3-869e-23884bf128c0,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.849581128633125,20.619885924455613,224.4905957827958,16.252866025220307,18.707549648566317,3.849581128633125,16.252866025220307,ackley
13,-19.226252139064034,-0.048942482504586535,-3.7665327165567666,13.65670013018357,1.1266488122584066,1.1266488122584066,1.1266488122584066,0.0,False,False,0.0,qnei,0.4885116999503225,False,8,57013b15-235a-44b3-869e-23884bf128c0,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.849581128633125,18.975798341595027,243.46639412439083,16.252866025220307,18.728184163414678,3.849581128633125,16.252866025220307,ackley
14,8.961732787403456,2.799454603008462,-3.0783056969112836,12.511765792955226,3.423269369117601,3.423269369117601,3.423269369117601,0.0,False,False,0.0,qnei,0.439058699994348,False,8,57013b15-235a-44b3-869e-23884bf128c0,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.849581128633125,16.67917778473583,260.14557190912666,16.252866025220307,18.581826564937618,3.849581128633125,16.252866025220307,ackley
15,2.6782289197308127,-0.19709348872955645,7.709943418460942,12.960283352482435,3.510060056374948,3.510060056374948,3.510060056374948,0.0,False,False,0.0,qnei,0.45255569997243583,False,8,57013b15-235a-44b3-869e-23884bf128c0,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.849581128633125,16.592387097478486,276.73795900660514,16.252866025220307,18.44919726710701,3.849581128633125,16.252866025220307,ackley
16,5.273445284495044,0.2708222357159504,-28.15804893451067,13.615637442788003,-0.11306383436500311,-0.11306383436500311,-0.11306383436500311,0.0,False,False,0.0,qnei,0.47686910000629723,False,8,57013b15-235a-44b3-869e-23884bf128c0,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.849581128633125,20.215510988218437,296.9534699948236,16.252866025220307,18.559591874676475,3.849581128633125,16.252866025220307,ackley
17,1.0232637261585724,0.8042828248779063,-0.5831931196458968,10.414626902572545,5.827735257207162,5.827735257207162,5.827735257207162,0.0,False,False,0.0,qnei,0.36203740001656115,False,8,57013b15-235a-44b3-869e-23884bf128c0,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,5.827735257207162,14.27471189664627,311.2281818914699,14.27471189664627,18.307540111262934,5.827735257207162,14.27471189664627,ackley
