iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.3269722766055607,0.9872768433379255,0.31871083848551673,0.7885489358200289,0.8698965116962161,0.391084806539194,0.04111385411386355,0.04111385411386355,0.04111385411386355,0.0,False,False,0.0,logei,0.0,False,8,4bf22ab1-a6ab-40e0-bc1c-2b77c9453978,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,0.04111385411386355,7.926050109178074,7.926050109178074,7.926050109178074,7.926050109178074,0.04111385411386355,7.926050109178074,hartmann_6
2,0.4378818731227988,0.37274890308935305,0.10695359647277436,0.47896545416271696,0.24135214508468228,0.25714524855112975,0.6815256660977724,0.6815256660977724,0.6815256660977724,0.0,False,False,0.0,logei,0.0,False,8,4bf22ab1-a6ab-40e0-bc1c-2b77c9453978,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,0.6815256660977724,7.285638297194165,15.21168840637224,7.285638297194165,7.60584420318612,0.6815256660977724,7.285638297194165,hartmann_6
3,0.1847315568344149,0.1938645489043107,0.813827670155021,0.42298418814422634,0.25592050515822606,0.5909028517654116,3.8396825017826863,3.8396825017826863,3.8396825017826863,0.0,False,False,0.0,logei,0.0,False,8,4bf22ab1-a6ab-40e0-bc1c-2b77c9453978,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,3.8396825017826863,4.127481461509251,19.33916986788149,4.127481461509251,6.446389955960497,3.8396825017826863,4.127481461509251,hartmann_6
4,0.6042722960584558,0.6468580270601879,0.9113563804485241,0.15020611196196842,0.3713871284423962,0.28462063751081257,-0.17355647012026845,-0.17355647012026845,-0.17355647012026845,0.0,False,False,0.0,logei,0.0,False,8,4bf22ab1-a6ab-40e0-bc1c-2b77c9453978,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,3.8396825017826863,8.140720433412206,27.479890301293697,4.127481461509251,6.869972575323424,3.8396825017826863,4.127481461509251,hartmann_6
5,0.016782052324450736,0.1815539373627295,0.3946685812986028,0.39331071008632423,0.616727944407001,0.45226652882714635,0.8281451526339255,0.8281451526339255,0.8281451526339255,0.0,False,False,0.0,logei,0.0,False,8,4bf22ab1-a6ab-40e0-bc1c-2b77c9453978,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,3.8396825017826863,7.139018810658012,34.61890911195171,4.127481461509251,6.923781822390342,3.8396825017826863,4.127481461509251,hartmann_6
6,0.14573715731797715,0.11396253683950872,0.894894542458937,0.4785604131661355,0.15348512985388452,0.6792858182177669,1.8465622218077864,1.8465622218077864,1.8465622218077864,0.0,False,False,0.0,logei,0.3389212000183761,False,8,4bf22ab1-a6ab-40e0-bc1c-2b77c9453978,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,3.8396825017826863,6.120601741484151,40.73951085343586,4.127481461509251,6.789918475572644,3.8396825017826863,4.127481461509251,hartmann_6
7,0.12486636841634875,0.16273431894922866,0.7962745286825683,0.42395429727287803,0.30958356429487877,0.6044780606787687,4.140250817243718,4.140250817243718,4.140250817243718,0.0,False,False,0.0,logei,0.47629489994142205,False,8,4bf22ab1-a6ab-40e0-bc1c-2b77c9453978,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,4.140250817243718,3.826913146048219,44.56642399948408,3.826913146048219,6.366631999926297,4.140250817243718,3.826913146048219,hartmann_6
8,0.18838518068187424,0.12578119630095,0.7520873065022919,0.5124215989845707,0.11650991366213037,0.6317388570705207,1.6768543500484228,1.6768543500484228,1.6768543500484228,0.0,False,False,0.0,logei,0.42981790006160736,False,8,4bf22ab1-a6ab-40e0-bc1c-2b77c9453978,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,4.140250817243718,6.290309613243514,50.856733612727595,3.826913146048219,6.357091701590949,4.140250817243718,3.826913146048219,hartmann_6
9,0.13049102107690827,0.09086836208129558,0.9918058674368161,0.1949233096747552,0.3333136684222498,0.5688847888505117,2.5507926494770703,2.5507926494770703,2.5507926494770703,0.0,False,False,0.0,logei,0.9697824000613764,False,8,4bf22ab1-a6ab-40e0-bc1c-2b77c9453978,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,4.140250817243718,5.416371313814867,56.27310492654246,3.826913146048219,6.2525672140602735,4.140250817243718,3.826913146048219,hartmann_6
10,0.07309568524629373,0.20210402790401594,0.7751143478992361,0.5538893599645212,0.34296384124697277,0.6693970508162604,2.3728345740999703,2.3728345740999703,2.3728345740999703,0.0,False,False,0.0,logei,0.6543264000210911,False,8,4bf22ab1-a6ab-40e0-bc1c-2b77c9453978,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,4.140250817243718,5.594329389191967,61.86743431573443,3.826913146048219,6.186743431573443,4.140250817243718,3.826913146048219,hartmann_6
