iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.6014983576233575,0.028689008371944547,0.14792608457745593,0.9282110229603695,1.571302229950474,1.571302229950474,1.571302229950474,0.0,False,False,0.0,qucb,0.0,False,11,6091f7cd-5ef9-431c-a123-19a9ca4d37d2,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,6.395861733341463,6.395861733341463,6.395861733341463,6.395861733341463,1.571302229950474,6.395861733341463,hartmann_6
2,0.07042057615419683,0.12977394939929798,0.9483284532917751,0.6218835927963828,0.368993123729791,0.5113900218032627,0.37926057518372475,0.37926057518372475,0.37926057518372475,0.0,False,False,0.0,qucb,0.0,False,11,6091f7cd-5ef9-431c-a123-19a9ca4d37d2,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,7.587903388108212,13.983765121449675,6.395861733341463,6.991882560724838,1.571302229950474,6.395861733341463,hartmann_6
3,0.6628429525167993,0.2753088157611293,0.13796807286695534,0.7880395945039919,0.6703605841024838,0.5123823134831604,-0.6412990271898988,-0.6412990271898988,-0.6412990271898988,0.0,False,False,0.0,qucb,0.0,False,11,6091f7cd-5ef9-431c-a123-19a9ca4d37d2,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,8.608462990481836,22.59222811193151,6.395861733341463,7.530742703977171,1.571302229950474,6.395861733341463,hartmann_6
4,0.8167364359696581,0.5490752688700263,0.9809136392973055,0.20450946133004488,0.5537303628652278,0.4836246969233877,-0.45831383618453114,-0.45831383618453114,-0.45831383618453114,0.0,False,False,0.0,qucb,0.0,False,11,6091f7cd-5ef9-431c-a123-19a9ca4d37d2,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,8.425477799476468,31.01770591140798,6.395861733341463,7.754426477851995,1.571302229950474,6.395861733341463,hartmann_6
5,0.3532748550604481,0.5915953039490435,0.23530123166758055,0.8022026837784835,0.8673335518424147,0.12875967122785104,1.3104474652198819,1.3104474652198819,1.3104474652198819,0.0,False,False,0.0,qucb,0.0,False,11,6091f7cd-5ef9-431c-a123-19a9ca4d37d2,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,6.656716498072055,37.67442240948004,6.395861733341463,7.5348844818960075,1.571302229950474,6.395861733341463,hartmann_6
6,0.0,1.0,1.0,0.0,0.7776900006532655,1.0,-0.6682827202506152,-0.6682827202506152,-0.6682827202506152,0.0,False,False,0.0,qucb,0.5323472000891343,False,11,6091f7cd-5ef9-431c-a123-19a9ca4d37d2,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,8.635446683542552,46.30986909302259,6.395861733341463,7.718311515503765,1.571302229950474,6.395861733341463,hartmann_6
7,0.0,0.0,0.8519261505633707,0.21942068262450887,0.0,0.8537283870431839,0.37362130898049173,0.37362130898049173,0.37362130898049173,0.0,False,False,0.0,qucb,0.7818794000195339,False,11,6091f7cd-5ef9-431c-a123-19a9ca4d37d2,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,7.593542654311445,53.90341174733403,6.395861733341463,7.70048739247629,1.571302229950474,6.395861733341463,hartmann_6
8,0.13197551003267297,0.5374014021342519,0.0,0.39136795082077336,0.17085107745107847,0.1010411094338478,0.10251802496833234,0.10251802496833234,0.10251802496833234,0.0,False,False,0.0,qucb,0.6611314999172464,False,11,6091f7cd-5ef9-431c-a123-19a9ca4d37d2,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,7.864645938323605,61.76805768565764,6.395861733341463,7.721007210707205,1.571302229950474,6.395861733341463,hartmann_6
9,0.23618993213964656,0.7500602762318369,0.2272988954020795,0.0,0.01809655100558275,0.9684876832797679,-0.5487544147775475,-0.5487544147775475,-0.5487544147775475,0.0,False,False,0.0,qucb,0.6019212999381125,False,11,6091f7cd-5ef9-431c-a123-19a9ca4d37d2,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.571302229950474,8.515918378069484,70.28397606372712,6.395861733341463,7.809330673747458,1.571302229950474,6.395861733341463,hartmann_6
10,0.16395765204837595,0.5120466143510378,0.512321254338719,0.35173384144326775,0.4743684622980639,0.6051303267610427,2.9231856233507822,2.9231856233507822,2.9231856233507822,0.0,False,False,0.0,qucb,0.616933099925518,False,11,6091f7cd-5ef9-431c-a123-19a9ca4d37d2,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.9231856233507822,5.043978339941155,75.32795440366829,5.043978339941155,7.5327954403668285,2.9231856233507822,5.043978339941155,hartmann_6
11,0.0756831370017325,0.514804501588992,0.5824478618127618,0.6661480417842658,0.6638451445495739,0.29902405613792266,-0.2918484734026211,-0.2918484734026211,-0.2918484734026211,0.0,False,False,0.0,qucb,0.6781442000064999,False,11,6091f7cd-5ef9-431c-a123-19a9ca4d37d2,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.9231856233507822,8.259012436694558,83.58696684036285,5.043978339941155,7.598815167305713,2.9231856233507822,5.043978339941155,hartmann_6
12,0.18432572645167558,0.4042310037776295,0.5497706336702189,0.2084792160171215,0.5146504145203489,0.721915338355686,3.2462734616135616,3.2462734616135616,3.2462734616135616,0.0,False,False,0.0,qucb,0.6628109000157565,False,11,6091f7cd-5ef9-431c-a123-19a9ca4d37d2,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,3.2462734616135616,4.720890501678376,88.30785734204122,4.720890501678376,7.358988111836768,3.2462734616135616,4.720890501678376,hartmann_6
13,0.3249992296993966,0.3412146311505755,0.5553521545020902,0.1538897574410218,0.2123104226799806,0.6414936566886748,4.69159896505615,4.69159896505615,4.69159896505615,0.0,False,False,0.0,qucb,0.8759336000075564,False,11,6091f7cd-5ef9-431c-a123-19a9ca4d37d2,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,4.69159896505615,3.2755649982357875,91.58342234027701,3.2755649982357875,7.04487864155977,4.69159896505615,3.2755649982357875,hartmann_6
14,0.3532653003833154,0.0,0.5916241341347671,0.5901902481002047,0.06638858601655671,0.6652355481940654,0.49367608397745716,0.49367608397745716,0.49367608397745716,0.0,False,False,0.0,qucb,0.6733533999649808,False,11,6091f7cd-5ef9-431c-a123-19a9ca4d37d2,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,4.69159896505615,7.47348787931448,99.05691021959149,3.2755649982357875,7.0754935871136775,4.69159896505615,3.2755649982357875,hartmann_6
15,0.25668015901200025,0.4577174501247388,0.5320278670372498,0.04807127721342949,0.19779577494741604,0.496089376232796,2.087228421310358,2.087228421310358,2.087228421310358,0.0,False,False,0.0,qucb,0.5304535999894142,False,11,6091f7cd-5ef9-431c-a123-19a9ca4d37d2,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,4.69159896505615,5.879935541981579,104.93684576157307,3.2755649982357875,6.995789717438204,4.69159896505615,3.2755649982357875,hartmann_6
