iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.6031481500515619,0.7775340829201788,0.7160746296035653,0.9153801204905075,-0.6203051845937949,-0.6203051845937949,-0.6203051845937949,0.0,False,False,0.0,pi,0.0,False,9,f9a26caa-025a-406e-b73f-ffc36e627e27,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.6203051845937949,8.587469147885733,8.587469147885733,8.587469147885733,8.587469147885733,-0.6203051845937949,8.587469147885733,hartmann_6
2,0.8603936491828846,0.9182376290487624,0.026587734467597213,0.4372480001295087,0.48494432697728806,0.06515419737010752,-0.47852200150684815,-0.47852200150684815,-0.47852200150684815,0.0,False,False,0.0,pi,0.0,False,9,f9a26caa-025a-406e-b73f-ffc36e627e27,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.47852200150684815,8.445685964798786,17.03315511268452,8.445685964798786,8.51657755634226,-0.47852200150684815,8.445685964798786,hartmann_6
3,0.005626050679392924,0.830621436971257,0.9833022442861755,0.7846098526726796,0.31560348997827314,0.7053337045894538,-0.5412982988132623,-0.5412982988132623,-0.5412982988132623,0.0,False,False,0.0,pi,0.0,False,9,f9a26caa-025a-406e-b73f-ffc36e627e27,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.47852200150684815,8.5084622621052,25.541617374789716,8.445685964798786,8.513872458263238,-0.47852200150684815,8.445685964798786,hartmann_6
4,0.2991810731982467,0.7407484828757487,0.279747219748287,0.7825909153281315,0.9877407468945767,0.9862385492802385,-0.6665178495997667,-0.6665178495997667,-0.6665178495997667,0.0,False,False,0.0,pi,0.0,False,9,f9a26caa-025a-406e-b73f-ffc36e627e27,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.47852200150684815,8.633681812891703,34.17529918768142,8.445685964798786,8.543824796920354,-0.47852200150684815,8.445685964798786,hartmann_6
5,0.8828625669966758,0.9128100517839179,0.7082069141031725,0.5544968772635087,0.9232382080702205,0.08973077985431255,-0.5212958261669214,-0.5212958261669214,-0.5212958261669214,0.0,False,False,0.0,pi,0.0,False,9,f9a26caa-025a-406e-b73f-ffc36e627e27,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.47852200150684815,8.488459789458858,42.663758977140276,8.445685964798786,8.532751795428055,-0.47852200150684815,8.445685964798786,hartmann_6
6,0.6411470575479898,0.9205562424621959,0.23053392656680388,0.4832269782660637,0.25332853396393473,0.12557304805027084,1.9340023405150442,1.9340023405150442,1.9340023405150442,0.0,False,False,0.0,pi,0.25654760003089905,False,9,f9a26caa-025a-406e-b73f-ffc36e627e27,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.9340023405150442,6.033161622776893,48.69692059991717,6.033161622776893,8.116153433319528,1.9340023405150442,6.033161622776893,hartmann_6
7,0.635593184827523,0.9210763233674517,0.23493441961517947,0.4835984910079303,0.24401412568076683,0.1251933840942364,2.054568371722391,2.054568371722391,2.054568371722391,0.0,False,False,0.0,pi,0.3063941999571398,False,9,f9a26caa-025a-406e-b73f-ffc36e627e27,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.054568371722391,5.912595591569547,54.60951619148672,5.912595591569547,7.801359455926674,2.054568371722391,5.912595591569547,hartmann_6
8,0.6199478650521988,0.922070000292769,0.2481633435719762,0.4855436891573516,0.22183321907550232,0.12628653493971828,2.398025389025489,2.398025389025489,2.398025389025489,0.0,False,False,0.0,pi,0.35603759996593,False,9,f9a26caa-025a-406e-b73f-ffc36e627e27,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.398025389025489,5.569138574266448,60.178654765753166,5.569138574266448,7.522331845719146,2.398025389025489,5.569138574266448,hartmann_6
9,0.5966474996426604,0.9239049861698624,0.26726703476265,0.4878147931611529,0.18605352495174798,0.12640785776565866,2.9423374128838273,2.9423374128838273,2.9423374128838273,0.0,False,False,0.0,pi,0.42691509996075183,False,9,f9a26caa-025a-406e-b73f-ffc36e627e27,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.9423374128838273,5.024826550408109,65.20348131616127,5.024826550408109,7.244831257351253,2.9423374128838273,5.024826550408109,hartmann_6
10,0.5735381637238542,0.9258818032106687,0.28596483248841276,0.4898173370006677,0.14951547028424972,0.1259260794409275,3.5038345800378026,3.5038345800378026,3.5038345800378026,0.0,False,False,0.0,pi,0.3225566999753937,False,9,f9a26caa-025a-406e-b73f-ffc36e627e27,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,3.5038345800378026,4.463329383254134,69.66681069941541,4.463329383254134,6.966681069941541,3.5038345800378026,4.463329383254134,hartmann_6
