iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.6031481500515619,0.7775340829201788,0.7160746296035653,0.9153801204905075,-0.6203051845937949,-0.6203051845937949,-0.6203051845937949,0.0,False,False,0.0,ucb,0.0,False,9,8b01a278-f80c-44a4-bc2a-d93d4ed9b8d1,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.6203051845937949,8.587469147885733,8.587469147885733,8.587469147885733,8.587469147885733,-0.6203051845937949,8.587469147885733,hartmann_6
2,0.8603936491828846,0.9182376290487624,0.026587734467597213,0.4372480001295087,0.48494432697728806,0.06515419737010752,-0.47852200150684815,-0.47852200150684815,-0.47852200150684815,0.0,False,False,0.0,ucb,0.0,False,9,8b01a278-f80c-44a4-bc2a-d93d4ed9b8d1,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.47852200150684815,8.445685964798786,17.03315511268452,8.445685964798786,8.51657755634226,-0.47852200150684815,8.445685964798786,hartmann_6
3,0.005626050679392924,0.830621436971257,0.9833022442861755,0.7846098526726796,0.31560348997827314,0.7053337045894538,-0.5412982988132623,-0.5412982988132623,-0.5412982988132623,0.0,False,False,0.0,ucb,0.0,False,9,8b01a278-f80c-44a4-bc2a-d93d4ed9b8d1,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.47852200150684815,8.5084622621052,25.541617374789716,8.445685964798786,8.513872458263238,-0.47852200150684815,8.445685964798786,hartmann_6
4,0.2991810731982467,0.7407484828757487,0.279747219748287,0.7825909153281315,0.9877407468945767,0.9862385492802385,-0.6665178495997667,-0.6665178495997667,-0.6665178495997667,0.0,False,False,0.0,ucb,0.0,False,9,8b01a278-f80c-44a4-bc2a-d93d4ed9b8d1,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.47852200150684815,8.633681812891703,34.17529918768142,8.445685964798786,8.543824796920354,-0.47852200150684815,8.445685964798786,hartmann_6
5,0.8828625669966758,0.9128100517839179,0.7082069141031725,0.5544968772635087,0.9232382080702205,0.08973077985431255,-0.5212958261669214,-0.5212958261669214,-0.5212958261669214,0.0,False,False,0.0,ucb,0.0,False,9,8b01a278-f80c-44a4-bc2a-d93d4ed9b8d1,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.47852200150684815,8.488459789458858,42.663758977140276,8.445685964798786,8.532751795428055,-0.47852200150684815,8.445685964798786,hartmann_6
6,0.1193002463648443,0.8450058752384898,0.7339946827125122,0.5264525138312628,0.0,0.1134904939150147,1.2009010417110062,1.2009010417110062,1.2009010417110062,0.0,False,False,0.0,ucb,0.3866505000041798,False,9,8b01a278-f80c-44a4-bc2a-d93d4ed9b8d1,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.2009010417110062,6.766262921580931,49.43002189872121,6.766262921580931,8.2383369831202,1.2009010417110062,6.766262921580931,hartmann_6
7,0.0,0.6816715278611446,1.0,0.1488964042905008,0.0,0.0,-0.6073037719884649,-0.6073037719884649,-0.6073037719884649,0.0,False,False,0.0,ucb,0.5671219000359997,False,9,8b01a278-f80c-44a4-bc2a-d93d4ed9b8d1,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.2009010417110062,8.574467735280402,58.00448963400161,6.766262921580931,8.28635566200023,1.2009010417110062,6.766262921580931,hartmann_6
8,0.0,1.0,0.23078418373895465,0.5702424179162675,0.0,0.0,-0.2301832763248952,-0.2301832763248952,-0.2301832763248952,0.0,False,False,0.0,ucb,0.7414939999580383,False,9,8b01a278-f80c-44a4-bc2a-d93d4ed9b8d1,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.2009010417110062,8.197347239616832,66.20183687361845,6.766262921580931,8.275229609202306,1.2009010417110062,6.766262921580931,hartmann_6
9,0.0678372177399728,0.5378956475900328,0.7762144471472402,0.5731118840739482,0.0,0.0,-0.2037160440029071,-0.2037160440029071,-0.2037160440029071,0.0,False,False,0.0,ucb,0.5922112000407651,False,9,8b01a278-f80c-44a4-bc2a-d93d4ed9b8d1,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.2009010417110062,8.170880007294844,74.37271688091329,6.766262921580931,8.263635208990365,1.2009010417110062,6.766262921580931,hartmann_6
10,0.06946310271397742,0.8903778448034189,0.6525744155707325,0.556168367093105,0.0,0.07775980870377944,0.5345178479014545,0.5345178479014545,0.5345178479014545,0.0,False,False,0.0,ucb,0.6332657999591902,False,9,8b01a278-f80c-44a4-bc2a-d93d4ed9b8d1,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.2009010417110062,7.432646115390483,81.80536299630377,6.766262921580931,8.180536299630377,1.2009010417110062,6.766262921580931,hartmann_6
11,0.22448031672958865,0.9162262995059657,0.7663285919679628,0.3319801701395851,0.0,0.0,1.9158661115435633,1.9158661115435633,1.9158661115435633,0.0,False,False,0.0,ucb,0.639278499991633,False,9,8b01a278-f80c-44a4-bc2a-d93d4ed9b8d1,slip,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.9158661115435633,6.051297851748374,87.85666084805214,6.051297851748374,7.98696916800474,1.9158661115435633,6.051297851748374,hartmann_6
