iteration,x0,x1,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,128.09775780317898,406.7469321928453,-1.376274054829661,-1.376274054829661,-1.376274054829661,0.0,False,False,0.0,ucb,0.0,False,7,5daf3841-c5a6-4b34-ad85-f88c3269daa5,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,-1.376274054829661,4.58131958588472,4.58131958588472,4.58131958588472,4.58131958588472,-1.376274054829661,4.58131958588472,eggholder
2,282.30214681107816,-281.38783744963393,-0.4721201176591365,-0.4721201176591365,-0.4721201176591365,0.0,False,False,0.0,ucb,0.0,False,7,5daf3841-c5a6-4b34-ad85-f88c3269daa5,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,-0.4721201176591365,3.6771656487141953,8.258485234598915,3.6771656487141953,4.129242617299457,-0.4721201176591365,3.6771656487141953,eggholder
3,-204.62972425090516,382.5187280857722,-1.041347350535986,-1.041347350535986,-1.041347350535986,0.0,False,False,0.0,ucb,0.0,False,7,5daf3841-c5a6-4b34-ad85-f88c3269daa5,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,-0.4721201176591365,4.246392881591045,12.50487811618996,3.6771656487141953,4.168292705396653,-0.4721201176591365,3.6771656487141953,eggholder
4,-506.6083281248515,328.93790042395267,0.41221577617518584,0.41221577617518584,0.41221577617518584,0.0,False,False,0.0,ucb,0.0,False,7,5daf3841-c5a6-4b34-ad85-f88c3269daa5,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.41221577617518584,2.792829754879873,15.297707871069834,2.792829754879873,3.8244269677674585,0.41221577617518584,2.792829754879873,eggholder
5,304.19909504209534,-32.834608288029926,-0.9877282117936217,-0.9877282117936217,-0.9877282117936217,0.0,False,False,0.0,ucb,0.0,False,7,5daf3841-c5a6-4b34-ad85-f88c3269daa5,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.41221577617518584,4.19277374284868,19.490481613918515,2.792829754879873,3.898096322783703,0.41221577617518584,2.792829754879873,eggholder
6,-512.0,-106.02218071860747,-0.954159859536175,-0.954159859536175,-0.954159859536175,0.0,False,False,0.0,ucb,0.16955529991537333,False,7,5daf3841-c5a6-4b34-ad85-f88c3269daa5,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.41221577617518584,4.159205390591234,23.64968700450975,2.792829754879873,3.941614500751625,0.41221577617518584,2.792829754879873,eggholder
7,-512.0,492.4898123886377,-3.1050752595019335,-3.1050752595019335,-3.1050752595019335,0.0,False,False,0.0,ucb,0.21301770000718534,False,7,5daf3841-c5a6-4b34-ad85-f88c3269daa5,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.41221577617518584,6.310120790556992,29.959807795066745,2.792829754879873,4.279972542152392,0.41221577617518584,2.792829754879873,eggholder
8,-433.0834022494483,241.25666559342102,-0.6593901110927998,-0.6593901110927998,-0.6593901110927998,0.0,False,False,0.0,ucb,0.22399690002202988,False,7,5daf3841-c5a6-4b34-ad85-f88c3269daa5,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.41221577617518584,3.8644356421478587,33.824243437214605,2.792829754879873,4.228030429651826,0.41221577617518584,2.792829754879873,eggholder
9,5.631220434670631,303.9622252842296,-0.06667809452287497,-0.06667809452287497,-0.06667809452287497,0.0,False,False,0.0,ucb,0.2622789000160992,False,7,5daf3841-c5a6-4b34-ad85-f88c3269daa5,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.41221577617518584,3.2717236255779336,37.09596706279254,2.792829754879873,4.12177411808806,0.41221577617518584,2.792829754879873,eggholder
10,-456.499936838104,-360.24267402554545,1.8535996778206085,1.8535996778206085,1.8535996778206085,0.0,False,False,0.0,ucb,0.24214159999974072,False,7,5daf3841-c5a6-4b34-ad85-f88c3269daa5,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.8535996778206085,1.3514458532344502,38.44741291602699,1.3514458532344502,3.8447412916026993,1.8535996778206085,1.3514458532344502,eggholder
11,-512.0,-421.2711224739599,1.2886400022700635,1.2886400022700635,1.2886400022700635,0.0,False,False,0.0,ucb,0.1857116000028327,False,7,5daf3841-c5a6-4b34-ad85-f88c3269daa5,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.8535996778206085,1.9164055287849953,40.36381844481198,1.3514458532344502,3.669438040437453,1.8535996778206085,1.3514458532344502,eggholder
12,141.86283434346365,-391.27296507680137,0.807112560271152,0.807112560271152,0.807112560271152,0.0,False,False,0.0,ucb,0.22064600000157952,False,7,5daf3841-c5a6-4b34-ad85-f88c3269daa5,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.8535996778206085,2.3979329707839065,42.76175141559589,1.3514458532344502,3.5634792846329906,1.8535996778206085,1.3514458532344502,eggholder
