iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,1.2857020276919962,4.99277862440115,6.014983576233575,0.28689008371944547,1.4295152574855543,1.4295152574855543,1.4295152574855543,0.0,False,False,0.0,logei,0.0,False,11,97c90df7-877f-448d-8fb0-c8406c98c3d7,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,1.4295152574855543,3.9733225071848075,3.9733225071848075,3.9733225071848075,3.9733225071848075,1.4295152574855543,3.9733225071848075,hicks_law
2,1.4792608457745593,9.282110229603695,0.7042057615419683,1.2977394939929798,1.6061098187084903,1.6061098187084903,1.6061098187084903,0.0,False,False,0.0,logei,0.0,False,11,97c90df7-877f-448d-8fb0-c8406c98c3d7,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,1.6061098187084903,3.7967279459618712,7.770050453146679,3.7967279459618712,3.8850252265733394,1.6061098187084903,3.7967279459618712,hicks_law
3,9.48328453291775,6.218835927963829,3.68993123729791,5.113900218032627,-0.9334055319714587,-0.9334055319714587,-0.9334055319714587,0.0,False,False,0.0,logei,0.0,False,11,97c90df7-877f-448d-8fb0-c8406c98c3d7,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,1.6061098187084903,6.33624329664182,14.106293749788499,3.7967279459618712,4.702097916596166,1.6061098187084903,3.7967279459618712,hicks_law
4,6.628429525167992,2.753088157611293,1.3796807286695534,7.880395945039918,0.11997541526618884,0.11997541526618884,0.11997541526618884,0.0,False,False,0.0,logei,0.0,False,11,97c90df7-877f-448d-8fb0-c8406c98c3d7,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,1.6061098187084903,5.282862349404173,19.38915609919267,3.7967279459618712,4.847289024798168,1.6061098187084903,3.7967279459618712,hicks_law
5,6.703605841024838,5.123823134831604,8.167364359696581,5.490752688700264,-1.1457377225384435,-1.1457377225384435,-1.1457377225384435,0.0,False,False,0.0,logei,0.0,False,11,97c90df7-877f-448d-8fb0-c8406c98c3d7,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,1.6061098187084903,6.548575487208805,25.937731586401476,3.7967279459618712,5.187546317280296,1.6061098187084903,3.7967279459618712,hicks_law
6,7.737389122140936,10.0,0.0,0.009303202630419014,1.629718036575019,1.629718036575019,1.629718036575019,0.0,False,False,0.0,logei,0.7526624000165612,False,11,97c90df7-877f-448d-8fb0-c8406c98c3d7,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,1.629718036575019,3.7731197280953426,29.710851314496818,3.7731197280953426,4.951808552416137,1.629718036575019,3.7731197280953426,hicks_law
7,10.0,10.0,10.0,0.7878288334631628,-1.0094731804129113,-1.0094731804129113,-1.0094731804129113,0.0,False,False,0.0,logei,0.6493214999791235,False,11,97c90df7-877f-448d-8fb0-c8406c98c3d7,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,1.629718036575019,6.412310945083273,36.12316225958009,3.7731197280953426,5.160451751368584,1.629718036575019,3.7731197280953426,hicks_law
8,2.3873640650439656,3.4680354970790934,0.0,0.0,3.1619433342481815,3.1619433342481815,3.1619433342481815,0.0,False,False,0.0,logei,0.6764994999975897,False,11,97c90df7-877f-448d-8fb0-c8406c98c3d7,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,3.1619433342481815,2.24089443042218,38.36405669000227,2.24089443042218,4.795507086250284,3.1619433342481815,2.24089443042218,hicks_law
9,0.0,0.0,0.0,0.0,5.402837764670362,5.402837764670362,5.402837764670362,0.0,False,False,0.0,logei,0.6245384000358172,False,11,97c90df7-877f-448d-8fb0-c8406c98c3d7,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,0.0,38.36405669000227,0.0,4.262672965555808,5.402837764670362,0.0,hicks_law
10,0.0,0.0,0.0,0.0,5.402837764670362,5.402837764670362,5.402837764670362,0.0,False,False,0.0,logei,0.8125819000415504,False,11,97c90df7-877f-448d-8fb0-c8406c98c3d7,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,0.0,38.36405669000227,0.0,3.8364056690002273,5.402837764670362,0.0,hicks_law
