iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,9.560017096289753,2.076818100791469,8.284448852745307,1.4928212308202027,0.715257817365798,0.715257817365798,False,0.0,logei,0.0,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.715257817365798,56.05881622065259,56.05881622065259,56.05881622065259,56.05881622065259,0.715257817365798,56.05881622065259,shekel
2,5.1280461643656485,1.3591960402050662,6.890364797811311,8.41747724312279,-0.48337812269730146,-0.48337812269730146,False,0.0,logei,0.0,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.715257817365798,57.25745216071569,113.31626838136827,56.05881622065259,56.65813419068414,0.715257817365798,56.05881622065259,shekel
3,4.255089974049766,9.569260034533663,8.253329063847982,3.38215312471576,-0.6379940207411289,-0.6379940207411289,False,0.0,logei,0.0,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.715257817365798,57.412068058759516,170.7283364401278,56.05881622065259,56.9094454800426,0.715257817365798,56.05881622065259,shekel
4,5.757605479445136,7.533018647084769,8.271039370247955,9.334384708515813,0.011918311980180278,0.011918311980180278,False,0.0,logei,0.0,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.715257817365798,56.7621557260382,227.490492166166,56.05881622065259,56.8726230415415,0.715257817365798,56.05881622065259,shekel
5,1.449946949362273,7.455802110439374,1.3935139386782236,9.065287561129269,0.9169438576862018,0.9169438576862018,False,0.0,logei,0.0,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,55.857130180332184,283.3476223464982,55.857130180332184,56.669524469299645,0.9169438576862018,55.857130180332184,shekel
6,0.15289162710073112,7.741575245243088,0.0,10.0,-0.5992365423378466,-0.5992365423378466,False,0.0,logei,0.4426913999923272,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,57.37331058035623,340.72093292685446,55.857130180332184,56.78682215447574,0.9169438576862018,55.857130180332184,shekel
7,0.15289162710073112,7.741575245243088,0.0,10.0,-0.5992365423378466,-0.5992365423378466,False,0.0,logei,0.0,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,57.37331058035623,398.0942435072107,55.857130180332184,56.87060621531582,0.9169438576862018,55.857130180332184,shekel
8,1.855377021477941,7.366475000795043,1.8291000131726196,8.773101845503419,1.4322034686590877,1.4322034686590877,False,0.0,logei,0.46146769999177195,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,1.4322034686590877,55.341870569359294,453.43611407657,55.341870569359294,56.67951425957125,1.4322034686590877,55.341870569359294,shekel
9,1.855377021477941,7.366475000795043,1.8291000131726196,8.773101845503419,1.4322034686590877,1.4322034686590877,False,0.0,logei,0.0,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,1.4322034686590877,55.341870569359294,508.7779846459293,55.341870569359294,56.53088718288103,1.4322034686590877,55.341870569359294,shekel
10,2.471900318657447,7.310960146518543,1.9647400184998578,8.625163693442614,1.6709150807260147,1.6709150807260147,False,0.0,logei,0.4138000000093598,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,1.6709150807260147,55.10315895729237,563.8811436032216,55.10315895729237,56.38811436032216,1.6709150807260147,55.10315895729237,shekel
11,2.471900318657447,7.310960146518543,1.9647400184998578,8.625163693442614,1.6709150807260147,1.6709150807260147,False,0.0,logei,0.0,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,1.6709150807260147,55.10315895729237,618.984302560514,55.10315895729237,56.271300232774,1.6709150807260147,55.10315895729237,shekel
12,3.86220450252114,7.196741697928822,2.4747259925560323,8.052673300073083,2.044619137903074,2.044619137903074,False,0.0,logei,0.3737312000012025,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,2.044619137903074,54.72945490011531,673.7137574606294,54.72945490011531,56.142813121719115,2.044619137903074,54.72945490011531,shekel
13,3.86220450252114,7.196741697928822,2.4747259925560323,8.052673300073083,2.044619137903074,2.044619137903074,False,0.0,logei,0.0,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,2.044619137903074,54.72945490011531,728.4432123607447,54.72945490011531,56.03409325851882,2.044619137903074,54.72945490011531,shekel
14,4.114312043019951,6.877474059860278,3.0720391391670807,10.0,0.03508614065290868,0.03508614065290868,False,0.0,logei,0.39194980000320356,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,2.044619137903074,56.738987897365476,785.1822002581102,54.72945490011531,56.084442875579306,2.044619137903074,54.72945490011531,shekel
15,4.114312043019951,6.877474059860278,3.0720391391670807,10.0,0.03508614065290868,0.03508614065290868,False,0.0,logei,0.0,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,2.044619137903074,56.738987897365476,841.9211881554758,54.72945490011531,56.12807921036505,2.044619137903074,54.72945490011531,shekel
16,3.296745683498033,6.0449571672675475,1.5003440706776234,8.041397657073857,0.7692244036573855,0.7692244036573855,False,0.0,logei,0.4980219999997644,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,2.044619137903074,56.004849634361,897.9260377898368,54.72945490011531,56.1203773618648,2.044619137903074,54.72945490011531,shekel
17,3.296745683498033,6.0449571672675475,1.5003440706776234,8.041397657073857,0.7692244036573855,0.7692244036573855,False,0.0,logei,0.0,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,2.044619137903074,56.004849634361,953.9308874241977,54.72945490011531,56.1135816131881,2.044619137903074,54.72945490011531,shekel
18,5.665928292732851,7.185049912431772,0.0,8.039391883622827,-0.49648453336377796,-0.49648453336377796,False,0.0,logei,0.5540521999937482,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,2.044619137903074,57.27055857138216,1011.2014459955799,54.72945490011531,56.17785811086555,2.044619137903074,54.72945490011531,shekel
19,5.665928292732851,7.185049912431772,0.0,8.039391883622827,-0.49648453336377796,-0.49648453336377796,False,0.0,logei,0.0,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,2.044619137903074,57.27055857138216,1068.4720045669621,54.72945490011531,56.23536866141906,2.044619137903074,54.72945490011531,shekel
20,4.896791381241183,7.9441180007139,2.3496680880517573,8.023342613698311,0.5547232151702758,0.5547232151702758,False,0.0,logei,0.4068888000037987,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,2.044619137903074,56.21935082284811,1124.6913553898103,54.72945490011531,56.23456776949051,2.044619137903074,54.72945490011531,shekel
21,4.896791381241183,7.9441180007139,2.3496680880517573,8.023342613698311,0.5547232151702758,0.555819691045555,True,0.0010964758752791681,logei,0.0,False,10,e9253ae2-b524-4f57-896a-69991eaa0d46,gaussian,0.05,20,exact,value,learned,0.0025000000000000005,"x0,x1,x2,x3",56.774074038018384,2.044619137903074,56.21935082284811,1180.9107062126584,54.72945490011531,56.23384315298373,2.044619137903074,54.72945490011531,shekel
