iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,370.24920397008464,-213.1827909124446,103.14815005156186,277.5340829201788,-0.5011725100451665,-0.5011725100451665,-0.8884304404527471,160.1320630162975,True,True,0.0,logei,0.0,False,9,9f8c68f9-1a12-4f6a-bf2b-da79b95d1022,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,-0.5011725100451665,4.829562881824018,4.829562881824018,4.829562881824018,4.829562881824018,-0.8884304404527471,5.216820812231599,schwefel
2,216.0746296035653,415.3801204905076,360.3936491828846,418.2376290487624,-0.11222424249655075,-0.11222424249655075,2.7485478000206873,232.6604758675676,True,True,0.0,logei,0.0,False,9,9f8c68f9-1a12-4f6a-bf2b-da79b95d1022,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,-0.11222424249655075,4.440614614275403,9.270177496099421,4.440614614275403,4.635088748049711,2.7485478000206873,1.5798425717581646,schwefel
3,-473.4122655324028,-62.75199987049132,-15.055673022711915,-434.8458026298925,-0.5188357423152631,-0.5188357423152631,-1.4375677418251045,192.0752007114073,True,True,0.0,logei,0.0,False,9,9f8c68f9-1a12-4f6a-bf2b-da79b95d1022,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,-0.11222424249655075,4.847226114094115,14.117403610193536,4.440614614275403,4.705801203397845,2.7485478000206873,1.5798425717581646,schwefel
4,-494.3739493206071,330.621436971257,483.30224428617555,284.6098526726796,-0.007424297152210397,-0.007424297152210397,-0.886120106957704,144.3236255224521,True,True,0.0,logei,0.0,False,9,9f8c68f9-1a12-4f6a-bf2b-da79b95d1022,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,-0.007424297152210397,4.335814668931063,18.4532182791246,4.335814668931063,4.61330456978115,-0.886120106957704,5.214510478736556,schwefel
5,-184.39651002172684,205.33370458945376,-200.81892680175326,240.74848287574866,-0.5228009871105741,-0.5228009871105741,-0.2832592544134897,272.2547072648716,True,True,0.0,logei,0.0,False,9,9f8c68f9-1a12-4f6a-bf2b-da79b95d1022,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,-0.007424297152210397,4.851191358889426,23.304409638014025,4.335814668931063,4.660881927602805,-0.886120106957704,5.214510478736556,schwefel
6,-500.0,500.0,500.0,-500.0,-0.7803265338247627,-0.7803265338247627,-5.511293765612444e-08,27.771337421272563,True,True,0.0,logei,0.3491426999680698,False,9,9f8c68f9-1a12-4f6a-bf2b-da79b95d1022,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,-0.007424297152210397,5.108716905603615,28.41312654361764,4.335814668931063,4.73552109060294,-0.886120106957704,5.214510478736556,schwefel
7,-500.0,500.0,500.0,426.4390749031507,-0.7767906880470309,-0.7767906880470309,0.6059359742872498,84.54535611782188,True,True,0.0,logei,0.25936359993647784,False,9,9f8c68f9-1a12-4f6a-bf2b-da79b95d1022,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,-0.007424297152210397,5.105181059825883,33.518307603443525,4.335814668931063,4.788329657634789,-0.886120106957704,5.214510478736556,schwefel
8,-76.02005954337358,345.38361860303365,425.0289401035465,458.70111474673774,0.46635844504202995,0.46635844504202995,1.3588044626473592,227.2316467941913,True,True,0.0,logei,0.46784450008999556,False,9,9f8c68f9-1a12-4f6a-bf2b-da79b95d1022,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.46635844504202995,3.862031926736822,37.38033953018034,3.862031926736822,4.672542441272543,1.3588044626473592,2.9695859091314927,schwefel
9,32.32179590131189,315.97303949099836,496.88851294131234,500.0,-1.074660880900682,-1.074660880900682,-1.6098300515168364,87.93107638410045,True,True,0.0,logei,0.46326490002684295,False,9,9f8c68f9-1a12-4f6a-bf2b-da79b95d1022,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.46635844504202995,5.403051252679534,42.783390782859875,3.862031926736822,4.75371008698443,1.3588044626473592,2.9695859091314927,schwefel
10,-237.60925084161508,343.4339488100473,421.6530704735017,373.085510946226,0.10496139875485479,0.10496139875485479,1.0603238026924726,223.70447298056249,True,True,0.0,logei,0.36074250005185604,False,9,9f8c68f9-1a12-4f6a-bf2b-da79b95d1022,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.46635844504202995,4.223428973023997,47.006819755883875,3.862031926736822,4.700681975588387,1.3588044626473592,2.9695859091314927,schwefel
