iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.625095466604667,0.8972138009695755,0.7756856902451935,0.22520718999059186,-0.5591188880501616,-0.5591188880501616,-0.5591188880501616,0.0,False,False,0.0,ucb,0.0,False,7,7e7298ca-e803-473d-80d4-0e48d435bb00,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,-0.5591188880501616,4.09453143183702,4.09453143183702,4.09453143183702,4.09453143183702,-0.5591188880501616,4.09453143183702,yerkes_dodson
2,0.30016628491122543,0.8735534453962619,0.005265304565574724,0.8212284183827663,-1.331678072195063,-1.331678072195063,-1.331678072195063,0.0,False,False,0.0,ucb,0.0,False,7,7e7298ca-e803-473d-80d4-0e48d435bb00,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,-0.5591188880501616,4.867090615981922,8.961622047818942,4.09453143183702,4.480811023909471,-0.5591188880501616,4.09453143183702,yerkes_dodson
3,0.7970694287520462,0.4679349528437208,0.3030324268193135,0.2784256121007733,0.5288477336449231,0.5288477336449231,0.5288477336449231,0.0,False,False,0.0,ucb,0.0,False,7,7e7298ca-e803-473d-80d4-0e48d435bb00,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,0.5288477336449231,3.0065648101419358,11.968186857960877,3.0065648101419358,3.9893956193202924,0.5288477336449231,3.0065648101419358,yerkes_dodson
4,0.2548695876541246,0.4450763058826466,0.5045482589579533,0.5534973520744925,2.3124859446444517,2.3124859446444517,2.3124859446444517,0.0,False,False,0.0,ucb,0.0,False,7,7e7298ca-e803-473d-80d4-0e48d435bb00,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,1.222926599142407,13.191113457103285,1.222926599142407,3.297778364275821,2.3124859446444517,1.222926599142407,yerkes_dodson
5,0.9955002834343927,0.7926619192137531,0.6221792294411627,0.9889601476818849,-0.8872648590242657,-0.8872648590242657,-0.8872648590242657,0.0,False,False,0.0,ucb,0.0,False,7,7e7298ca-e803-473d-80d4-0e48d435bb00,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,4.422677402811124,17.61379085991441,1.222926599142407,3.5227581719828818,2.3124859446444517,1.222926599142407,yerkes_dodson
6,0.0,0.29560942596569495,0.6935396213225747,0.5510690648483642,0.3894352300137405,0.3894352300137405,0.3894352300137405,0.0,False,False,0.0,ucb,0.3499292000196874,False,7,7e7298ca-e803-473d-80d4-0e48d435bb00,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,3.145977313773118,20.759768173687526,1.222926599142407,3.459961362281254,2.3124859446444517,1.222926599142407,yerkes_dodson
7,0.051249251391010456,0.522384584766686,0.49071446518666106,0.27018683380673575,1.1395612176964427,1.1395612176964427,1.1395612176964427,0.0,False,False,0.0,ucb,0.482732699951157,False,7,7e7298ca-e803-473d-80d4-0e48d435bb00,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,2.395851326090416,23.15561949977794,1.222926599142407,3.30794564282542,2.3124859446444517,1.222926599142407,yerkes_dodson
8,0.24658188800527614,0.46485723053495326,0.23043728079501488,0.9219668786072388,-0.10150103234111099,-0.10150103234111099,-0.10150103234111099,0.0,False,False,0.0,ucb,0.45507169992197305,False,7,7e7298ca-e803-473d-80d4-0e48d435bb00,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,3.6369135761279696,26.79253307590591,1.222926599142407,3.349066634488239,2.3124859446444517,1.222926599142407,yerkes_dodson
9,0.38404296937570126,0.1714745083767576,0.47147038315148276,0.42175039012999394,1.6772222464340514,1.6772222464340514,1.6772222464340514,0.0,False,False,0.0,ucb,0.3176849000155926,False,7,7e7298ca-e803-473d-80d4-0e48d435bb00,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,1.8581902973528073,28.650723373258717,1.222926599142407,3.1834137081398577,2.3124859446444517,1.222926599142407,yerkes_dodson
10,0.3760329636015613,0.8852177890249865,0.4572762550520824,0.5421125047555257,1.6515230648291808,1.6515230648291808,1.6515230648291808,0.0,False,False,0.0,ucb,0.3257541001075879,False,7,7e7298ca-e803-473d-80d4-0e48d435bb00,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,1.8838894789576779,30.534612852216394,1.222926599142407,3.0534612852216396,2.3124859446444517,1.222926599142407,yerkes_dodson
