iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,1.2809775780317896,4.067469321928454,2.823021468110782,-2.8138783744963396,0.7633776181059154,0.7633776181059154,False,0.0,logei,0.0,False,7,047c071a-e956-40db-b388-7b88dc75c132,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,0.7633776181059154,2.8755614553321363,2.8755614553321363,2.8755614553321363,2.8755614553321363,0.7633776181059154,2.8755614553321363,rastrigin
2,-2.0462972425090515,3.8251872808577216,-5.066083281248515,3.2893790042395272,-0.018256045527367024,-0.018256045527367024,False,0.0,logei,0.0,False,7,047c071a-e956-40db-b388-7b88dc75c132,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,0.7633776181059154,3.6571951189654186,6.532756574297554,2.8755614553321363,3.266378287148777,0.7633776181059154,2.8755614553321363,rastrigin
3,3.0419909504209537,-0.3283460828802989,-2.0169479493702296,-2.268921732088081,1.4343726798783474,1.4343726798783474,False,0.0,logei,0.0,False,7,047c071a-e956-40db-b388-7b88dc75c132,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.4343726798783474,2.2045663935597046,8.73732296785726,2.2045663935597046,2.9124409892857535,1.4343726798783474,2.2045663935597046,rastrigin
4,-2.5101354224217642,-0.5624186277616987,0.04657417172944189,0.547812885242803,0.39208810311850745,0.39208810311850745,False,0.0,logei,0.0,False,7,047c071a-e956-40db-b388-7b88dc75c132,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.4343726798783474,3.2468509703195445,11.984173938176804,2.2045663935597046,2.996043484544201,1.4343726798783474,2.2045663935597046,rastrigin
5,5.073922902368181,2.9968580527488315,1.2511153094775054,5.006951912262502,0.07855652029965372,0.07855652029965372,False,0.0,logei,0.0,False,7,047c071a-e956-40db-b388-7b88dc75c132,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.4343726798783474,3.560382553138398,15.544556491315202,2.2045663935597046,3.1089112982630405,1.4343726798783474,2.2045663935597046,rastrigin
6,4.420736544151484,-1.7522014494895266,-3.155204063509009,-3.1609453090182233,-0.3038454326550853,-0.3038454326550853,False,0.0,logei,0.4455578000051901,False,7,047c071a-e956-40db-b388-7b88dc75c132,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.4343726798783474,3.9427845060931372,19.48734099740834,2.2045663935597046,3.2478901662347233,1.4343726798783474,2.2045663935597046,rastrigin
7,2.6928527734476324,0.30515451278168726,-1.3686694108245971,-2.2293166436131875,0.3690335584548994,0.3690335584548994,False,0.0,logei,0.6974534999462776,False,7,047c071a-e956-40db-b388-7b88dc75c132,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.4343726798783474,3.2699055149831526,22.75724651239149,2.2045663935597046,3.2510352160559273,1.4343726798783474,2.2045663935597046,rastrigin
8,3.1611848796915347,-0.5446498476984947,-2.2383064023663484,-2.282429506154998,0.39231454777325714,0.39231454777325714,False,0.0,logei,0.7412525999825448,False,7,047c071a-e956-40db-b388-7b88dc75c132,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.4343726798783474,3.2466245256647945,26.003871038056285,2.2045663935597046,3.2504838797570357,1.4343726798783474,2.2045663935597046,rastrigin
9,2.9795880709650935,-0.215104032881376,-1.9010633772508005,-2.2618451584608676,1.7642285038726795,1.7642285038726795,False,0.0,logei,0.9112065999652259,False,7,047c071a-e956-40db-b388-7b88dc75c132,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.7642285038726795,1.8747105695653723,27.87858160762166,1.8747105695653723,3.097620178624629,1.7642285038726795,1.8747105695653723,rastrigin
10,4.105951949536511,-0.1649488121682371,-0.10038992690072432,-1.9074200229209464,2.1094643410852756,2.1094643410852756,False,0.0,logei,1.0374653000035323,False,7,047c071a-e956-40db-b388-7b88dc75c132,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,2.1094643410852756,1.5294747323527762,29.408056339974436,1.5294747323527762,2.9408056339974435,2.1094643410852756,1.5294747323527762,rastrigin
11,5.12,-0.15901622004759644,1.8906159612169335,-1.9856141348265766,1.5092505017881177,1.5092505017881177,False,0.0,logei,0.990213599987328,False,7,047c071a-e956-40db-b388-7b88dc75c132,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,2.1094643410852756,2.1296885716499343,31.537744911624372,1.5294747323527762,2.8670677192385794,2.1094643410852756,1.5294747323527762,rastrigin
12,5.12,-0.15899136920088894,-0.5982102288585246,-0.03140444450121128,1.0732168717521728,1.0732168717521728,False,0.0,logei,0.9486857000156306,False,7,047c071a-e956-40db-b388-7b88dc75c132,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,2.1094643410852756,2.5657222016858787,34.10346711331025,1.5294747323527762,2.841955592775854,2.1094643410852756,1.5294747323527762,rastrigin
