iteration,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-3.4605544678887856,9.74553686675851,-3.625783230289665,5.770978716400579,7.3979302339243205,-2.178303869216121,-1.2423625375440235,-2.5450219382129387,-7.860928070544513,-0.42069091674566117,-5.172957098306354,0.4104892994768138,0.4104892994768138,0.4104892994768138,0.0,False,False,0.0,qnei,0.0,False,8,1e0aa441-61db-48b3-b885-427acf8353dd,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.4104892994768138,2.2139910323017986,2.2139910323017986,2.2139910323017986,2.2139910323017986,0.4104892994768138,2.2139910323017986,levy_10
2,-4.857095028977405,-6.305368863311703,-6.122709021913786,6.276553403100419,-1.5403162371154728,-4.881589896835479,1.8180570353082324,2.085445921169116,2.937160541203758,8.22712760897048,-6.9958777607606315,0.2824822027103648,0.2824822027103648,0.2824822027103648,0.0,False,False,0.0,qnei,0.0,False,8,1e0aa441-61db-48b3-b885-427acf8353dd,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.4104892994768138,2.3419981290682474,4.5559891613700465,2.2139910323017986,2.2779945806850233,0.4104892994768138,2.2139910323017986,levy_10
3,-2.5722574311520763,-4.307587249783749,-9.664358953510986,-6.36892125274541,-2.1066283740279435,-2.1337857982735153,2.3345588881400197,-0.954669423457073,2.1466133514294974,-5.538800291732544,-7.320257364012419,-0.3949587224150516,-0.3949587224150516,-0.3949587224150516,0.0,False,False,0.0,qnei,0.0,False,8,1e0aa441-61db-48b3-b885-427acf8353dd,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.4104892994768138,3.019439054193664,7.5754282155637105,2.2139910323017986,2.525142738521237,0.4104892994768138,2.2139910323017986,levy_10
4,-3.4142124657649227,-8.07783132943706,-2.6832017066440805,-0.7964138502008424,4.379772877790282,7.3404973867082575,-8.963286949666518,9.12191821331799,4.402028504307356,9.775471973463084,-7.624457814034196,-0.35953658243578,-0.35953658243578,-0.35953658243578,0.0,False,False,0.0,qnei,0.0,False,8,1e0aa441-61db-48b3-b885-427acf8353dd,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.4104892994768138,2.984016914214392,10.559445129778103,2.2139910323017986,2.639861282444526,0.4104892994768138,2.2139910323017986,levy_10
5,-2.499564886034009,0.045080238101624204,4.944469240369569,-3.7793810035347697,-1.0019144783080218,-4.47681294798707,-1.0166967459785354,0.19948015802741992,1.30055879529049,4.083814301840809,-5.1636002684237425,2.0834676156006213,2.0834676156006213,2.0834676156006213,0.0,False,False,0.0,qnei,0.0,False,8,1e0aa441-61db-48b3-b885-427acf8353dd,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,0.541012716177991,11.100457845956093,0.541012716177991,2.2200915691912186,2.0834676156006213,0.541012716177991,levy_10
6,-2.8938688595155635,0.9746979974632336,7.1508490682420796,-1.389253401888862,-2.538797087213379,-8.191199522126642,1.1079521534843624,-1.2194172627956252,1.0672288929281022,6.0247753391891194,-4.590361847286647,1.5921691773360893,1.5921691773360893,1.5921691773360893,0.0,False,False,0.0,qnei,0.8386195000493899,False,8,1e0aa441-61db-48b3-b885-427acf8353dd,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,1.032311154442523,12.132769000398616,0.541012716177991,2.022128166733103,2.0834676156006213,0.541012716177991,levy_10
7,-0.622703219785426,1.9758195693158254,6.4947450707948295,-10.0,-1.0357363461975002,-2.0588828545253457,-2.3419121942666883,-1.0518777164767452,0.9895918511122442,-3.5168114760512768,-4.93491107009587,0.2604983487392607,0.2604983487392607,0.2604983487392607,0.0,False,False,0.0,qnei,0.9858824000111781,False,8,1e0aa441-61db-48b3-b885-427acf8353dd,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,2.3639819830393516,14.496750983437968,0.541012716177991,2.070964426205424,2.0834676156006213,0.541012716177991,levy_10
8,-1.2169958595952712,1.811350923271589,10.0,-9.646973262431764,-4.1783741227143585,-7.7883962824127275,-0.37224576769648476,-1.6540333050108216,2.390042767699126,3.242161050895461,-3.814623560496223,-0.14500240324325356,-0.14500240324325356,-0.14500240324325356,0.0,False,False,0.0,qnei,0.9512558999704197,False,8,1e0aa441-61db-48b3-b885-427acf8353dd,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,2.769482735021866,17.266233718459834,0.541012716177991,2.158279214807479,2.0834676156006213,0.541012716177991,levy_10
9,-2.5356582514579205,3.4840062950304143,3.956544713602579,-3.07735157007337,1.0759297849199623,-4.153261283474382,0.12725141598057885,-1.9418486692186203,-1.9288327622981531,-0.5461103432311076,-5.298934177502678,1.960833518753396,1.960833518753396,1.960833518753396,0.0,False,False,0.0,qnei,0.9787052000174299,False,8,1e0aa441-61db-48b3-b885-427acf8353dd,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,0.6636468130252162,17.92988053148505,0.541012716177991,1.9922089479427834,2.0834676156006213,0.541012716177991,levy_10
10,-2.0171441974337054,0.4846512744999441,3.67448001005402,-3.476424122677765,-6.924819343956592,-8.254309024532148,0.9200614579785616,3.117398511628295,1.0394862682372021,-1.9895442436605515,-3.399515056450057,1.4397006910459904,1.4397006910459904,1.4397006910459904,0.0,False,False,0.0,qnei,0.9332910999655724,False,8,1e0aa441-61db-48b3-b885-427acf8353dd,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,2.0834676156006213,1.1847796407326219,19.114660172217672,0.541012716177991,1.9114660172217672,2.0834676156006213,0.541012716177991,levy_10
