iteration,x0,x1,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-177.18038875590582,498.97148757803575,0.44332084815357076,0.44332084815357076,False,0.0,qnei,0.0,False,8,c876bfa4-81f6-4cd0-bed8-86adf8c0ea37,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.44332084815357076,2.761724682901488,2.761724682901488,2.761724682901488,2.761724682901488,0.44332084815357076,2.761724682901488,eggholder
2,-185.64010139083086,295.47411027970963,0.40041572224414207,0.40041572224414207,False,0.0,qnei,0.0,False,8,c876bfa4-81f6-4cd0-bed8-86adf8c0ea37,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.44332084815357076,2.8046298088109167,5.566354491712405,2.761724682901488,2.7831772458562023,0.44332084815357076,2.761724682901488,eggholder
3,378.77402797692525,-111.52915810386537,1.222393723857696,1.222393723857696,False,0.0,qnei,0.0,False,8,c876bfa4-81f6-4cd0-bed8-86adf8c0ea37,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,1.9826518071973627,7.5490062989097675,1.9826518071973627,2.5163354329699223,1.222393723857696,1.9826518071973627,eggholder
4,-63.608961922254025,-130.30512323650248,0.46099718007714546,0.46099718007714546,False,0.0,qnei,0.0,False,8,c876bfa4-81f6-4cd0-bed8-86adf8c0ea37,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,2.744048350977913,10.293054649887681,1.9826518071973627,2.5732636624719203,1.222393723857696,1.9826518071973627,eggholder
5,-402.47951721187906,-21.53937493737783,-1.2619283954788965,-1.2619283954788965,False,0.0,qnei,0.0,False,8,c876bfa4-81f6-4cd0-bed8-86adf8c0ea37,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,4.466973926533955,14.760028576421636,1.9826518071973627,2.952005715284327,1.222393723857696,1.9826518071973627,eggholder
6,496.011780813649,-172.55009108994852,0.07299263909241126,0.07299263909241126,False,0.0,qnei,0.1913864999951329,False,8,c876bfa4-81f6-4cd0-bed8-86adf8c0ea37,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,3.1320528919626476,17.892081468384283,1.9826518071973627,2.982013578064047,1.222393723857696,1.9826518071973627,eggholder
7,312.909884436926,-67.02350672354191,-0.5572650443923636,-0.5572650443923636,False,0.0,qnei,0.20175290000042878,False,8,c876bfa4-81f6-4cd0-bed8-86adf8c0ea37,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,3.7623105754474224,21.654392043831706,1.9826518071973627,3.0934845776902438,1.222393723857696,1.9826518071973627,eggholder
8,402.5607625272524,-128.16583031015836,0.2545729390424213,0.2545729390424213,False,0.0,qnei,0.20616570001584478,False,8,c876bfa4-81f6-4cd0-bed8-86adf8c0ea37,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,2.9504725920126376,24.604864635844343,1.9826518071973627,3.075608079480543,1.222393723857696,1.9826518071973627,eggholder
9,368.1273704333559,162.85055484354365,0.5953361559517334,0.5953361559517334,False,0.0,qnei,0.3061463000194635,False,8,c876bfa4-81f6-4cd0-bed8-86adf8c0ea37,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,2.6097093751033253,27.21457401094767,1.9826518071973627,3.023841556771963,1.222393723857696,1.9826518071973627,eggholder
10,-221.09074987064264,9.17663874168693,0.7535304984217519,0.7535304984217519,False,0.0,qnei,0.0,False,8,c876bfa4-81f6-4cd0-bed8-86adf8c0ea37,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,2.451515032633307,29.666089043580975,1.9826518071973627,2.9666089043580977,1.222393723857696,1.9826518071973627,eggholder
