iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.14928212308202027,-1.6806185785061696,-2.0124909040158796,True,-0.33187232550971,qnei,0.0,False,10,2b16be20-c864-46c8-b22a-e1a5fb9ebbbf,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,-1.6806185785061696,5.216031122293028,5.216031122293028,5.216031122293028,5.216031122293028,-1.6806185785061696,5.216031122293028,yerkes_dodson
2,0.5128046164365648,0.13591960402050662,0.6890364797811311,0.841747724312279,0.10312950119280213,-1.3427331390539576,True,-1.4458626402467598,qnei,0.0,False,10,2b16be20-c864-46c8-b22a-e1a5fb9ebbbf,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,0.10312950119280213,3.4322830425940567,8.648314164887084,3.4322830425940567,4.324157082443542,0.10312950119280213,3.4322830425940567,yerkes_dodson
3,0.4255089974049766,0.9569260034533662,0.8253329063847983,0.338215312471576,0.06387010951413295,0.5576002186860161,True,0.4937301091718831,qnei,0.0,False,10,2b16be20-c864-46c8-b22a-e1a5fb9ebbbf,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,0.10312950119280213,3.4715424342727257,12.11985659915981,3.4322830425940567,4.039952199719937,0.06387010951413295,3.4715424342727257,yerkes_dodson
4,0.5757605479445136,0.7533018647084769,0.8271039370247955,0.9334384708515814,-0.38787478938887227,-1.0522795189848997,True,-0.6644047295960274,qnei,0.0,False,10,2b16be20-c864-46c8-b22a-e1a5fb9ebbbf,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,0.10312950119280213,3.9232873331757308,16.04314393233554,3.4322830425940567,4.010785983083885,0.06387010951413295,3.4715424342727257,yerkes_dodson
5,0.1449946949362273,0.7455802110439375,0.13935139386782236,0.9065287561129268,-1.5560653927689365,-2.5459689789612043,True,-0.9899035861922678,qnei,0.0,False,10,2b16be20-c864-46c8-b22a-e1a5fb9ebbbf,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,0.10312950119280213,5.091477936555795,21.134621868891333,3.4322830425940567,4.2269243737782665,0.06387010951413295,3.4715424342727257,yerkes_dodson
6,0.34645533047892724,1.0,1.0,0.2861837791549994,-0.7654515079823941,-0.9423788897797309,True,-0.1769273817973368,qnei,0.2614766999904532,False,10,2b16be20-c864-46c8-b22a-e1a5fb9ebbbf,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,0.10312950119280213,4.300864051769253,25.435485920660586,3.4322830425940567,4.239247653443431,0.06387010951413295,3.4715424342727257,yerkes_dodson
7,0.37743383037941514,1.0,0.746658313474207,0.3247714834554542,-0.026176666104125286,-0.4251116247777223,True,-0.398934958673597,qnei,0.33936460001859814,False,10,2b16be20-c864-46c8-b22a-e1a5fb9ebbbf,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,0.10312950119280213,3.561589209890984,28.99707513055157,3.4322830425940567,4.14243930436451,0.06387010951413295,3.4715424342727257,yerkes_dodson
8,0.5782121302410085,0.9710349661946353,0.8536441511041519,0.2879259218366722,-0.2723740192751804,-1.4151991346799184,True,-1.142825115404738,qnei,0.4342859000025783,False,10,2b16be20-c864-46c8-b22a-e1a5fb9ebbbf,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,0.10312950119280213,3.807786563062039,32.80486169361361,3.4322830425940567,4.100607711701701,0.06387010951413295,3.4715424342727257,yerkes_dodson
9,0.4515932660227922,0.932968834279338,1.0,0.5893192030827874,0.429656370398126,1.979304756944335,True,1.549648386546209,qnei,0.32008309999946505,False,10,2b16be20-c864-46c8-b22a-e1a5fb9ebbbf,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,0.429656370398126,3.1057561733887327,35.910617867002344,3.1057561733887327,3.9900686518891493,0.429656370398126,3.1057561733887327,yerkes_dodson
10,0.6314747464801743,0.20006630977294326,0.7447433491108814,0.7459825842081661,-0.22842916705456082,0.534172180558401,True,0.7626013476129618,qnei,0.0,False,10,2b16be20-c864-46c8-b22a-e1a5fb9ebbbf,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,0.429656370398126,3.7638417108414193,39.67445957784376,3.1057561733887327,3.9674459577843764,0.429656370398126,3.1057561733887327,yerkes_dodson
11,0.47691701805545184,0.829751969216614,0.9640556062548716,0.6113807237005555,0.48443805071422846,1.9299433961433043,True,1.4455053454290758,qnei,0.6413706000021193,False,10,2b16be20-c864-46c8-b22a-e1a5fb9ebbbf,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,0.48443805071422846,3.0509744930726304,42.72543407091639,3.0509744930726304,3.8841303700833083,0.429656370398126,3.1057561733887327,yerkes_dodson
