iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.14928212308202027,-1.1592260150856664,-1.1592260150856664,-1.1592260150856664,0.0,False,False,0.0,ei,0.0,False,10,75d4d4a2-2bd8-40ec-acb5-256d6d496096,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,-1.1592260150856664,2.8768007148768477,2.8768007148768477,2.8768007148768477,2.8768007148768477,-1.1592260150856664,2.8768007148768477,power_law_practice
2,0.5128046164365648,0.13591960402050662,0.6890364797811311,0.841747724312279,0.6566600450945725,0.6566600450945725,0.6566600450945725,0.0,False,False,0.0,ei,0.0,False,10,75d4d4a2-2bd8-40ec-acb5-256d6d496096,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.6566600450945725,1.060914654696609,3.937715369573457,1.060914654696609,1.9688576847867285,0.6566600450945725,1.060914654696609,power_law_practice
3,0.4255089974049766,0.9569260034533662,0.8253329063847983,0.338215312471576,0.017114334625829033,0.017114334625829033,0.017114334625829033,0.0,False,False,0.0,ei,0.0,False,10,75d4d4a2-2bd8-40ec-acb5-256d6d496096,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.6566600450945725,1.7004603651653525,5.63817573473881,1.060914654696609,1.8793919115796032,0.6566600450945725,1.060914654696609,power_law_practice
4,0.5757605479445136,0.7533018647084769,0.8271039370247955,0.9334384708515814,1.1461725881202751,1.1461725881202751,1.1461725881202751,0.0,False,False,0.0,ei,0.0,False,10,75d4d4a2-2bd8-40ec-acb5-256d6d496096,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.1461725881202751,0.5714021116709065,6.209577846409716,0.5714021116709065,1.552394461602429,1.1461725881202751,0.5714021116709065,power_law_practice
5,0.1449946949362273,0.7455802110439375,0.13935139386782236,0.9065287561129268,0.6258885157200674,0.6258885157200674,0.6258885157200674,0.0,False,False,0.0,ei,0.0,False,10,75d4d4a2-2bd8-40ec-acb5-256d6d496096,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.1461725881202751,1.091686184071114,7.30126403048083,0.5714021116709065,1.460252806096166,1.1461725881202751,0.5714021116709065,power_law_practice
6,0.2610205845447696,1.0,1.0,1.0,1.2731173146532826,1.2731173146532826,1.2731173146532826,0.0,False,False,0.0,ei,0.24036669998895377,False,10,75d4d4a2-2bd8-40ec-acb5-256d6d496096,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.2731173146532826,0.444457385137899,7.745721415618729,0.444457385137899,1.2909535692697882,1.2731173146532826,0.444457385137899,power_law_practice
7,0.0,1.0,1.0,0.8417061110163822,0.9597574667323054,0.9597574667323054,0.9597574667323054,0.0,False,False,0.0,ei,0.3106771999737248,False,10,75d4d4a2-2bd8-40ec-acb5-256d6d496096,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.2731173146532826,0.7578172330588762,8.503538648677605,0.444457385137899,1.214791235525372,1.2731173146532826,0.444457385137899,power_law_practice
8,0.590566538687222,1.0,1.0,1.0,1.472699078220308,1.472699078220308,1.472699078220308,0.0,False,False,0.0,ei,0.3459978000028059,False,10,75d4d4a2-2bd8-40ec-acb5-256d6d496096,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.472699078220308,0.24487562157087361,8.748414270248478,0.24487562157087361,1.0935517837810598,1.472699078220308,0.24487562157087361,power_law_practice
9,1.0,1.0,1.0,1.0,1.7175746997911816,1.7175746997911816,1.7175746997911816,0.0,False,False,0.0,ei,0.26243160001467913,False,10,75d4d4a2-2bd8-40ec-acb5-256d6d496096,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.7175746997911816,0.0,8.748414270248478,0.0,0.9720460300276087,1.7175746997911816,0.0,power_law_practice
10,1.0,1.0,1.0,1.0,1.7175746997911816,1.7175746997911816,1.7175746997911816,0.0,False,False,0.0,ei,0.34205030009616166,False,10,75d4d4a2-2bd8-40ec-acb5-256d6d496096,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.7175746997911816,0.0,8.748414270248478,0.0,0.8748414270248478,1.7175746997911816,0.0,power_law_practice
11,1.0,1.0,1.0,1.0,1.7175746997911816,1.7175746997911816,1.7175746997911816,0.0,False,False,0.0,ei,0.3564763000467792,False,10,75d4d4a2-2bd8-40ec-acb5-256d6d496096,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.7175746997911816,0.0,8.748414270248478,0.0,0.7953103882044071,1.7175746997911816,0.0,power_law_practice
12,1.0,1.0,0.5200614064430037,1.0,1.4299247346844857,1.4299247346844857,1.4299247346844857,0.0,False,False,0.0,ei,0.29820329998619854,False,10,75d4d4a2-2bd8-40ec-acb5-256d6d496096,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.7175746997911816,0.28764996510669594,9.036064235355173,0.0,0.7530053529462645,1.7175746997911816,0.0,power_law_practice
13,1.0,1.0,1.0,1.0,1.7175746997911816,1.7175746997911816,1.7175746997911816,0.0,False,False,0.0,ei,0.3570608999580145,False,10,75d4d4a2-2bd8-40ec-acb5-256d6d496096,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.7175746997911816,0.0,9.036064235355173,0.0,0.6950818642580903,1.7175746997911816,0.0,power_law_practice
14,1.0,0.0,0.0,1.0,0.6799131573353222,0.6799131573353222,0.6799131573353222,0.0,False,False,0.0,ei,0.2842247999506071,False,10,75d4d4a2-2bd8-40ec-acb5-256d6d496096,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.7175746997911816,1.0376615424558593,10.073725777811033,0.0,0.7195518412722166,1.7175746997911816,0.0,power_law_practice
15,1.0,1.0,1.0,1.0,1.7175746997911816,1.7175746997911816,1.7175746997911816,0.0,False,False,0.0,ei,0.3545098000904545,False,10,75d4d4a2-2bd8-40ec-acb5-256d6d496096,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.7175746997911816,0.0,10.073725777811033,0.0,0.6715817185207356,1.7175746997911816,0.0,power_law_practice
16,1.0,1.0,1.0,0.9108286003321686,1.6250461899308013,1.6250461899308013,1.6250461899308013,0.0,False,False,0.0,ei,0.3500181999988854,False,10,75d4d4a2-2bd8-40ec-acb5-256d6d496096,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.7175746997911816,0.0925285098603803,10.166254287671414,0.0,0.6353908929794634,1.7175746997911816,0.0,power_law_practice
