iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.14928212308202027,-1.1592260150856664,-1.1592260150856664,-1.1592260150856664,0.0,False,False,0.0,pi,0.0,False,10,5f0969c6-0e2b-4dd8-ae3d-8b3277bcd24b,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,-1.1592260150856664,2.8768007148768477,2.8768007148768477,2.8768007148768477,2.8768007148768477,-1.1592260150856664,2.8768007148768477,power_law_practice
2,0.5128046164365648,0.13591960402050662,0.6890364797811311,0.841747724312279,0.6566600450945725,0.6566600450945725,0.6566600450945725,0.0,False,False,0.0,pi,0.0,False,10,5f0969c6-0e2b-4dd8-ae3d-8b3277bcd24b,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.6566600450945725,1.060914654696609,3.937715369573457,1.060914654696609,1.9688576847867285,0.6566600450945725,1.060914654696609,power_law_practice
3,0.4255089974049766,0.9569260034533662,0.8253329063847983,0.338215312471576,0.017114334625829033,0.017114334625829033,0.017114334625829033,0.0,False,False,0.0,pi,0.0,False,10,5f0969c6-0e2b-4dd8-ae3d-8b3277bcd24b,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.6566600450945725,1.7004603651653525,5.63817573473881,1.060914654696609,1.8793919115796032,0.6566600450945725,1.060914654696609,power_law_practice
4,0.5757605479445136,0.7533018647084769,0.8271039370247955,0.9334384708515814,1.1461725881202751,1.1461725881202751,1.1461725881202751,0.0,False,False,0.0,pi,0.0,False,10,5f0969c6-0e2b-4dd8-ae3d-8b3277bcd24b,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.1461725881202751,0.5714021116709065,6.209577846409716,0.5714021116709065,1.552394461602429,1.1461725881202751,0.5714021116709065,power_law_practice
5,0.1449946949362273,0.7455802110439375,0.13935139386782236,0.9065287561129268,0.6258885157200674,0.6258885157200674,0.6258885157200674,0.0,False,False,0.0,pi,0.0,False,10,5f0969c6-0e2b-4dd8-ae3d-8b3277bcd24b,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.1461725881202751,1.091686184071114,7.30126403048083,0.5714021116709065,1.460252806096166,1.1461725881202751,0.5714021116709065,power_law_practice
6,0.5750405375646431,0.9121272328667203,0.8708780608558987,0.9642986803921423,1.2970541214316715,1.2970541214316715,1.2970541214316715,0.0,False,False,0.0,pi,0.23165390000212938,False,10,5f0969c6-0e2b-4dd8-ae3d-8b3277bcd24b,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.2970541214316715,0.42052057835951007,7.72178460884034,0.42052057835951007,1.2869641014733901,1.2970541214316715,0.42052057835951007,power_law_practice
7,0.5698595775426093,1.0,0.9163466759388379,1.0,1.4093724489744617,1.4093724489744617,1.4093724489744617,0.0,False,False,0.0,pi,0.27967120008543134,False,10,5f0969c6-0e2b-4dd8-ae3d-8b3277bcd24b,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.4093724489744617,0.3082022508167199,8.029986859657061,0.3082022508167199,1.1471409799510088,1.4093724489744617,0.3082022508167199,power_law_practice
8,0.515992334835047,1.0,1.0,1.0,1.427454697252444,1.427454697252444,1.427454697252444,0.0,False,False,0.0,pi,0.2601321000838652,False,10,5f0969c6-0e2b-4dd8-ae3d-8b3277bcd24b,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.427454697252444,0.2901200025387376,8.320106862195798,0.2901200025387376,1.0400133577744748,1.427454697252444,0.2901200025387376,power_law_practice
9,0.4447105063542182,1.0,1.0,1.0,1.3841852519111626,1.3841852519111626,1.3841852519111626,0.0,False,False,0.0,pi,0.28382840007543564,False,10,5f0969c6-0e2b-4dd8-ae3d-8b3277bcd24b,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.427454697252444,0.333389447880019,8.653496310075818,0.2901200025387376,0.9614995900084242,1.427454697252444,0.2901200025387376,power_law_practice
10,0.5931876835570359,1.0,1.0,1.0,1.4742879457817513,1.4742879457817513,1.4742879457817513,0.0,False,False,0.0,pi,0.271523299976252,False,10,5f0969c6-0e2b-4dd8-ae3d-8b3277bcd24b,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.4742879457817513,0.24328675400943034,8.896783064085248,0.24328675400943034,0.8896783064085249,1.4742879457817513,0.24328675400943034,power_law_practice
