iteration,x0,x1,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-177.18038875590582,498.97148757803575,0.44332084815357076,0.44332084815357076,0.44332084815357076,0.0,False,False,0.0,logei,0.0,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.44332084815357076,2.761724682901488,2.761724682901488,2.761724682901488,2.761724682901488,0.44332084815357076,2.761724682901488,eggholder
2,-185.64010139083086,295.47411027970963,0.40041572224414207,0.40041572224414207,0.40041572224414207,0.0,False,False,0.0,logei,0.0,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,0.44332084815357076,2.8046298088109167,5.566354491712405,2.761724682901488,2.7831772458562023,0.44332084815357076,2.761724682901488,eggholder
3,378.77402797692525,-111.52915810386537,1.222393723857696,1.222393723857696,1.222393723857696,0.0,False,False,0.0,logei,0.0,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,1.9826518071973627,7.5490062989097675,1.9826518071973627,2.5163354329699223,1.222393723857696,1.9826518071973627,eggholder
4,-63.608961922254025,-130.30512323650248,0.46099718007714546,0.46099718007714546,0.46099718007714546,0.0,False,False,0.0,logei,0.0,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,2.744048350977913,10.293054649887681,1.9826518071973627,2.5732636624719203,1.222393723857696,1.9826518071973627,eggholder
5,-402.47951721187906,-21.53937493737783,-1.2619283954788965,-1.2619283954788965,-1.2619283954788965,0.0,False,False,0.0,logei,0.0,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,4.466973926533955,14.760028576421636,1.9826518071973627,2.952005715284327,1.222393723857696,1.9826518071973627,eggholder
6,496.7815259231841,-172.55251697120556,0.09722400275985883,0.09722400275985883,0.09722400275985883,0.0,False,False,0.0,logei,0.16770260001067072,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,3.1078215282952,17.867850104716837,1.9826518071973627,2.977975017452806,1.222393723857696,1.9826518071973627,eggholder
7,310.9786660575346,-77.00769394149195,-0.30597118439684545,-0.30597118439684545,-0.30597118439684545,0.0,False,False,0.0,logei,0.24488669994752854,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,3.511016715451904,21.378866820168742,1.9826518071973627,3.0541238314526775,1.222393723857696,1.9826518071973627,eggholder
8,405.09999147524536,-124.93801691587909,0.2615228287904773,0.2615228287904773,0.2615228287904773,0.0,False,False,0.0,logei,0.24494649993721396,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,2.9435227022645813,24.322389522433323,1.9826518071973627,3.0402986903041653,1.222393723857696,1.9826518071973627,eggholder
9,367.0941951546776,152.10673166444369,0.8958165355723908,0.8958165355723908,0.8958165355723908,0.0,False,False,0.0,logei,0.2594471999909729,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,2.309228995482668,26.63161851791599,1.9826518071973627,2.9590687242128877,1.222393723857696,1.9826518071973627,eggholder
10,372.4249704432964,-506.17558942226424,0.43856094974448956,0.43856094974448956,0.43856094974448956,0.0,False,False,0.0,logei,0.2763981999596581,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.222393723857696,2.766484581310569,29.398103099226557,1.9826518071973627,2.9398103099226556,1.222393723857696,1.9826518071973627,eggholder
11,369.06766852327183,-110.50588797878142,1.3496400717936485,1.3496400717936485,1.3496400717936485,0.0,False,False,0.0,logei,0.39160690002609044,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.3496400717936485,1.8554054592614102,31.253508558487965,1.8554054592614102,2.841228050771633,1.3496400717936485,1.8554054592614102,eggholder
12,364.650023583491,-124.61618607510373,1.1769820316092638,1.1769820316092638,1.1769820316092638,0.0,False,False,0.0,logei,0.3469386000651866,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,1.3496400717936485,2.028063499445795,33.28157205793376,1.8554054592614102,2.7734643381611463,1.3496400717936485,1.8554054592614102,eggholder
13,371.79842227931397,512.0,2.665134167871505,2.665134167871505,2.665134167871505,0.0,False,False,0.0,logei,0.2789304000325501,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.665134167871505,0.5399113631835539,33.821483421117314,0.5399113631835539,2.601652570855178,2.665134167871505,0.5399113631835539,eggholder
14,386.15758270810994,512.0,2.105615115010126,2.105615115010126,2.105615115010126,0.0,False,False,0.0,logei,0.22569970006588846,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.665134167871505,1.0994304160449326,34.920913837162246,0.5399113631835539,2.494350988368732,2.665134167871505,0.5399113631835539,eggholder
15,367.83579937754894,512.0,2.756371316584839,2.756371316584839,2.756371316584839,0.0,False,False,0.0,logei,0.23903820000123233,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.756371316584839,0.4486742144702198,35.36958805163246,0.4486742144702198,2.3579725367754976,2.756371316584839,0.4486742144702198,eggholder
16,512.0,512.0,0.40926290471147625,0.40926290471147625,0.40926290471147625,0.0,False,False,0.0,logei,0.19004000001586974,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.756371316584839,2.7957826263435823,38.16537067797604,0.4486742144702198,2.3853356673735027,2.756371316584839,0.4486742144702198,eggholder
17,353.39664558356543,512.0,2.8594010826646787,2.8594010826646787,2.8594010826646787,0.0,False,False,0.0,logei,0.3357757000485435,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8594010826646787,0.34564444839038,38.51101512636642,0.34564444839038,2.265353830962731,2.8594010826646787,0.34564444839038,eggholder
18,356.10388665270915,446.4356020543577,0.25504609316486815,0.25504609316486815,0.25504609316486815,0.0,False,False,0.0,logei,0.29012250003870577,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8594010826646787,2.949999437890191,41.461014564256615,0.34564444839038,2.3033896980142563,2.8594010826646787,0.34564444839038,eggholder
19,381.94661221862816,512.0,2.305265582348428,2.305265582348428,2.305265582348428,0.0,False,False,0.0,logei,0.24490960000548512,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8594010826646787,0.8997799487066307,42.360794512963245,0.34564444839038,2.229515500682276,2.8594010826646787,0.34564444839038,eggholder
20,383.136666755654,512.0,2.2516552723933283,2.2516552723933283,2.2516552723933283,0.0,False,False,0.0,logei,0.20816939999349415,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8594010826646787,0.9533902586617304,43.31418477162497,0.34564444839038,2.1657092385812486,2.8594010826646787,0.34564444839038,eggholder
21,383.0105877567658,512.0,-1.6339122758986442,-1.6339122758986442,2.2574423155169,838.0023766303351,True,True,0.0,logei,0.1995072999270633,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8594010826646787,4.838957806953703,48.153142578578674,0.34564444839038,2.2930067894561272,2.8594010826646787,0.34564444839038,eggholder
22,207.30838754908254,512.0,-0.377200918427277,-0.377200918427277,0.9924656750017162,470.1652097454635,True,True,0.0,logei,0.19847489998210222,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8594010826646787,3.582246449482336,51.73538902806101,0.34564444839038,2.3516085921845913,2.8594010826646787,0.34564444839038,eggholder
23,512.0,512.0,0.2750865694217174,0.2750865694217174,0.40926290471147625,680.5714302604194,True,True,0.0,logei,0.19215690006967634,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8594010826646787,2.9299589616333415,54.66534798969435,0.34564444839038,2.3767542604214933,2.8594010826646787,0.34564444839038,eggholder
24,297.11136201315173,512.0,0.3716211494320891,0.3716211494320891,1.3952842782221844,1159.9722006725322,True,True,0.0,logei,0.2515105999773368,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8594010826646787,2.8334243816229696,57.498772371317315,0.34564444839038,2.3957821821382215,2.8594010826646787,0.34564444839038,eggholder
25,512.0,512.0,0.574967928408361,0.574967928408361,0.40926290471147625,361.58316839882514,True,True,0.0,logei,0.19601489999331534,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8594010826646787,2.630077602646698,60.128849973964016,0.34564444839038,2.4051539989585606,2.8594010826646787,0.34564444839038,eggholder
26,290.9176633837876,512.0,0.3917768733020335,0.3917768733020335,1.2342729435522697,221.08246471005367,True,True,0.0,logei,0.21418469992931932,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8594010826646787,2.8132686577530253,62.942118631717044,0.34564444839038,2.4208507166045017,2.8594010826646787,0.34564444839038,eggholder
27,512.0,512.0,1.6403151637267117,1.6403151637267117,0.40926290471147625,206.5930746796589,True,True,0.0,logei,0.1542853000573814,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8594010826646787,1.564730367328347,64.50684899904539,0.34564444839038,2.3891425555201997,2.8594010826646787,0.34564444839038,eggholder
28,512.0,512.0,0.0006690251749492423,0.0006690251749492423,0.40926290471147625,752.5484824066649,True,True,0.0,logei,0.15130969998426735,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8594010826646787,3.2043765058801097,67.7112255049255,0.34564444839038,2.4182580537473393,2.8594010826646787,0.34564444839038,eggholder
29,305.2662964363022,512.0,0.40926290471147625,0.40926290471147625,1.6359383917595698,206.73370356369782,True,True,0.0,logei,0.17338539997581393,False,8,853b0f50-dbe5-4f37-8044-c3a898dcdd24,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8594010826646787,2.7957826263435823,70.50700813126907,0.34564444839038,2.431276142457554,2.8594010826646787,0.34564444839038,eggholder
